ticker,unit_cost_scope,normalized_unit_cost_observations,independent_complete_unit_cost_scope,normalization_confidence_grade,sector_inference_weight,terminal_input_allowed,research_only
AR,V12_HIERARCHICAL_MARGIN_IMPLIED_ALL_IN_UNIT_COST_NOT_INDEPENDENT,0,False,C,0.0,False,True
CNX,V12_HIERARCHICAL_MARGIN_IMPLIED_ALL_IN_UNIT_COST_NOT_INDEPENDENT,0,False,C,0.0,False,True
COP,V12_HIERARCHICAL_MARGIN_IMPLIED_ALL_IN_UNIT_COST_NOT_INDEPENDENT,0,False,C,0.0,False,True
DVN,SEC_UPSTREAM_LIFTING_EXPLORATION_DDA_PLUS_COMPANY_GA_COMPONENT_SCOPE,6,True,A,1.0,False,True
EOG,V12_HIERARCHICAL_MARGIN_IMPLIED_ALL_IN_UNIT_COST_NOT_INDEPENDENT,0,False,C,0.0,False,True
EQT,V12_HIERARCHICAL_MARGIN_IMPLIED_ALL_IN_UNIT_COST_NOT_INDEPENDENT,0,False,C,0.0,False,True
FANG,V161_ACCOUNTING_PROVEN_FANG_LIFTING_TAX_TRANSPORT_DDA_GA_OTHER_COMPONENT_SCOPE,3,True,A,1.0,False,True
MGY,V12_HIERARCHICAL_MARGIN_IMPLIED_ALL_IN_UNIT_COST_NOT_INDEPENDENT,0,False,C,0.0,False,True
MTDR,V12_HIERARCHICAL_MARGIN_IMPLIED_ALL_IN_UNIT_COST_NOT_INDEPENDENT,0,False,C,0.0,False,True
NOG,V12_HIERARCHICAL_MARGIN_IMPLIED_ALL_IN_UNIT_COST_NOT_INDEPENDENT,0,False,C,0.0,False,True
OVV,V12_HIERARCHICAL_MARGIN_IMPLIED_ALL_IN_UNIT_COST_NOT_INDEPENDENT,0,False,C,0.0,False,True
PR,V12_HIERARCHICAL_MARGIN_IMPLIED_ALL_IN_UNIT_COST_NOT_INDEPENDENT,0,False,C,0.0,False,True
RRC,V12_HIERARCHICAL_MARGIN_IMPLIED_ALL_IN_UNIT_COST_NOT_INDEPENDENT,0,False,C,0.0,False,True
SM,V12_HIERARCHICAL_MARGIN_IMPLIED_ALL_IN_UNIT_COST_NOT_INDEPENDENT,0,False,C,0.0,False,True
