quarter,headline,url,release_date
2022Q1,EOG Resources Reports First Quarter 2022 Results; Adds Quantitative Guidance to Cash Return Framework and Declares $1.80 per Share Special Dividend,https://investors.eogresources.com/2022-05-05-EOG-Resources-Reports-First-Quarter-2022-Results-Adds-Quantitative-Guidance-to-Cash-Return-Framework-and-Declares-1-80-per-Share-Special-Dividend,2022-05-05
2022Q2,"EOG Resources Reports Second Quarter 2022 Results, Declares $1.50 per Share Special Dividend and Reiterates Unchanged Full-Year 2022 Capital and Oil Volume Plan","https://investors.eogresources.com/2022-08-04-EOG-Resources-Reports-Second-Quarter-2022-Results,-Declares-1-50-per-Share-Special-Dividend-and-Reiterates-Unchanged-Full-Year-2022-Capital-and-Oil-Volume-Plan",2022-08-04
2022Q3,"EOG Resources Reports Third Quarter 2022 Results, Announces New Position in Utica Combo, Raises Regular Dividend 10% and Declares $1.50 per Share Special Dividend","https://investors.eogresources.com/2022-11-03-EOG-Resources-Reports-Third-Quarter-2022-Results,-Announces-New-Position-in-Utica-Combo,-Raises-Regular-Dividend-10-and-Declares-1-50-per-Share-Special-Dividend",2022-11-03
2022Q4,EOG Resources Reports Fourth Quarter and Full-Year 2022 Results; Announces 2023 Capital Plan,https://investors.eogresources.com/2023-02-23-EOG-Resources-Reports-Fourth-Quarter-and-Full-Year-2022-Results-Announces-2023-Capital-Plan,2023-02-23
2023Q1,EOG Resources Reports First Quarter 2023 Results,https://investors.eogresources.com/2023-05-04-EOG-Resources-Reports-First-Quarter-2023-Results,2023-05-04
2023Q2,EOG Resources Reports Second Quarter 2023 Results,https://investors.eogresources.com/2023-08-03-EOG-Resources-Reports-Second-Quarter-2023-Results,2023-08-03
2023Q3,"EOG Resources Reports Third Quarter 2023 Results, Increases Annual Cash Return Commitment to Shareholders and Raises Regular Dividend 10%","https://investors.eogresources.com/2023-11-02-EOG-Resources-Reports-Third-Quarter-2023-Results,-Increases-Annual-Cash-Return-Commitment-to-Shareholders-and-Raises-Regular-Dividend-10",2023-11-02
2023Q4,EOG Resources Reports Fourth Quarter and Full-Year 2023 Results; Announces 2024 Capital Plan,https://investors.eogresources.com/2024-02-22-EOG-Resources-Reports-Fourth-Quarter-and-Full-Year-2023-Results-Announces-2024-Capital-Plan,2024-02-22
2024Q1,EOG Resources Reports First Quarter 2024 Results,https://investors.eogresources.com/2024-05-02-EOG-Resources-Reports-First-Quarter-2024-Results,2024-05-02
2024Q2,EOG Resources Reports Second Quarter 2024 Results,https://investors.eogresources.com/2024-08-01-EOG-Resources-Reports-Second-Quarter-2024-Results,2024-08-01
2024Q3,EOG Resources Reports Third Quarter 2024 Results and Raises Regular Dividend 7%,https://investors.eogresources.com/2024-11-07-EOG-Resources-Reports-Third-Quarter-2024-Results-and-Raises-Regular-Dividend-7,2024-11-07
2024Q4,EOG Resources Reports Fourth Quarter and Full-Year 2024 Results; Announces 2025 Capital Plan,https://investors.eogresources.com/2025-02-27-EOG-Resources-Reports-Fourth-Quarter-and-Full-Year-2024-Results-Announces-2025-Capital-Plan,2025-02-27
2025Q1,EOG Resources Reports First Quarter 2025 Results and Updates 2025 Plan,https://investors.eogresources.com/2025-05-01-EOG-Resources-Reports-First-Quarter-2025-Results-and-Updates-2025-Plan,2025-05-01
2025Q2,EOG Resources Reports Second Quarter 2025 Results and Updates 2025 Guidance,https://investors.eogresources.com/2025-08-07-EOG-Resources-Reports-Second-Quarter-2025-Results-and-Updates-2025-Guidance,2025-08-07
2025Q3,EOG Resources Reports Third Quarter 2025 Results,https://investors.eogresources.com/2025-11-06-EOG-Resources-Reports-Third-Quarter-2025-Results,2025-11-06
2025Q4,EOG Resources Reports Fourth Quarter and Full-Year 2025 Results; Announces 2026 Capital Plan,https://investors.eogresources.com/2026-02-24-EOG-Resources-Reports-Fourth-Quarter-and-Full-Year-2025-Results-Announces-2026-Capital-Plan,2026-02-24
2026Q1,EOG Resources Reports First Quarter 2026 Results,https://investors.eogresources.com/2026-05-05-EOG-Resources-Reports-First-Quarter-2026-Results,2026-05-05
2026Q2,EOG Resources Reports Second Quarter 2026 Results,https://investors.eogresources.com/2026-08-04-EOG-Resources-Reports-Second-Quarter-2026-Results,2026-08-04
