quarter,release_date,source_url,oil_production,ngl_production,gas_production,reported_total_production,reconstructed_total_production,reconstruction_error_pct,total_production,component_qc_flag,data_quality_score
2022Q1,2022-05-05,https://investors.eogresources.com/2022-05-05-EOG-Resources-Reports-First-Quarter-2022-Results-Adds-Quantitative-Guidance-to-Cash-Return-Framework-and-Declares-1-80-per-Share-Special-Dividend,450.1,190.3,1458.0,883.3,883.4000000000001,0.011321181931409083,883.3,REPORTED_RECON_MATCH,1.0
2022Q2,2022-08-04,"https://investors.eogresources.com/2022-08-04-EOG-Resources-Reports-Second-Quarter-2022-Results,-Declares-1-50-per-Share-Special-Dividend-and-Reiterates-Unchanged-Full-Year-2022-Capital-and-Oil-Volume-Plan",464.1,201.9,1528.0,920.7,920.6666666666666,0.0036204337279696643,920.7,REPORTED_RECON_MATCH,1.0
2022Q3,2022-11-03,"https://investors.eogresources.com/2022-11-03-EOG-Resources-Reports-Third-Quarter-2022-Results,-Announces-New-Position-in-Utica-Combo,-Raises-Regular-Dividend-10-and-Declares-1-50-per-Share-Special-Dividend",465.1,209.3,1469.0,919.2,919.2333333333335,0.0036263417464552548,919.2,REPORTED_RECON_MATCH,1.0
2022Q4,2023-02-23,https://investors.eogresources.com/2023-02-23-EOG-Resources-Reports-Fourth-Quarter-and-Full-Year-2022-Results-Announces-2023-Capital-Plan,465.6,189.0,1527.0,909.1,909.1,0.0,909.1,REPORTED_RECON_MATCH,1.0
2023Q1,2023-05-04,https://investors.eogresources.com/2023-05-04-EOG-Resources-Reports-First-Quarter-2023-Results,457.7,212.2,1639.0,943.0,943.0666666666666,0.007069635913744012,943.0,REPORTED_RECON_MATCH,1.0
2023Q2,2023-08-03,https://investors.eogresources.com/2023-08-03-EOG-Resources-Reports-Second-Quarter-2023-Results,476.6,215.7,1668.0,970.3,970.3,0.0,970.3,REPORTED_RECON_MATCH,1.0
2023Q3,2023-11-02,"https://investors.eogresources.com/2023-11-02-EOG-Resources-Reports-Third-Quarter-2023-Results,-Increases-Annual-Cash-Return-Commitment-to-Shareholders-and-Raises-Regular-Dividend-10",483.3,231.1,1704.0,998.5,998.4,0.010015022533802978,998.5,REPORTED_RECON_MATCH,1.0
2023Q4,2024-02-22,https://investors.eogresources.com/2024-02-22-EOG-Resources-Reports-Fourth-Quarter-and-Full-Year-2023-Results-Announces-2024-Capital-Plan,485.2,235.8,1831.0,1026.2,1026.1666666666667,0.0032482297148024764,1026.2,REPORTED_RECON_MATCH,1.0
2024Q1,2024-05-02,https://investors.eogresources.com/2024-05-02-EOG-Resources-Reports-First-Quarter-2024-Results,487.4,231.7,1858.0,1028.8,1028.7666666666667,0.003240020736129765,1028.8,REPORTED_RECON_MATCH,1.0
2024Q2,2024-08-01,https://investors.eogresources.com/2024-08-01-EOG-Resources-Reports-Second-Quarter-2024-Results,490.7,244.8,1872.0,1047.5,1047.5,0.0,1047.5,REPORTED_RECON_MATCH,1.0
2024Q3,2024-11-07,https://investors.eogresources.com/2024-11-07-EOG-Resources-Reports-Third-Quarter-2024-Results-and-Raises-Regular-Dividend-7,493.0,254.3,1970.0,1075.7,1075.6333333333332,0.0061975147965820775,1075.7,REPORTED_RECON_MATCH,1.0
2024Q4,2025-02-27,https://investors.eogresources.com/2025-02-27-EOG-Resources-Reports-Fourth-Quarter-and-Full-Year-2024-Results-Announces-2025-Capital-Plan,494.6,252.5,2092.0,1095.7,1095.7666666666667,0.006084390496176511,1095.7,REPORTED_RECON_MATCH,1.0
2025Q1,2025-05-01,https://investors.eogresources.com/2025-05-01-EOG-Resources-Reports-First-Quarter-2025-Results-and-Updates-2025-Plan,502.1,241.7,2080.0,1090.4,1090.4666666666667,0.006113964294442959,1090.4,REPORTED_RECON_MATCH,1.0
2025Q2,2025-08-07,https://investors.eogresources.com/2025-08-07-EOG-Resources-Reports-Second-Quarter-2025-Results-and-Updates-2025-Guidance,504.2,258.4,2229.0,1134.1,1134.1,0.0,1134.1,REPORTED_RECON_MATCH,1.0
2025Q3,2025-11-06,https://investors.eogresources.com/2025-11-06-EOG-Resources-Reports-Third-Quarter-2025-Results,534.5,309.3,2745.0,1301.2,1301.3,0.007685213648932451,1301.2,REPORTED_RECON_MATCH,1.0
2025Q4,2026-02-24,https://investors.eogresources.com/2026-02-24-EOG-Resources-Reports-Fourth-Quarter-and-Full-Year-2025-Results-Announces-2026-Capital-Plan,546.1,342.1,3065.0,1399.0,1399.0333333333333,0.0023826542768622602,1399.0,REPORTED_RECON_MATCH,1.0
2026Q1,2026-05-05,https://investors.eogresources.com/2026-05-05-EOG-Resources-Reports-First-Quarter-2026-Results,548.5,332.1,3020.0,1383.8,1383.9333333333334,0.00963530375295848,1383.8,REPORTED_RECON_MATCH,1.0
2026Q2,2026-08-04,https://investors.eogresources.com/2026-08-04-EOG-Resources-Reports-Second-Quarter-2026-Results,548.8,346.8,3089.0,1410.4,1410.4333333333334,0.0023633957269783763,1410.4,REPORTED_RECON_MATCH,1.0
