ticker,predicted_revenue_B,predicted_revenue_yoy_pct,v21_yoy_pct,structural_yoy_pct,base_structural_weight,source_quality_score,structural_weight,selected_model,production_yoy_source,model_spread_pp,confidence,confidence_reason
COP,16.119126827931773,20.86021465045942,26.55615589136866,18.26919402353675,0.85,0.8,0.68,BLEND,GUIDANCE_VS_GUIDANCE,6.772279823028427,MEDIUM,ACCEPTABLE_DATA_AND_MODEL_SPREAD
EOG,8.475873765505355,44.96107004455885,68.72900201759597,39.88925760516386,0.9,0.9,0.81,BLEND,ACTUAL_VS_ACTUAL,18.744279703773365,MEDIUM,ACCEPTABLE_DATA_AND_MODEL_SPREAD
FANG,4.915475399023933,25.266957161670046,31.479111423218022,23.76033325643141,0.8,1.0,0.8,BLEND,GUIDANCE_VS_ACTUAL,6.050109148257047,HIGH,HIGH_QUALITY_PRODUCTION_AND_MODEL_AGREEMENT
DVN,8.526504532187717,100.57644159462988,100.57644159462988,123.31558161765663,0.0,1.0,0.0,V2.1_ONLY,GUIDANCE_VS_ACTUAL,10.739050634017858,LOW,STRUCTURAL_DISABLED
