target_quarter,guidance_total_production,guidance_oil_production
2016Q4,554.9,1172.0
2017Q1,567.1,1025.0
2017Q2,567.1,1025.0
2017Q3,587.8,1046.0
2017Q4,600.5,1085.0
2018Q1,685.8,1178.0
2018Q2,685.8,1178.0
2018Q3,706.7,1225.0
2018Q4,714.9,1217.0
2019Q1,781.4,1310.0
2019Q2,781.4,1310.0
2019Q3,793.8,1310.0
2019Q4,810.1,1346.0
2020Q1,886.2,1375.0
2020Q2,671.4,1140.0
2020Q3,711.7,1215.0
2020Q4,817.2,1320.0
2021Q1,800.6,1410.0
