,coefficient
wti_yoy,26.859173584880505
revenue_yoy_l1_clip,13.900901393832683
ma_ppe_interaction,7.957974596572698
ticker_EOG,5.015994842237109
goodwill_jump_l1_clip,4.600157041283465
ticker_DVN,4.198036492062389
ma_assets_interaction,-4.150379137941765
ticker_FANG,3.794606066677565
crude_prod_yoy_l1,3.676018454581975
debt_yoy_l1_clip,3.620131544085046
gas_prod_yoy_l1,-3.571132287533776
assets_yoy_l1_clip,2.985063347431978
henry_yoy,1.9364195607354804
shares_yoy_l1_clip,1.8096895179673946
bea_go_yoy_l1,-1.5528166966540224
ma_debt_interaction,-1.1635160067758126
ppe_yoy_l1_clip,0.8015650144311245
ma_shares_interaction,0.7775883122878577
ma_goodwill_interaction,0.351977696064307
