target_quarter,guidance_total_production,guidance_oil_production
2017Q1,495.0,1025.0
2017Q2,512.8,1025.0
2017Q3,533.7,1046.0
2017Q4,588.35,1137.5
2018Q1,593.85,1178.0
2018Q2,637.0,1178.0
2018Q3,684.15,1275.0
2018Q4,714.15,1270.0
2019Q1,712.9,1270.0
2019Q2,734.3,1310.0
2019Q3,745.0,1310.0
2019Q4,790.3,1391.0
2020Q1,845.2,1375.0
2020Q2,550.0,1095.0
2020Q3,676.1,1125.0
2020Q4,781.5,1230.0
2021Q1,762.9,1310.0
