quarter,event_url,stats_url,guidance_url,press_release_url
2022Q3,https://investors.eogresources.com/events-and-presentations?item=13,https://investors.eogresources.com/download/Stats-Pages-2009-2022Q3-Upd.xlsx,https://investors.eogresources.com/image/4Q22-Guidance-Website-Final.pdf,https://investors.eogresources.com/image/3Q-2022-Earnings-Press-Release-with-Tables.pdf
2023Q1,https://investors.eogresources.com/events-and-presentations?item=9,https://investors.eogresources.com/download/Stats-Pages-2009-2023Q1-Upd.xlsx,https://investors.eogresources.com/image/2Q23-Guidance-Website-Final.pdf,https://investors.eogresources.com/image/1Q-2023-Earnings-Press-Release-with-Tables.pdf
2023Q3,https://investors.eogresources.com/events-and-presentations?item=14,https://investors.eogresources.com/download/Stats2023_3Q_RV.xlsx,https://investors.eogresources.com/image/4Q23_Guidance-Website_Final.pdf,https://investors.eogresources.com/image/3Q_2023_Earnings_Press_Release_with_Tables.pdf
2023Q4,https://investors.eogresources.com/events-and-presentations?item=29,https://investors.eogresources.com/download/Stats_Pages_2009-2023Q4_Upd.xlsx,https://investors.eogresources.com/image/1Q24_Guidance_Website_Final.pdf,https://investors.eogresources.com/image/4Q_2023_Earnings_Press_Release_with_Tables.pdf
2024Q1,https://investors.eogresources.com/events-and-presentations?item=30,https://investors.eogresources.com/download/Stats_Pages_2009-2024Q1.xlsx,https://investors.eogresources.com/image/2Q24_Guidance-Website_Final.pdf,https://investors.eogresources.com/image/1Q_2024_Earnings_Press_Release_with_Tables.pdf
2024Q2,https://investors.eogresources.com/events-and-presentations?item=33,https://investors.eogresources.com/download/Stats_Pages_2009-2024Q2_Upd.xlsx,https://investors.eogresources.com/image/3Q24_Guidance-Website_Final.pdf,https://investors.eogresources.com/image/2Q-2024-Earnings-Press-Release-with-Tables.pdf
2024Q3,https://investors.eogresources.com/events-and-presentations?item=35,https://investors.eogresources.com/download/Stats+Pages+2009-2024Q3+Upd.xlsx,https://investors.eogresources.com/download/4Q24+Guidance+-+Website+Final.pdf,https://investors.eogresources.com/download/3Q+2024+Earnings+Press+Release+with+Tables.pdf
2024Q4,https://investors.eogresources.com/events-and-presentations?item=38,https://investors.eogresources.com/download/Stats_Pages_200-2024Q4_Upd.xlsx,https://investors.eogresources.com/image/1Q25+Guidance+-+Website.pdf,https://investors.eogresources.com/image/4Q+2024+Earnings+Press+Release.pdf
2025Q1,https://investors.eogresources.com/events-and-presentations?item=39,https://investors.eogresources.com/download/Stats_Pages_2010-2025Q1_Upd.xlsx,https://investors.eogresources.com/image/2Q25_Guidance-Website.pdf,https://investors.eogresources.com/image/1Q_2025_Earnings_Press_Release.pdf
2025Q2,https://investors.eogresources.com/events-and-presentations?item=43,https://investors.eogresources.com/download/Stats_Pages_2010-2025Q2_Upd.xlsx,https://investors.eogresources.com/image/3Q25_Guidance.pdf,https://investors.eogresources.com/image/2Q_2025_Earnings_Press_Release.pdf
2025Q3,https://investors.eogresources.com/events-and-presentations?item=46,https://investors.eogresources.com/download/Stats_Pages_2010-2025Q3_Upd.xlsx,https://investors.eogresources.com/image/4Q25+Guidance.pdf,https://investors.eogresources.com/image/3Q_2025_Earnings_Press_Release.pdf
2025Q4,https://investors.eogresources.com/events-and-presentations?item=48,https://investors.eogresources.com/download/Stats2025_4Q_With_Formulas_RV.xlsx,https://investors.eogresources.com/download/1Q26_Guidance_Website_Final.pdf,https://investors.eogresources.com/image/4Q_2025_Earnings_Press_Release.pdf
2026Q1,https://investors.eogresources.com/events-and-presentations?item=50,https://investors.eogresources.com/download/Stats2026_1Q_With_Formulas_21-26.xlsx,https://investors.eogresources.com/image/2Q26_Guidance.pdf,https://investors.eogresources.com/image/1Q_2026_Earnings_Press_Release.pdf
2026Q2,https://investors.eogresources.com/events-and-presentations?item=53,https://investors.eogresources.com/download/Stats2026_2Q_With_Formulas_21-26.xlsx,https://investors.eogresources.com/image/3Q26_Guidance-Website.pdf,https://investors.eogresources.com/image/2Q_2026_Earnings_Press_Release.pdf
