ticker,feature,observations
COP,total_production,37
COP,oil_production,0
COP,gas_production,0
COP,realized_oil_price,19
COP,realized_gas_price,6
COP,realized_combined_price,32
COP,production_guidance,0
EOG,total_production,0
EOG,oil_production,0
EOG,gas_production,0
EOG,realized_oil_price,7
EOG,realized_gas_price,6
EOG,realized_combined_price,0
EOG,production_guidance,0
FANG,total_production,24
FANG,oil_production,24
FANG,gas_production,0
FANG,realized_oil_price,24
FANG,realized_gas_price,24
FANG,realized_combined_price,24
FANG,production_guidance,22
DVN,total_production,34
DVN,oil_production,20
DVN,gas_production,0
DVN,realized_oil_price,36
DVN,realized_gas_price,36
DVN,realized_combined_price,5
DVN,production_guidance,3
