quarter,total_production,oil_production
2016Q4,,244.0
2017Q1,,261.0
2017Q4,548.0,
2018Q2,541.0,109.0
2018Q3,418.0,
2018Q4,61.0,
2019Q1,29.0,163.0
2019Q2,149.0,153.0
2019Q3,155.0,146.0
2019Q4,584.0,156.0
2020Q1,162.0,
2020Q2,24.0,
2020Q4,409.0,
2021Q2,358.0,291.0
2021Q4,416.0,
2022Q1,394.0,
2022Q2,74.0,
2022Q4,407.0,
2023Q1,68.0,320.0
2023Q2,420.0,323.0
2023Q3,,321.0
2024Q1,,319.0
2025Q1,851.0,390.0
2025Q2,841.0,387.0
2025Q3,853.0,390.0
2026Q1,833.0,387.0
2026Q2,1359.0,503.0
