ticker,target_quarter,filing_date,guidance_total_production,guidance_oil_production,score,source,raw_text
FANG,2026Q3,2026-08-03,1005.0,522.0,150,2026-08-03:EX-99.1:diamondbackex991-8x3x26.htm,"Q3 2026 oil production guidance of 517 - 527 MBO/d (995 - 1,015"
FANG,2026Q1,2026-05-04,944.0,505.0,150,2026-05-04:EX-99.1:diamondbackex991-5x4x26.htm,Q1 2026 base dividend; represents ~50% of Adjusted Free Cash Flow UPDATED 2026 GUIDANCE HIGHLIGHTS • Increasing annual oil production guidance to 520+ (from 500 - 510) MBO/d and total BOE production to 972+ (from 926 - 962
FANG,2026Q1,2026-02-23,948.0,507.0,150,2026-02-23:EX-99.1:diamondbackex991-2x23x26.htm,Q1 2026 oil production guidance of 502 - 512 MBO/d (930 - 966
FANG,2025Q4,2025-11-03,915.0,496.5,150,2025-11-03:EX-99.1:diamondbackex991-11x3x25.htm,Q4 2025 (to date) UPDATED 2025 GUIDANCE HIGHLIGHTS • Increasing full year oil production guidance to 495 - 498 MBO/d and increasing annual BOE guidance to 910 - 920
FANG,2025Q3,2025-08-04,905.0,490.0,150,2025-08-04:EX-99.1:diamondbackex991-8x4x25.htm,Q3 2025 oil production guidance of 485 - 495 MBO/d (890 - 920
FANG,2025Q2,2025-05-05,883.0,492.5,150,2025-05-05:EX-99.1:diamondbackex991-5x5x25.htm,Q2 2025 oil production guidance of 485 - 500 MBO/d (866 - 900
FANG,2025Q1,2025-02-24,867.5,472.5,150,2025-02-24:EX-99.1:diamondbackex991-2x24x25.htm,Q1 2025 oil production guidance of 470 - 475 MBO/d ( 860 - 875
FANG,2024Q4,2024-11-04,845.0,472.5,150,2024-11-04:EX-99.1:diamondbackex991-11x4x24.htm,Q4 2024 Oil production - MBO/d (total - MBOE/d) 470 - 475 (840 - 850
FANG,2024Q3,2024-10-01,567.0,320.0,150,2024-10-01:EX-99.1:diamondbackex991-10x1x24.htm,Q3 2024 oil production guidance of 319 - 321 MBO/d (565 - 569
FANG,2024Q3,2024-08-05,462.5,273.0,150,2024-08-05:EX-99.1:diamondbackex991-8x5x24.htm,Q3 2024 oil production - MBO/d (total - MBOE/d) 271 - 275 (459 - 466
FANG,2024Q2,2024-04-30,462.5,273.0,150,2024-04-30:EX-99.1:diamondbackex991-4x30x24.htm,Q2 2024 oil production - MBO/d (total - MBOE/d) 271 - 275 (459 - 466
FANG,2024Q1,2024-02-20,461.0,272.0,150,2024-02-20:EX-99.1:diamondbackex991-2x20x24.htm,Q1 2024 oil production guidance of 270 - 274 MBO/d (458 - 464
FANG,2023Q4,2023-11-06,457.5,271.0,150,2023-11-06:EX-99.1:diamondbackex991-11x6x23.htm,Q4 2023 oil production - MBO/d (total - MBOE/d) 269 - 273 (455 - 460
FANG,2023Q3,2023-07-31,442.5,263.5,150,2023-07-31:EX-99.1:diamondbackex991-7x31x23.htm,Q3 2023 oil production - MBO/d (total - MBOE/d) 262 - 265 (440 - 445
FANG,2023Q2,2023-05-01,433.0,259.5,150,2023-05-01:EX-99.1:diamondbackex991-5x1x23.htm,Q2 2023 oil production - MBO/d (total - MBOE/d) 258 - 261 (430 - 436
FANG,2023Q1,2023-02-21,418.5,250.0,150,2023-02-21:EX-99.1:diamondbackex991-2x21x23.htm,Q1 2023 oil production guidance of 248 - 252 MBO/d (415 - 422
FANG,2022Q4,2022-11-07,389.5,226.0,150,2022-11-07:EX-99.1:diamondbackex991-11x7x22.htm,Q4 2022 oil production - MBO/d (total - MBOE/d) 224 - 228 (386 - 393
FANG,2022Q3,2022-08-01,374.0,220.0,150,2022-08-01:EX-99.1:diamondbackex991-8x1x22.htm,Q3 2022 oil production - MBO/d (total - MBOE/d) 218 - 222 (370 - 378
FANG,2022Q2,2022-05-02,372.5,220.0,150,2022-05-02:EX-99.1:diamondbackex991-5x2x22.htm,Q2 2022 oil production - MBO/d (total - MBOE/d) 218 - 222 (369 - 376
FANG,2022Q1,2022-02-22,372.5,220.0,150,2022-02-22:EX-99.1:d302272dex991.htm,Q1 2022 oil production guidance of 218-222 MBO/d (369-376
FANG,2021Q4,2021-11-01,371.0,222.5,150,2021-11-01:EX-99.1:diamondbackex991-11x1x21.htm,"Q4 2021 • Closed sale of Mustang Springs Gas Gathering assets for net consideration of approximately $54 million, after certain post-closing adjustments GUIDANCE UPDATE • Full year 2021 oil production guidance of 222 - 223 MBO/d (370 - 372"
FANG,2021Q3,2021-08-02,393.0,236.0,150,2021-08-02:EX-99.1:diamondbackex991-8x2x21.htm,Q3 2021 oil production guidance of 233 - 239 MBO/d (388 - 398
FANG,2021Q2,2021-05-04,390.5,234.0,150,2021-05-04:EX-99.1:diamondbackex991-5x3x21.htm,Q2 2021 oil production - MBO/d (total - MBOE/d) (a) 232.0 - 236.0 (387.0 - 394.0
