ticker,quarter,kpi,score,concept,label,unit,numeric_value,period_start,period_end,period_days,filing_date,accession,concept_frequency,final_score,standard_value
DVN,2020Q1,realized_oil_price,65.0,us-gaap:DerivativeNonmonetaryNotionalAmountVolume,NYMEX West Texas Intermediate Price Swaps Oil Q2-Q4 2020,,82207.0,2020-01-01,2020-03-31,91.0,2020-05-06,0001564590-20-021639,7,107.0,82207.0
DVN,2021Q1,realized_oil_price,65.0,us-gaap:DerivativeNonmonetaryNotionalAmountVolume,NYMEX West Texas Intermediate Price Swaps Oil Q2-Q4 2021,,81122.0,2021-01-01,2021-03-31,90.0,2021-05-05,0001564590-21-023786,7,107.0,81122.0
DVN,2022Q1,realized_oil_price,65.0,us-gaap:DerivativeNonmonetaryNotionalAmountVolume,NYMEX West Texas Intermediate Price Swaps Oil Q2-Q4 2022,,35258.0,2022-01-01,2022-03-31,90.0,2022-05-03,0000950170-22-007007,7,107.0,35258.0
DVN,2023Q1,realized_oil_price,65.0,us-gaap:DerivativeNonmonetaryNotionalAmountVolume,NYMEX West Texas Intermediate Price Collars Oil Q2-Q4 2023,,83329.0,2023-01-01,2023-03-31,90.0,2023-05-09,0000950170-23-019312,7,107.0,83329.0
DVN,2024Q1,realized_oil_price,65.0,us-gaap:DerivativeNonmonetaryNotionalAmountVolume,NYMEX West Texas Intermediate Price Collars Oil Q1 Q4 2025,,992.0,2024-01-01,2024-03-31,91.0,2024-05-02,0000950170-24-051757,7,107.0,992.0
DVN,2025Q1,realized_oil_price,65.0,us-gaap:DerivativeNonmonetaryNotionalAmountVolume,Nymex West Texas Intermediate Price Swaps Oil Q2-Q4 2025,,10985.0,2025-01-01,2025-03-31,90.0,2025-05-07,0000950170-25-065278,7,107.0,10985.0
DVN,2026Q1,realized_oil_price,65.0,us-gaap:DerivativeNonmonetaryNotionalAmountVolume,NYMEX West Texas Intermediate Three Way Price Collars Oil Q2 Q4 2026,,108698.0,2026-01-01,2026-03-31,90.0,2026-05-06,0001193125-26-208143,7,107.0,108698.0
DVN,2020Q1,realized_gas_price,95.0,us-gaap:DerivativeNonmonetaryNotionalAmountEnergyMeasure,FERC Henry Hub Price Swaps Natural Gas Q2-Q4 2020,,65396.0,2020-01-01,2020-03-31,91.0,2020-05-06,0001564590-20-021639,7,137.0,65396.0
DVN,2021Q1,realized_gas_price,95.0,us-gaap:DerivativeNonmonetaryNotionalAmountEnergyMeasure,FERC Henry Hub Price Swaps Natural Gas Q2-Q4 2021,,270636.0,2021-01-01,2021-03-31,90.0,2021-05-05,0001564590-21-023786,7,137.0,270636.0
DVN,2022Q1,realized_gas_price,95.0,us-gaap:DerivativeNonmonetaryNotionalAmountEnergyMeasure,FERC Henry Hub Price Swaps Natural Gas1 Q2-Q4 2022,,110000.0,2022-01-01,2022-03-31,90.0,2022-05-03,0000950170-22-007007,7,137.0,110000.0
DVN,2023Q1,realized_gas_price,95.0,us-gaap:DerivativeNonmonetaryNotionalAmountEnergyMeasure,Ferc Henry Hub Price Swaps Natural Gas Q2 Q4 2023,,57309.0,2023-01-01,2023-03-31,90.0,2023-05-09,0000950170-23-019312,7,137.0,57309.0
DVN,2024Q1,realized_gas_price,95.0,us-gaap:DerivativeNonmonetaryNotionalAmountEnergyMeasure,Ferc Henry Hub Price Swaps Natural Gas Q2 Q4 2024,,244935.0,2024-01-01,2024-03-31,91.0,2024-05-02,0000950170-24-051757,7,137.0,244935.0
DVN,2025Q1,realized_gas_price,95.0,us-gaap:DerivativeNonmonetaryNotionalAmountEnergyMeasure,FERC Henry Hub Price Swaps Natural Gas Q2-Q4 2025,,296167.0,2025-01-01,2025-03-31,90.0,2025-05-07,0000950170-25-065278,7,137.0,296167.0
DVN,2026Q1,realized_gas_price,95.0,us-gaap:DerivativeNonmonetaryNotionalAmountEnergyMeasure,Ferchenry Hub Price Swaps Natural Gas Q1-Q4 2026,,247500.0,2026-01-01,2026-03-31,90.0,2026-05-06,0001193125-26-208143,7,137.0,247500.0
