filing_date,result_quarter,table_index,row_number,mode,section,row_text,numeric_values,selected_value,source
2022-08-04,2022Q2,2,19,ACTUAL,ngl,Total | Total | Total | 201.9 | 201.9 | | | | | 138.5 | 138.5 | | | | | 46 | 46 | % | | | | 190.3 | 190.3 | | | | | 196.1 | 196.1 | | | | | 131.5 | 131.5 | | | | | 49 | 49 | %,"[201.9, 201.9, 138.5, 138.5, 46.0, 46.0, 190.3, 190.3, 196.1, 196.1, 131.5, 131.5, 49.0, 49.0]",201.9,2022-08-04:EX-99.1:exh99-1080422.htm
2022-08-04,2022Q2,2,29,ACTUAL,gas,Total | Total | Total | 1528 | 1528 | | | | | 1445 | 1445 | | | | | 6 | 6 | % | | | | 1458 | 1458 | | | | | 1493 | 1493 | | | | | 1394 | 1394 | | | | | 7 | 7 | %,"[1528.0, 1528.0, 1445.0, 1445.0, 6.0, 6.0, 1458.0, 1458.0, 1493.0, 1493.0, 1394.0, 1394.0, 7.0, 7.0]",1528.0,2022-08-04:EX-99.1:exh99-1080422.htm
2022-08-04,2022Q2,2,41,ACTUAL,total,Total | Total | Total | 920.7 | 920.7 | | | | | 828.0 | 828.0 | | | | | 11 | 11 | % | | | | 883.3 | 883.3 | | | | | 902.1 | 902.1 | | | | | 803.6 | 803.6 | | | | | 12 | 12 | %,"[920.7, 920.7, 828.0, 828.0, 11.0, 11.0, 883.3, 883.3, 902.1, 902.1, 803.6, 803.6, 12.0, 12.0]",920.7,2022-08-04:EX-99.1:exh99-1080422.htm
2022-08-04,2022Q2,2,48,ACTUAL,total,"(D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MMBoe is calculated by multiplying the MBoed amount by the number of days in the period and then dividing that amount by one thousand. | (D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MMBoe is calculated by multiplying the MBoed amount by the number of days in the period and then dividing that amount by one thousand. | (D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MM","[1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0]",,2022-08-04:EX-99.1:exh99-1080422.htm
2022-05-05,2022Q1,2,19,ACTUAL,ngl,Total | Total | Total | 190.3 | 190.3 | | | | | 124.3 | 124.3 | | | | | 53 | 53 | % | | | | 156.9 | 156.9 |,"[190.3, 190.3, 124.3, 124.3, 53.0, 53.0, 156.9, 156.9]",190.3,2022-05-05:EX-99.1:exh99-1050522.htm
2022-05-05,2022Q1,2,29,ACTUAL,gas,Total | Total | Total | 1458 | 1458 | | | | | 1342 | 1342 | | | | | 9 | 9 | % | | | | 1534 | 1534 |,"[1458.0, 1458.0, 1342.0, 1342.0, 9.0, 9.0, 1534.0, 1534.0]",1458.0,2022-05-05:EX-99.1:exh99-1050522.htm
2022-05-05,2022Q1,2,41,ACTUAL,total,Total | Total | Total | 883.3 | 883.3 | | | | | 778.9 | 778.9 | | | | | 13 | 13 | % | | | | 863.1 | 863.1 |,"[883.3, 883.3, 778.9, 778.9, 13.0, 13.0, 863.1, 863.1]",883.3,2022-05-05:EX-99.1:exh99-1050522.htm
2022-05-05,2022Q1,2,48,ACTUAL,total,"(D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MMBoe is calculated by multiplying the MBoed amount by the number of days in the period and then dividing that amount by one thousand. | (D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MMBoe is calculated by multiplying the MBoed amount by the number of days in the period and then dividing that amount by one thousand. | (D) Thousand barrels of oil equivalent per day or million barrels of oil equivalent, as applicable; includes crude oil and condensate, NGLs and natural gas. Crude oil equivalent volumes are determined using a ratio of 1.0 barrel of crude oil and condensate or NGLs to 6.0 thousand cubic feet of natural gas. MM","[1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0, 1.0, 6.0]",,2022-05-05:EX-99.1:exh99-1050522.htm
2022-02-24,2021Q4,2,19,ACTUAL,ngl,Total | Total | Total | 156.9 | 156.9 | | | | | 141.4 | 141.4 | | | | | 11 | 11 | % | | | | 157.9 | 157.9 | | | | | 144.5 | 144.5 | | | | | 136.0 | 136.0 | | | | | 6 | 6 | %,"[156.9, 156.9, 141.4, 141.4, 11.0, 11.0, 157.9, 157.9, 144.5, 144.5, 136.0, 136.0, 6.0, 6.0]",156.9,2022-02-24:EX-99.1:exh99-1022422.htm
2022-02-24,2021Q4,2,29,ACTUAL,gas,Total | Total | Total | 1534 | 1534 | | | | | 1292 | 1292 | | | | | 19 | 19 | % | | | | 1422 | 1422 | | | | | 1436 | 1436 | | | | | 1252 | 1252 | | | | | 15 | 15 | %,"[1534.0, 1534.0, 1292.0, 1292.0, 19.0, 19.0, 1422.0, 1422.0, 1436.0, 1436.0, 1252.0, 1252.0, 15.0, 15.0]",1534.0,2022-02-24:EX-99.1:exh99-1022422.htm
