quarter,total_production,oil_production
2016Q3,552.1,1184.0
2016Q4,560.0,1175.0
2017Q1,560.3,1136.5
2017Q2,587.4,1145.0
2017Q3,591.0,1120.0
2017Q4,608.9,1152.5
2018Q1,615.3,1117.0
2018Q2,653.05,1162.0
2018Q3,673.45,1166.0
2018Q4,719.2,1219.0
2019Q1,716.75,1242.0
2019Q2,812.8,1356.0
2019Q3,834.2,1373.0
2019Q4,850.3,1425.0
2020Q1,874.1,1378.0
2020Q2,623.4,1147.0
2020Q3,716.0,1190.0
2020Q4,801.5,1292.0
2021Q1,778.9,1378.0
2021Q2,828.0,1445.0
2021Q3,844.4,1422.0
2021Q4,302.5,1534.0
2022Q1,883.3,1458.0
2022Q2,920.7,1528.0
2022Q3,919.2,1469.0
2022Q4,331.5,1534.0
2023Q1,883.3,1458.0
2023Q2,883.3,1458.0
2023Q3,883.3,1458.0
2023Q4,359.4,1458.0
2024Q1,970.3,1668.0
2024Q2,970.3,1668.0
2024Q3,970.3,1668.0
2024Q4,388.7,1668.0
2025Q1,1047.5,1872.0
2025Q2,1062.1,1948.0
2025Q3,1062.1,1948.0
2025Q4,1232.2,1948.0
2026Q1,1232.2,1948.0
2026Q2,1232.2,1948.0
