target_quarter,guidance_total_production,guidance_oil_production
2021Q2,1520.0,
2021Q3,1500.0,
2021Q4,1550.0,
2022Q2,1700.0,
2022Q3,1730.0,
2022Q4,1770.0,
2023Q2,1790.0,
2023Q3,1800.0,
2023Q4,1880.0,
2024Q1,1900.0,
2024Q2,1930.0,
2024Q3,1890.0,
2024Q4,2010.0,
2025Q1,2360.0,
2025Q2,2360.0,
2025Q3,2350.0,
2025Q4,2320.0,
2026Q1,2320.0,
2026Q2,2200.0,
2026Q3,2305.0,
