ticker,quarter,kpi,value,score,filing_date,source,method,raw_text
COP,2017Q2,realized_combined_price,36.13,95,2017-07-27,2017-07-27:EX-99.1:a51596493ex99_1.htm,prose,total realized price during this period was $36.13 per BOE
COP,2017Q2,realized_oil_price,36.08,95,2017-07-27,2017-07-27:EX-99.1:a51596493ex99_1.htm,prose,realized price was $36.08 per barrel of oil
COP,2017Q2,total_production,1578.0,80,2017-07-27,2017-07-27:EX-99.2:a51596493ex99_2.htm:table4,table,Total (MBOED) | | | 1578 | | | | 1546 | | | | 1557 | | | | 1596 | | | | 1569 | | | | 1593 | | | | 1437 | | | | | | | | 1514 |
COP,2017Q3,realized_combined_price,37.1,95,2017-10-26,2017-10-26:EX-99.1:a51704805_ex991.htm,prose,total realized price during this period was $37.10 per BOE
COP,2017Q3,realized_oil_price,39.49,95,2017-10-26,2017-10-26:EX-99.1:a51704805_ex991.htm,prose,realized price was $39.49 per barrel of oil
COP,2017Q3,total_production,1578.0,80,2017-10-26,2017-10-26:EX-99.2:a51704805_ex992.htm:table4,table,Total (MBOED) | Total (MBOED) | 1578 | 1546 | | 1557 | 1596 | | 1569 | | 1593 | 1437 | 1226 | | | 1418
COP,2017Q4,realized_combined_price,46.1,95,2018-02-01,2018-02-01:EX-99.1:a51751291ex99_1.htm,prose,total realized price was $46.10 per BOE
COP,2017Q4,total_production,1578.0,80,2018-02-01,2018-02-01:EX-99.2:a51751291ex99_2.htm:table5,table,Total (MBOED) | | | 1578 | | | | 1546 | | | | 1557 | | | | 1596 | | | | 1569 | | | | 1593 | | | | 1437 | | | | 1226 | | | | 1256 | | | | 1377 |
COP,2018Q1,realized_combined_price,36.18,95,2018-04-26,2018-04-26:EX-99.1:a51794810_ex991.htm,prose,"realized price was $50.49 per barrel of oil equivalent (BOE), compared with $36.18 per BOE"
COP,2018Q1,realized_oil_price,50.49,95,2018-04-26,2018-04-26:EX-99.1:a51794810_ex991.htm,prose,realized prices and reduced depreciation expense. The company’s total realized price was $50.49 per barrel of oil
COP,2018Q1,total_production,1593.0,80,2018-04-26,2018-04-26:EX-99.2:a51794810_ex992.htm:table4,table,Total (MBOED) | | | 1593 | | | | 1437 | | | | 1226 | | | | 1256 | | | | 1377 | | | | 1269 | | | | | | | | | | | | | | | | 1269 |
COP,2018Q2,realized_combined_price,52.37,95,2018-07-26,2018-07-26:EX-99.1:a51842429ex99_1.htm,prose,total realized price during this period was $52.37 per BOE
COP,2018Q2,realized_oil_price,54.32,95,2018-07-26,2018-07-26:EX-99.1:a51842429ex99_1.htm,prose,realized prices. The company’s total realized price was $54.32 per barrel of oil
COP,2018Q2,total_production,1593.0,80,2018-07-26,2018-07-26:EX-99.2:a51842429ex99_2.htm:table4,table,Total (MBOED) | | | 1593 | | | | 1437 | | | | 1226 | | | | 1256 | | | | 1377 | | | | 1269 | | | | 1249 | | | | | | 1258 |
COP,2018Q3,realized_combined_price,54.2,95,2018-10-25,2018-10-25:EX-99.1:a51888084ex99_1.htm,prose,total realized price during this period was $54.20 per BOE
COP,2018Q3,realized_oil_price,57.71,95,2018-10-25,2018-10-25:EX-99.1:a51888084ex99_1.htm,prose,realized prices and sales volumes. The company’s total realized price was $57.71 per barrel of oil
