ticker,structural_weight,v21_weight,historical_structural_mae,historical_v21_mae
COP,0.85,0.15000000000000002,4.561559456439562,10.609384514675996
DVN,0.05,0.95,19.652023040776218,9.05405713302349
EOG,0.75,0.25,6.679756888919168,14.478883309055428
FANG,0.2,0.8,17.687562394783974,14.72051017738252
