ticker,nowcast_quarter,predicted_revenue_B,predicted_revenue_log_yoy,predicted_revenue_yoy_pct,v21_log_yoy,v21_yoy_pct,structural_log_yoy,structural_yoy_pct,base_structural_weight,source_quality_score,structural_weight,v21_weight,selected_model,structural_model_type,company_prod_yoy_proxy,price_effect_log_yoy,production_yoy_source,oil_contribution_log_points,ngl_contribution_log_points,gas_contribution_log_points,guidance_total_production,model_spread_log_points,confidence
COP,2026Q3,16.119126827931773,18.94644409693886,20.86021465045942,23.55159437659819,26.55615589136866,16.779314553569762,18.26919402353675,0.85,0.8,0.68,0.31999999999999995,BLEND,V3_2_7_LEGACY,-1.9334651707455723,18.71277972431533,GUIDANCE_VS_GUIDANCE,,,,2305.0,6.772279823028427,MEDIUM
EOG,2026Q3,7.040229504662715,18.571206053918168,20.40755096053899,52.31237035338634,68.72900201759597,18.571206053918168,20.40755096053899,1.0,1.0,1.0,0.0,STRUCTURAL_ONLY,COMPONENT_PRICE_X_VOLUME,8.186185648305006,13.33718867126331,GUIDANCE_VS_ACTUAL,15.525472169658583,2.075439773158665,0.7182281651027238,1412.2,33.741164299468174,LOW
FANG,2026Q3,4.915475399023933,22.527693133327478,25.266957161670046,27.367780451933115,31.479111423218022,21.317671303676068,23.76033325643141,0.8,1.0,0.8,0.19999999999999996,BLEND,V3_2_7_LEGACY,6.378258802154459,14.939412501521607,GUIDANCE_VS_ACTUAL,,,,1005.0,6.050109148257047,HIGH
DVN,2026Q3,8.526504532187717,69.6025242935434,100.57644159462988,69.6025242935434,100.57644159462988,80.34157492756125,123.31558161765663,0.0,1.0,0.0,1.0,V2.1_ONLY,V3_2_7_LEGACY,67.48088967674877,12.860685250812484,GUIDANCE_VS_ACTUAL,,,,1675.0,10.739050634017858,LOW
