quarter,total_production,oil_production
2022Q4,1758.0,
2023Q1,1792.0,
2023Q2,1805.0,
2023Q4,1902.0,
2024Q1,1902.0,
2024Q3,1917.0,
2024Q4,2183.0,
2025Q1,2389.0,
2025Q2,2391.0,
2025Q4,2320.0,
2026Q1,2309.0,
2026Q2,2248.0,
