quarter,component,value,sheet,row,label,type
2022Q3,oil,465.1,1,11,Total,TOTAL_ROW
2022Q3,ngl,209.3,1,17,Total,TOTAL_ROW
2022Q3,oil,465.1,1,11,Total,TOTAL_ROW
2022Q3,ngl,209.3,1,17,Total,TOTAL_ROW
2022Q3,oil,465.1,1,11,Total,TOTAL_ROW
2022Q3,ngl,209.3,1,17,Total,TOTAL_ROW
2022Q3,oil,465.1,1,11,Total,TOTAL_ROW
2022Q3,ngl,209.3,1,17,Total,TOTAL_ROW
2022Q3,oil,465.1,1,11,Total,TOTAL_ROW
2022Q3,ngl,209.3,1,17,Total,TOTAL_ROW
2022Q3,oil,465.1,1,11,Total,TOTAL_ROW
2022Q3,ngl,209.3,1,17,Total,TOTAL_ROW
2022Q3,oil,465.1,1,11,Total,TOTAL_ROW
2022Q3,ngl,209.3,1,17,Total,TOTAL_ROW
2022Q3,oil,465.1,1,11,Total,TOTAL_ROW
2022Q3,ngl,209.3,1,17,Total,TOTAL_ROW
2023Q1,oil,457.7,1,11,Total,TOTAL_ROW
2023Q1,ngl,212.2,1,17,Total,TOTAL_ROW
2023Q1,oil,457.7,1,11,Total,TOTAL_ROW
2023Q1,ngl,212.2,1,17,Total,TOTAL_ROW
2023Q1,oil,457.7,1,11,Total,TOTAL_ROW
2023Q1,ngl,212.2,1,17,Total,TOTAL_ROW
2023Q1,oil,457.7,1,11,Total,TOTAL_ROW
2023Q1,ngl,212.2,1,17,Total,TOTAL_ROW
2023Q1,oil,457.7,1,11,Total,TOTAL_ROW
2023Q1,ngl,212.2,1,17,Total,TOTAL_ROW
2023Q1,oil,457.7,1,11,Total,TOTAL_ROW
2023Q1,ngl,212.2,1,17,Total,TOTAL_ROW
2023Q1,oil,457.7,1,11,Total,TOTAL_ROW
2023Q1,ngl,212.2,1,17,Total,TOTAL_ROW
2023Q1,oil,457.7,1,11,Total,TOTAL_ROW
2023Q1,ngl,212.2,1,17,Total,TOTAL_ROW
2023Q3,oil,483.3,1,11,Total,TOTAL_ROW
2023Q3,ngl,231.1,1,17,Total,TOTAL_ROW
2023Q3,oil,483.3,1,11,Total,TOTAL_ROW
2023Q3,ngl,231.1,1,17,Total,TOTAL_ROW
2023Q3,oil,483.3,1,11,Total,TOTAL_ROW
2023Q3,ngl,231.1,1,17,Total,TOTAL_ROW
2023Q3,oil,483.3,1,11,Total,TOTAL_ROW
2023Q3,ngl,231.1,1,17,Total,TOTAL_ROW
2023Q3,oil,483.3,1,11,Total,TOTAL_ROW
2023Q3,ngl,231.1,1,17,Total,TOTAL_ROW
2023Q3,oil,483.3,1,11,Total,TOTAL_ROW
2023Q3,ngl,231.1,1,17,Total,TOTAL_ROW
2023Q3,oil,483.3,1,11,Total,TOTAL_ROW
2023Q3,ngl,231.1,1,17,Total,TOTAL_ROW
2023Q3,oil,483.3,1,11,Total,TOTAL_ROW
2023Q3,ngl,231.1,1,17,Total,TOTAL_ROW
2023Q3,oil,483.3,1,11,Total,TOTAL_ROW
2023Q3,ngl,231.1,1,17,Total,TOTAL_ROW
2023Q4,oil,485.2,1,11,Total,TOTAL_ROW
