quarter,total_production_raw,realized_gas_price_raw,realized_gas_price
2020Q1,15.0,,
2022Q1,,7.0,7.0
2023Q1,,16.0,16.0
2024Q1,,14.0,14.0
2025Q1,,15.0,15.0
2026Q1,,20.0,20.0
