,revenue,assets,ppe,goodwill,debt,shares,revenue_yoy,assets_yoy,ppe_yoy,debt_yoy,shares_yoy,assets_qoq,ppe_qoq,debt_qoq,shares_qoq,goodwill_jump
2009Q2,,150073000000.0,86246000000.0,3715000000.0,,,,,,,,,,,,
2009Q3,,152427000000.0,87136000000.0,3715000000.0,,,,,,,,1.5563950535840865,1.026643846691176,,,0.0
2010Q1,,154810000000.0,86623000000.0,3635000000.0,,,,,,,,1.551276563742545,-0.590474727090228,,,-0.052484139948959174
2010Q2,,151456000000.0,81269000000.0,3638000000.0,,,,,,,,-2.1903404828536646,-6.380072919450375,,,0.0019378593114139915
2010Q3,47208000000.0,155333000000.0,81460000000.0,3637000000.0,,1481522000.0,,3.4449357153379365,-5.709157580417081,,,2.5276045808649465,0.23474621943235366,,,-0.0006602577646313121
2010Q4,51726000000.0,,,,,,,,,,,,,,,
2011Q1,56530000000.0,159643000000.0,83765000000.0,3630000000.0,,1432285000.0,,3.0741513734222266,-3.355011007495105,,,,,,,
2011Q2,65627000000.0,160068000000.0,84268000000.0,3606000000.0,,1399473000.0,,5.530357122306982,3.623755623828088,,,0.2658652660311065,0.5986937118728253,,-2.3175333899737875,-0.015033543594144435
2011Q3,62784000000.0,154689000000.0,83090000000.0,3606000000.0,,1357710000.0,28.51368941880303,-0.41545498467957537,1.9812255456623435,,-8.727048074126555,-3.4182075261216265,-1.4077838587333928,,-3.0296280188427587,0.0
2011Q4,59872000000.0,,,,,,14.624839363583607,,,,,,,,,
2012Q1,56132000000.0,162881000000.0,85559000000.0,3330000000.0,,1283493000.0,-0.7065410798310101,2.0079800545909516,2.1190937295872514,,-10.968580360548101,,,,,
2012Q2,13988000000.0,114008000000.0,71227000000.0,,,1248300000.0,-154.5787377436745,-33.93301035759963,-16.81302362464084,,-11.431311150789664,-35.67512514615948,-18.333423642355285,,-2.7802641802153576,
