ticker,nowcast_quarter,predicted_revenue_B,predicted_revenue_log_yoy,predicted_revenue_yoy_pct,v21_log_yoy,v21_yoy_pct,structural_log_yoy,structural_yoy_pct,base_structural_weight,source_quality_score,structural_weight,v21_weight,selected_model,model_spread_pp,confidence,confidence_reason,company_prod_yoy_proxy,production_yoy_source,guidance_total_production,guidance_vs_actual_yoy,guidance_vs_guidance_yoy,total_prod_yoy_l1,total_production_raw,total_production_clean,oil_production_clean,total_qc_flag,oil_qc_flag,has_company_prod,has_guidance
COP,2026Q3,16.119126827931773,18.94644409693886,20.86021465045942,23.55159437659819,26.55615589136866,16.779314553569762,18.26919402353675,0.85,0.8,0.68,0.31999999999999995,BLEND,6.772279823028427,MEDIUM,ACCEPTABLE_DATA_AND_MODEL_SPREAD,-1.9334651707455723,GUIDANCE_VS_GUIDANCE,2305.0,,-1.9334651707455723,-6.167075644474298,,,,MISSING,MISSING,1.0,1.0
EOG,2026Q3,8.475873765505355,37.12950379332992,44.96107004455885,52.31237035338634,68.72900201759597,33.56809064961298,39.88925760516386,0.9,0.9,0.81,0.18999999999999995,BLEND,18.744279703773365,MEDIUM,ACCEPTABLE_DATA_AND_MODEL_SPREAD,14.855310925297646,ACTUAL_VS_ACTUAL,,,,14.855310925297646,,,,MISSING,MISSING,1.0,0.0
FANG,2026Q3,4.915475399023933,22.527693133327478,25.266957161670046,27.367780451933115,31.479111423218022,21.317671303676068,23.76033325643141,0.8,1.0,0.8,0.19999999999999996,BLEND,6.050109148257047,HIGH,HIGH_QUALITY_PRODUCTION_AND_MODEL_AGREEMENT,6.378258802154459,GUIDANCE_VS_ACTUAL,1005.0,6.378258802154459,10.480787679324994,10.13302286273566,,,,MISSING,MISSING,1.0,1.0
DVN,2026Q3,8.526504532187717,69.6025242935434,100.57644159462988,69.6025242935434,100.57644159462988,80.34157492756125,123.31558161765663,0.0,1.0,0.0,1.0,V2.1_ONLY,10.739050634017858,LOW,STRUCTURAL_DISABLED,67.48088967674877,GUIDANCE_VS_ACTUAL,1675.0,67.48088967674877,,47.991275417819566,,,,MISSING,MISSING,1.0,1.0
