accession_number,filing_date,reportDate,acceptanceDateTime,act,form,fileNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,event_date,quarter
0001104659-24-122112,2024-11-22,2024-11-20,2024-11-22 21:22:21+00:00,34,8-K,001-32395,"2.01,7.01,8.01,9.01",1103925,1,1,tm2428935d2_8k.htm,FORM 8-K,2024-11-20,2024Q4
0001104659-21-145670,2021-12-02,2021-12-01,2021-12-02 12:30:43+00:00,34,8-K,001-32395,"2.01,7.01,9.01",276079,1,1,tm2134322d1_8k.htm,FORM 8-K,2021-12-01,2021Q4
0001104659-21-004775,2021-01-15,2021-01-15,2021-01-15 21:50:06+00:00,34,8-K,001-32395,"2.01,5.02,5.07,8.01,9.01",316992,1,1,tm211520d4_8k.htm,FORM 8-K,2021-01-15,2021Q1
0001104659-17-033735,2017-05-18,2017-05-17,2017-05-18 18:36:47+00:00,34,8-K,001-32395,"2.01,7.01,9.01",562364,0,0,a17-13412_18k.htm,8-K,2017-05-17,2017Q2
