ticker,fiscal_year,event_name,event_type,event_close_date,fnsd_folder,adsh,operating_dimh,consideration_dimh,equity_dimh,ppa_dimh,transaction_cost_dimh,integration_cost_dimh,target_cik,target_balance_date,target_accession,classification_text_tag,classification_phrase,company_year_contamination_status,acquiree_net_income_since_close_usd,acquiree_net_income_since_close_usd_source_tag,acquiree_net_income_since_close_usd_record_sha256,acquiree_revenue_since_close_usd,acquiree_revenue_since_close_usd_source_tag,acquiree_revenue_since_close_usd_record_sha256,total_consideration_usd,total_consideration_usd_source_tag,total_consideration_usd_record_sha256,equity_consideration_usd,equity_consideration_usd_source_tag,equity_consideration_usd_record_sha256,recognized_net_assets_usd,recognized_net_assets_usd_source_tag,recognized_net_assets_usd_record_sha256,assumed_long_term_debt_usd,assumed_long_term_debt_usd_source_tag,assumed_long_term_debt_usd_record_sha256,cash_acquired_usd,cash_acquired_usd_source_tag,cash_acquired_usd_record_sha256,asset_acquisition_ppe_usd,asset_acquisition_ppe_usd_source_tag,asset_acquisition_ppe_usd_record_sha256,acquisition_related_cost_usd,acquisition_related_cost_usd_source_tag,acquisition_related_cost_usd_record_sha256,integration_restructuring_cost_usd,integration_restructuring_cost_usd_source_tag,integration_restructuring_cost_usd_record_sha256,classification_phrase_proven,classification_disclosure_record_sha256,target_public_companyfacts_available,target_entity_name,predeal_balance_date,predeal_accession,predeal_companyfacts_path,predeal_equity_usd,predeal_equity_usd_source_tag,predeal_equity_usd_record_sha256,predeal_debt_current_usd,predeal_debt_current_usd_source_tag,predeal_debt_current_usd_record_sha256,predeal_debt_noncurrent_usd,predeal_debt_noncurrent_usd_source_tag,predeal_debt_noncurrent_usd_record_sha256,predeal_short_term_borrowings_usd,predeal_short_term_borrowings_usd_source_tag,predeal_short_term_borrowings_usd_record_sha256,predeal_cash_usd,predeal_cash_usd_source_tag,predeal_cash_usd_record_sha256,predeal_ytd_operating_income_usd,predeal_ytd_operating_income_usd_source_tag,predeal_ytd_operating_income_usd_record_sha256,predeal_ytd_net_income_usd,predeal_ytd_net_income_usd_source_tag,predeal_ytd_net_income_usd_record_sha256,predeal_total_debt_usd,predeal_book_invested_capital_usd,predeal_filing_date,predeal_filed_before_close,predeal_book_basis_status,predeal_ytd_ownership_days,predeal_ytd_net_income_annualized_usd,predeal_operating_contribution_comparability_status,predeal_evidence_bundle_sha256,ownership_days_in_fiscal_year,fiscal_year_days,ownership_fraction,full_year_normalized_acquiree_net_income_usd,full_year_normalized_acquiree_revenue_usd,ownership_normalization_status,acquired_invested_capital_usd,acquired_capital_scope_complete,acquired_capital_semantics,purchase_accounting_step_up_usd,purchase_accounting_step_up_pct_of_predeal_book,purchase_accounting_step_up_proven,purchase_accounting_step_up_status,normalized_acquiree_return_proxy_pct,normalized_acquiree_return_semantics,acquired_nopat_directly_disclosed,organic_company_roic_validated,terminal_input_allowed,filing_date,source_form,source_num_path,source_txt_path,source_evidence_bundle_sha256,research_only
COP,2021,Concho Resources,business_combination,2021-01-15,2022q1_notes,0001562762-22-000031,0x5adb40b5ac849c63ae60764df796f06a,0x5adb40b5ac849c63ae60764df796f06a,0x00000000,0x5adb40b5ac849c63ae60764df796f06a,0x5adb40b5ac849c63ae60764df796f06a,0x5adb40b5ac849c63ae60764df796f06a,0001358071,2020-09-30,0001358071-20-000059,MergersAcquisitionsAndDispositionsDisclosuresTextBlock,the acquisitions were accounted for as business combinations,LOCKED_OTHER_MATERIAL_SHELL_ACQUISITION_AND_DISPOSITIONS,2330000000.0,NetIncomeLoss,7dfa748cbcdbccd3bd6627cb915d222cc9d2e6449661a604b612aca58ec6655e,6571000000.0,Revenues,d2633a86e1de23c065ad763f3443b94c5ac311d8d12cc38b5986c4953a5563fd,13125000000.0,BusinessCombinationConsiderationTransferred1,eb5b749c6e4642dc2109d17af24d1eacfa6163cff31413620aa1d09fc03f2ec0,13125000000.0,StockIssuedDuringPeriodValueAcquisitions,1b991cc9cbd4c1e96698f8534e9affc7363929ff10461e6c651092298891d2a5,13125000000.0,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,b809f6481ba2b1d52bd4b48b6f6989b271b77b15da682f00cc0aefb8228ddc87,4696000000.0,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,5349868f170c6cd2e60f2648d1b75023e1d8d0dfcdccae6f56865faa45f85419,382000000.0,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,bad072178493db21d44914823dcaa178a631ba5ae55447705f37b82bc022f8a3,18923000000.0,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,131c2ea271a813000c879dc6d8c80e28ca6f8a7204d543c0e7d06f5e6a40501f,391000000.0,BusinessCombinationAcquisitionRelatedCosts,16fa9923cc32ee6af9cb8be282855ae4f03627242f388fd5a54f4a9f758781f8,234000000.0,RestructuringCharges,3e800dc5084986b802c063fbc075f149fc39085dec35d2fb61de881efe60fa49,True,a3cbbc77eb5c569ccc8243260f68fe193962265d202a58fa3b6618f9cbb4879e,True,CONCHO RESOURCES INC,2020-09-30,0001358071-20-000059,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0001358071.json,7787000000.0,StockholdersEquity,a22ba3bb5276a43e07cc9723c116a8bef751d49ac131010e5378758de275afbd,0.0,LongTermDebtCurrent,f812ccac70d9bab3a9ad0164ae15a44d24f9780f2c666efd710a09c5cd731842,3856000000.0,LongTermDebtNoncurrent,60833d00801bc3001280dc5313f3e7c1a1050c703e92604181842075baf07d62,,,,402000000.0,CashAndCashEquivalentsAtCarryingValue,d309b44cfb5baece7c99f1c34f2cd2526ca00788ccde7670279231a8de58998c,-11087000000.0,OperatingIncomeLoss,d708139081c40fe57ba171c8102056cf452bde526e06907f97fa43f65d68e604,-9773000000.0,NetIncomeLoss,f762e4ca71ac810aa24adba96f1a24816840052bf3077c0e7ac9607948bb86c0,3856000000.0,11241000000.0,2020-10-27,True,PROVEN_PUBLIC_TARGET_LAST_PREDEAL_10Q,274.0,-13054445255.474453,DIAGNOSTIC_TARGET_GAAP_VS_ACQUIRER_POST_CLOSE_NET_INCOME_NOT_SAME_PERIMETER,b8bc4b51e20e09dc735780e6c374e3fa20d8a74ba5694faf2bdaee8d5b7f1f9d,351,365,0.9616438356164384,2422934472.934473,6833091168.091167,NORMALIZED_CALENDAR_DAYS_POST_CLOSE_NET_INCOME_PROXY_NOT_NOPAT,17439000000.0,True,PPA_NET_ASSETS_PLUS_ASSUMED_DEBT_MINUS_ACQUIRED_CASH,6198000000.0,55.137443287963706,True,PROVEN_PPA_ECONOMIC_CAPITAL_MINUS_PUBLIC_TARGET_PREDEAL_BOOK_CAPITAL,13.89376955636489,FULL_YEAR_NORMALIZED_NET_INCOME_OVER_PPA_ECONOMIC_CAPITAL_NOT_NOPAT_ROIC,False,False,False,2022-02-17,10-K,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2022q1_notes\num.tsv,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2022q1_notes\txt.tsv,c2277ba99db7a0b9879fc10103e98e0aabf71521956a17d47ed60f17a5475963,True
DVN,2021,WPX Energy,business_combination,2021-01-07,2022q1_notes,0001564590-22-005321,0xa7d1a5e7f235159488af38dc5fe5224e,0x10d8ceae385d405dd0bd473df3107d45,0x00000000,0x00000000,0x07986534c7e7350ff0a4082c86f6a98e,0xd4f3aaf83ee669a795a5a54a68997105,0001518832,2020-09-30,0001518832-20-000019,OrganizationConsolidationBasisOfPresentationBusinessDescriptionAndAccountingPoliciesTextBlock,the transaction has been accounted for using the acquisition method of accounting,NONE,1382000000.0,ProfitLoss,c7db21987656352af9b02b702cc657a4789a7f41c32445f8883114a16ff177ab,5734000000.0,Revenues,e1a7d4da7c16788f9c00df574a7965cd1cc5143f5bb885a0f433243a6e0355e7,5432000000.0,BusinessCombinationConsiderationTransferred1,1bf500c081f564bb532616815f7e78da01973d5f029a7c656c0ec6eb777f0cb9,5383000000.0,BusinessCombinationConsiderationTransferredEquityInterestsIssuedAndIssuable,c465581c82cc8ee0610a1fab528eb44547f45de582fe41b24f183d7037b4c8c1,5432000000.0,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,533350cb8e51f8005721e2f806e48ef42028a89824daa6832ebf58615bb8ada4,3562000000.0,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,d7fa117519c57c34adf7766300cee083bd3325935093c31f4bd3f5962b45637e,344000000.0,CashAcquiredFromAcquisition,30cb623b2f51b322f89ef79fff619c679cbeb0550db405c028e1d082b48aeeea,485000000.0,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,967836178a5084ec645cb583eca1de84cb0b9af9ab638f65e725d44067636135,48000000.0,BusinessAcquisitionCostOfAcquiredEntityTransactionCosts,1a6e38c72cf024831aad2aa0ac8c2b6cfb4ffd79e45ccc22da9848ef87014701,210000000.0,RestructuringCosts,6aa448e76a1844cbddfc74217378b64fda8e32cbdc59148d3fb23f0aa9e32e79,True,f0912e3b9f9146feb45bb7a4abbedd46af3da86e8a7828096fb9bc8c02708c24,True,"WPX Energy, Inc.",2020-09-30,0001518832-20-000019,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0001518832.json,4536000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,63f18b22da7f105d6b1d8843f2f9c18790e5a65f2687c601752ede389b327e20,,,,3257000000.0,LongTermDebtNoncurrent,27bbfc08d7e40cbe25af8042a0e13158730cd5a5e0a1fda993ffe1974af58690,,,,195000000.0,CashAndCashEquivalentsAtCarryingValue,8da8210f364835cb74b3aa02a2b25006e69fd99be1aeda97e58985ebab6e89fe,-811000000.0,OperatingIncomeLoss,cef64d708cb7e1dbc999d78256f6a5cf7a949ec329322d2a02983773eb94dbc5,-952000000.0,NetIncomeLoss,0e82061174f19088fa3fa337de293b5665d69e2cd0a13162fef0834407b3e70c,3257000000.0,7598000000.0,2020-11-03,True,PROVEN_PUBLIC_TARGET_LAST_PREDEAL_10Q,274.0,-1271649635.0364964,DIAGNOSTIC_TARGET_GAAP_VS_ACQUIRER_POST_CLOSE_NET_INCOME_NOT_SAME_PERIMETER,33eb7e293373789e33d8097cfea028f5b8e79915e0d06b2a448b2ea461621dcf,359,365,0.9835616438356164,1405097493.0362117,5829832869.08078,NORMALIZED_CALENDAR_DAYS_POST_CLOSE_NET_INCOME_PROXY_NOT_NOPAT,8650000000.0,True,PPA_NET_ASSETS_PLUS_ASSUMED_DEBT_MINUS_ACQUIRED_CASH,1052000000.0,13.845748881284548,True,PROVEN_PPA_ECONOMIC_CAPITAL_MINUS_PUBLIC_TARGET_PREDEAL_BOOK_CAPITAL,16.243901653597824,FULL_YEAR_NORMALIZED_NET_INCOME_OVER_PPA_ECONOMIC_CAPITAL_NOT_NOPAT_ROIC,False,False,False,2022-02-16,10-K,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2022q1_notes\num.tsv,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2022q1_notes\txt.tsv,092c14cdea9a6568646a91da57c4d011391a006786d0d1a4f0c03919db83f5c4,True
FANG,2024,Endeavor Energy Resources,business_combination,2024-09-10,2025q1_notes,0001539838-25-000021,0x9f397c78074b688a3f9d93f9e2cfed7b,0x9f397c78074b688a3f9d93f9e2cfed7b,0x9f397c78074b688a3f9d93f9e2cfed7b,0x9f397c78074b688a3f9d93f9e2cfed7b,0x2f81a7b0657697080ded3c64481c3325,,PRIVATE_UNAVAILABLE,,,BusinessCombinationDisclosureTextBlock,accounted for under the acquisition method of accounting for business combinations,LOCKED_OTHER_MATERIAL_TRP_EXCHANGE_AND_UNBRIDGED_DISPOSITIONS,459000000.0,BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,63cff4f8f8fc1fab1fb25ca07ed5243602b4fde5d055f01597cec111b49c8a46,1800000000.0,BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,92ae762406636245b62bdc96ec29e1e69dc0443c269d73f0df41cd1e32967f7c,27420000000.0,BusinessCombinationConsiderationTransferred1,e97b6a9ae19582bd55906ad821048335ab0e7173e5e54731b5a0f55c383d42cd,20110000000.0,BusinessCombinationConsiderationTransferredEquityInterestsIssuedAndIssuable,c4f2f942ba18bda358f132fab50d8b3eb8dced5c9676bc983731570a893e35c8,27420000000.0,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,3f82dca04a9f73e31539c0eec55b21547dd2b392437d886e0196bb976ae732ff,,,,,,,,,,303000000.0,BusinessCombinationAcquisitionRelatedCosts,0e57a4ff4546078cc8e7fbf34c9f41777804454737f33b250f59987beb1d7cf6,,,,True,9bb2dde5494ad79cb2560dc60a14da0e1106c269c9db31436fe396b4f329a3d3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCKED_PRIVATE_TARGET_PREDEAL_BOOK_BASIS_UNAVAILABLE,,,,,113,366,0.3087431693989071,1486672566.3716815,5830088495.575221,NORMALIZED_CALENDAR_DAYS_POST_CLOSE_NET_INCOME_PROXY_NOT_NOPAT,27420000000.0,False,PPA_NET_ASSETS_PROXY_MISSING_EXPLICIT_DEBT_OR_CASH,,,False,LOCKED_PRIVATE_TARGET_PREDEAL_BOOK_BASIS_UNAVAILABLE,,LOCKED_INCOMPLETE_NUMERATOR_OR_CAPITAL_SCOPE,False,False,False,2025-02-26,10-K,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2025q1_notes\num.tsv,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2025q1_notes\txt.tsv,7f91438059f1f43f294cd3e28e6b0be72513bfe14a6c22c21b11af4ef9ca0e44,True
CNX,2025,Apex Energy II,asset_acquisition,2025-01-27,2026_02_notes,0001070412-26-000038,0x763f5a8b7da270470f208e6f887fe39a,0x763f5a8b7da270470f208e6f887fe39a,0x763f5a8b7da270470f208e6f887fe39a,0x763f5a8b7da270470f208e6f887fe39a,0x763f5a8b7da270470f208e6f887fe39a,,PRIVATE_UNAVAILABLE,,,AcquisitionsAndDispositionsDisclosureTextBlock,classified as an asset acquisition under gaap,LOCKED_ASSET_ACQUISITION_NO_SEPARATE_CONTRIBUTION_AND_MATERIAL_DIVESTITURE,,,,,,,,,,,,,,,,,,,1588000.0,CashAcquiredFromAcquisition,c09718a489cd3f4b46bfa49ae6b4f78e299f5c5f119af12b34cfcccdfc48a1a2,523256000.0,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,a727ebf8510d1d3143068b87ab8e61222e522f17d0e40ed94d187bc4a07ba833,,,,,,,True,bd7c68cc2743a147d27ad20a16dac51f58038f5364394f328828d215be5271db,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCKED_PRIVATE_TARGET_PREDEAL_BOOK_BASIS_UNAVAILABLE,,,,,339,365,0.9287671232876712,,,LOCKED_NO_SEPARATE_POST_CLOSE_NET_INCOME,523256000.0,False,ASSET_ACQUISITION_PPE_ONLY_LOWER_BOUND,,,False,LOCKED_PRIVATE_TARGET_PREDEAL_BOOK_BASIS_UNAVAILABLE,,LOCKED_INCOMPLETE_NUMERATOR_OR_CAPITAL_SCOPE,False,False,False,2026-02-10,10-K,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2026_02_notes\num.tsv,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2026_02_notes\txt.tsv,97b05d498337929d0039cd83fd03c5f567e2ac09dab4903afdee2f83335e176b,True
EOG,2025,Encino Acquisition Partners,business_combination,2025-08-01,2026_02_notes,0000821189-26-000054,0x9085221aa8737cc22942b5e341f12b9a,0x9085221aa8737cc22942b5e341f12b9a,0x9085221aa8737cc22942b5e341f12b9a,0x9085221aa8737cc22942b5e341f12b9a,0xd6f27988cb9022798e92d8c38d7df98c,,PRIVATE_UNAVAILABLE,,,BusinessCombinationDisclosureTextBlock,accounted for this transaction as a business combination under asc 805,NONE,246000000.0,BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,e79ab2c4eec001866365cda4db0b76b5adbb3e667af66c58d6c7a3520df1b87d,874000000.0,BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,3dffa4bbb82e554baccb5a96c79653878a76c236523ca885f226a91b7e8fd050,4471000000.0,BusinessCombinationConsiderationTransferred1,260b5ac75b0bbe3440a009dd6d2792f350b79bf3aec8ad9a1e00a72aa6477220,,,,4471000000.0,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,3c5fcde1440979e8a95dcbbfc22886094ac33a64377b7d08ba092cda97f1e2cd,1266000000.0,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,8f684f8baf44c8b6cc13df9c7006f82190175c82c9f907ea731401fa3f5d2ee6,20000000.0,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,90b98e769e7ddf37735d3d828ab42c71fb412a4251c928d2fb1f8f7d4d4eff3d,6651000000.0,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,4171c14ed859ff43e3e0d1fda7d3dba6ee464443dbdfa358914370f151735104,52000000.0,BusinessCombinationAcquisitionRelatedCosts,727b9cf02b0e9f83edfa23243e36f7237fd88355833a3ca991301e33e348f64a,,,,True,a2967b6a183a9ce5ac6e2567482a22f73d5b14582135db8fe438658428780a64,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCKED_PRIVATE_TARGET_PREDEAL_BOOK_BASIS_UNAVAILABLE,,,,,153,365,0.4191780821917808,586862745.0980393,2085032679.738562,NORMALIZED_CALENDAR_DAYS_POST_CLOSE_NET_INCOME_PROXY_NOT_NOPAT,5717000000.0,True,PPA_NET_ASSETS_PLUS_ASSUMED_DEBT_MINUS_ACQUIRED_CASH,,,False,LOCKED_PRIVATE_TARGET_PREDEAL_BOOK_BASIS_UNAVAILABLE,10.265222058737788,FULL_YEAR_NORMALIZED_NET_INCOME_OVER_PPA_ECONOMIC_CAPITAL_NOT_NOPAT_ROIC,False,False,False,2026-02-24,10-K,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2026_02_notes\num.tsv,D:\Programming\python_example\Arcana\data-lake\bronze\sec\financial-statement-and-notes-data-set\2026_02_notes\txt.tsv,b3413c960601f42a3cda81df3f06a79afe9485b23ae0da0d3f93d45341c5e391,True
