ticker,cik,form,filing_date,report_date,accession_number,primary_document,source_url,local_path,sha256,size_bytes,content_type,pdf_parsing_used,resolved_path,file_exists,hash_match,inline_xbrl_concept_count
HII,0001501585,10-Q,2022-11-03,2022-09-30,0001501585-22-000034,hii-20220930.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000034/hii-20220930.htm,data-lake/bronze/industrials/v5/sec/hii/10-Q/2022-11-03_0001501585-22-000034_hii-20220930.htm,57998b25458f3a20d8ab189f4d1d7fc62bf7ae7299f006de9dae780a4081f114,2128317,text/html,False,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2022-11-03_0001501585-22-000034_hii-20220930.htm,True,True,234
HII,0001501585,10-K,2023-02-09,2022-12-31,0001501585-23-000010,hii-20221231.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000010/hii-20221231.htm,data-lake/bronze/industrials/v5/sec/hii/10-K/2023-02-09_0001501585-23-000010_hii-20221231.htm,cfcc6f7fd5211d6d8f36fcd6ed2a9b9a8d27927356fe1913e9b42f534685bf8e,3503540,text/html,False,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2023-02-09_0001501585-23-000010_hii-20221231.htm,True,True,472
HII,0001501585,10-Q,2023-05-04,2023-03-31,0001501585-23-000016,hii-20230331.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000016/hii-20230331.htm,data-lake/bronze/industrials/v5/sec/hii/10-Q/2023-05-04_0001501585-23-000016_hii-20230331.htm,7677040d91a50e08f5092f2204c472ddc90d8ad7f1bdb3eca371625d64954a79,1409654,text/html,False,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2023-05-04_0001501585-23-000016_hii-20230331.htm,True,True,212
HII,0001501585,10-Q,2023-08-03,2023-06-30,0001501585-23-000026,hii-20230630.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000026/hii-20230630.htm,data-lake/bronze/industrials/v5/sec/hii/10-Q/2023-08-03_0001501585-23-000026_hii-20230630.htm,240c989517686f107b5ebdb4e8faab041462605487b47ef2d93bb505ef3201e3,1742265,text/html,False,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2023-08-03_0001501585-23-000026_hii-20230630.htm,True,True,219
HII,0001501585,10-Q,2023-11-02,2023-09-30,0001501585-23-000033,hii-20230930.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000033/hii-20230930.htm,data-lake/bronze/industrials/v5/sec/hii/10-Q/2023-11-02_0001501585-23-000033_hii-20230930.htm,a978dd437797961c49f196e72ddcadbe80d8301e189d7eabf45e54dceab92f1e,1774233,text/html,False,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2023-11-02_0001501585-23-000033_hii-20230930.htm,True,True,221
HII,0001501585,10-K,2024-02-01,2023-12-31,0001501585-24-000007,hii-20231231.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000007/hii-20231231.htm,data-lake/bronze/industrials/v5/sec/hii/10-K/2024-02-01_0001501585-24-000007_hii-20231231.htm,0b3d953af66e8986f467784154cf686e260e45e7a548fc9f7d2ee216d54c771b,2853860,text/html,False,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2024-02-01_0001501585-24-000007_hii-20231231.htm,True,True,473
HII,0001501585,10-Q,2024-05-02,2024-03-31,0001501585-24-000013,hii-20240331.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000013/hii-20240331.htm,data-lake/bronze/industrials/v5/sec/hii/10-Q/2024-05-02_0001501585-24-000013_hii-20240331.htm,4fa47c55238b6f0d1cbaaa8e5eda90085126d50b324357ebebba460643ff2d3c,1174342,text/html,False,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2024-05-02_0001501585-24-000013_hii-20240331.htm,True,True,214
HII,0001501585,10-Q,2024-08-01,2024-06-30,0001501585-24-000036,hii-20240630.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000036/hii-20240630.htm,data-lake/bronze/industrials/v5/sec/hii/10-Q/2024-08-01_0001501585-24-000036_hii-20240630.htm,be9966ba3f35be49eab21b4c8839977cef91e77537bd2cea51bbc6544200634d,1723308,text/html,False,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2024-08-01_0001501585-24-000036_hii-20240630.htm,True,True,209
HII,0001501585,10-Q,2024-10-31,2024-09-30,0001501585-24-000042,hii-20240930.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000042/hii-20240930.htm,data-lake/bronze/industrials/v5/sec/hii/10-Q/2024-10-31_0001501585-24-000042_hii-20240930.htm,a97548189124c42ee0911ff7c7ced36c6a4efc1e1ea10025c2afdcd823b729e1,1764409,text/html,False,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2024-10-31_0001501585-24-000042_hii-20240930.htm,True,True,215
HII,0001501585,10-K,2025-02-06,2024-12-31,0001501585-25-000006,hii-20241231.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000006/hii-20241231.htm,data-lake/bronze/industrials/v5/sec/hii/10-K/2025-02-06_0001501585-25-000006_hii-20241231.htm,db9afdddcf4eac67785bb07386819b59aa3c2a28addf94448fad93d2a661c5c3,3102152,text/html,False,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2025-02-06_0001501585-25-000006_hii-20241231.htm,True,True,483
HII,0001501585,10-Q,2025-05-01,2025-03-31,0001501585-25-000037,hii-20250331.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000037/hii-20250331.htm,data-lake/bronze/industrials/v5/sec/hii/10-Q/2025-05-01_0001501585-25-000037_hii-20250331.htm,b1efdc3fd2c325117b31607fef86e968de29049cfdf95f6d8adb9e108cc70786,1308352,text/html,False,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2025-05-01_0001501585-25-000037_hii-20250331.htm,True,True,225
HII,0001501585,10-Q,2025-07-31,2025-06-30,0001501585-25-000099,hii-20250630.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000099/hii-20250630.htm,data-lake/bronze/industrials/v5/sec/hii/10-Q/2025-07-31_0001501585-25-000099_hii-20250630.htm,9f28d3329cea57d5f484b236d530e6e9b5b8e9e3968dc050213ac298aa952b84,1974298,text/html,False,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2025-07-31_0001501585-25-000099_hii-20250630.htm,True,True,225
HII,0001501585,10-Q,2025-10-30,2025-09-30,0001501585-25-000112,hii-20250930.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000112/hii-20250930.htm,data-lake/bronze/industrials/v5/sec/hii/10-Q/2025-10-30_0001501585-25-000112_hii-20250930.htm,85ab8d8d07fd834c3e7182d97d540b714b3f719ad7d2bdbe371d9cacdbfb35e5,1953867,text/html,False,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2025-10-30_0001501585-25-000112_hii-20250930.htm,True,True,232
HII,0001501585,10-K,2026-02-05,2025-12-31,0001501585-26-000006,hii-20251231.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000006/hii-20251231.htm,data-lake/bronze/industrials/v5/sec/hii/10-K/2026-02-05_0001501585-26-000006_hii-20251231.htm,e9c2363b3b156a5e2e0ceb49d9548f25fbf60ef9da574ac270867e9ead3b3a82,3019336,text/html,False,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2026-02-05_0001501585-26-000006_hii-20251231.htm,True,True,485
HII,0001501585,10-Q,2026-05-05,2026-03-31,0001501585-26-000029,hii-20260331.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000029/hii-20260331.htm,data-lake/bronze/industrials/v5/sec/hii/10-Q/2026-05-05_0001501585-26-000029_hii-20260331.htm,517eb40c506fdafa020e4e4f8f7b4c2524632345fbe735b0b85c3c2d4653b85a,1286732,text/html,False,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2026-05-05_0001501585-26-000029_hii-20260331.htm,True,True,208
HII,0001501585,10-Q,2026-07-30,2026-06-30,0001501585-26-000047,hii-20260630.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000047/hii-20260630.htm,data-lake/bronze/industrials/v5/sec/hii/10-Q/2026-07-30_0001501585-26-000047_hii-20260630.htm,cc018dfd509fe4bc6db1fdd5fc2bd89cfb56c4f601faf2bd09e4fdfaa7400191,1976385,text/html,False,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2026-07-30_0001501585-26-000047_hii-20260630.htm,True,True,216
