form,period,filing_date,accession_number,metric,value_usd,available,selected_concept,selected_context_ref,source_url,source_sha256,evidence_layer,selection_rule,derived_value,coverage_denominator_policy,source_concept_present,applicable,available_when_applicable
10-Q,2020Q1,2020-05-07,0001501585-20-000019,pretax_income_usd,216000000.0,True,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,id745bf51593a4c1bb9ec491b9dabc64a_D20200101-20200331,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,FINANCIAL_STATEMENT,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,ALL_PERIODIC_FILINGS,True,True,True
10-Q,2020Q1,2020-05-07,0001501585-20-000019,income_tax_usd,44000000.0,True,us-gaap:IncomeTaxExpenseBenefit,id745bf51593a4c1bb9ec491b9dabc64a_D20200101-20200331,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,FINANCIAL_STATEMENT,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,ALL_PERIODIC_FILINGS,True,True,True
10-Q,2020Q1,2020-05-07,0001501585-20-000019,cfo_usd,68000000.0,True,us-gaap:NetCashProvidedByUsedInOperatingActivities,id745bf51593a4c1bb9ec491b9dabc64a_D20200101-20200331,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,FINANCIAL_STATEMENT,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,ALL_PERIODIC_FILINGS,True,True,True
10-Q,2020Q1,2020-05-07,0001501585-20-000019,capex_usd,71000000.0,True,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,id745bf51593a4c1bb9ec491b9dabc64a_D20200101-20200331,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,FINANCIAL_STATEMENT,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,ALL_PERIODIC_FILINGS,True,True,True
10-Q,2020Q1,2020-05-07,0001501585-20-000019,depreciation_amortization_usd,47000000.0,True,us-gaap:Depreciation,id745bf51593a4c1bb9ec491b9dabc64a_D20200101-20200331,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,FINANCIAL_STATEMENT,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,ALL_PERIODIC_FILINGS,True,True,True
10-Q,2020Q1,2020-05-07,0001501585-20-000019,research_development_usd,,False,,,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,NOTE,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,ANNUAL_10K_ONLY,False,False,False
10-Q,2020Q1,2020-05-07,0001501585-20-000019,business_acquisitions_usd,378000000.0,True,us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired,id745bf51593a4c1bb9ec491b9dabc64a_D20200101-20200331,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,NOTE,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,EVENT_CONDITIONAL_NOT_SCORED,True,False,False
10-Q,2020Q1,2020-05-07,0001501585-20-000019,receivables_usd,,False,,,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,FINANCIAL_STATEMENT,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,ALL_PERIODIC_FILINGS,False,True,False
10-Q,2020Q1,2020-05-07,0001501585-20-000019,inventory_usd,154000000.0,True,us-gaap:InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,i7358f11747f64266af61968c7393c4fc_I20200331,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,FINANCIAL_STATEMENT,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,ALL_PERIODIC_FILINGS,True,True,True
10-Q,2020Q1,2020-05-07,0001501585-20-000019,accounts_payable_usd,536000000.0,True,us-gaap:AccountsPayableCurrent,i7358f11747f64266af61968c7393c4fc_I20200331,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,FINANCIAL_STATEMENT,CONSOLIDATED_NO_DIMENSION_REPORT_DATE_CONTEXT,False,ALL_PERIODIC_FILINGS,True,True,True
