source,dataset,series_id,observation_period,vintage_value,release_date,available_at,revision_number,source_hash,vintage_status,pit_eligible,report_period,source_path,value_changed_from_prior_vintage
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-01,341.645,2022-03-15,2022-03-15T12:30:00+00:00,1,bf71d6534990a2d820999b827e1e3e96d9acc65247607fa6a2e534aa3478d0a7,SUBSEQUENT_PUBLICATION,True,2022-02,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-february-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-01,341.686,2022-04-13,2022-04-13T12:30:00+00:00,2,78c5588e2babc576ecb233e05089ef0f0295094805c24a02f91575c66a9b98d3,SUBSEQUENT_PUBLICATION,True,2022-03,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-march-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-01,344.181,2022-05-12,2022-05-12T12:30:00+00:00,3,0477e083c1af817c03cc331c32670ed62789cc840a14a30d4239ee02975d8e50,SUBSEQUENT_PUBLICATION,True,2022-04,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-april-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-01,344.181,2022-06-14,2022-06-14T12:30:00+00:00,4,74b58cd041d47bb6220fe60b3a11e6914d381560245bf0bdc4d523bb9180e7f8,SUBSEQUENT_PUBLICATION,True,2022-05,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-may-2022.xlsx,False
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-02,351.92,2022-03-15,2022-03-15T12:30:00+00:00,0,bf71d6534990a2d820999b827e1e3e96d9acc65247607fa6a2e534aa3478d0a7,INITIAL_RELEASE,True,2022-02,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-february-2022.xlsx,False
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-02,353.341,2022-04-13,2022-04-13T12:30:00+00:00,1,78c5588e2babc576ecb233e05089ef0f0295094805c24a02f91575c66a9b98d3,SUBSEQUENT_PUBLICATION,True,2022-03,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-march-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-02,355.695,2022-05-12,2022-05-12T12:30:00+00:00,2,0477e083c1af817c03cc331c32670ed62789cc840a14a30d4239ee02975d8e50,SUBSEQUENT_PUBLICATION,True,2022-04,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-april-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-02,355.865,2022-06-14,2022-06-14T12:30:00+00:00,3,74b58cd041d47bb6220fe60b3a11e6914d381560245bf0bdc4d523bb9180e7f8,SUBSEQUENT_PUBLICATION,True,2022-05,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-may-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-02,355.94,2022-07-14,2022-07-14T12:30:00+00:00,4,64ec087ba7a1d739c2a6c2d50c104f4aa61dc779bfdf0ad9f5cf64feeb98a117,SUBSEQUENT_PUBLICATION,True,2022-06,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-june-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-03,367.517,2022-04-13,2022-04-13T12:30:00+00:00,0,78c5588e2babc576ecb233e05089ef0f0295094805c24a02f91575c66a9b98d3,INITIAL_RELEASE,True,2022-03,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-march-2022.xlsx,False
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-03,370.044,2022-05-12,2022-05-12T12:30:00+00:00,1,0477e083c1af817c03cc331c32670ed62789cc840a14a30d4239ee02975d8e50,SUBSEQUENT_PUBLICATION,True,2022-04,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-april-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-03,369.689,2022-06-14,2022-06-14T12:30:00+00:00,2,74b58cd041d47bb6220fe60b3a11e6914d381560245bf0bdc4d523bb9180e7f8,SUBSEQUENT_PUBLICATION,True,2022-05,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-may-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-03,369.723,2022-07-14,2022-07-14T12:30:00+00:00,3,64ec087ba7a1d739c2a6c2d50c104f4aa61dc779bfdf0ad9f5cf64feeb98a117,SUBSEQUENT_PUBLICATION,True,2022-06,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-june-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-03,370.666,2022-08-11,2022-08-11T12:30:00+00:00,4,ae34da19289a63408a2fb3bff85b8cabd280953a7d9ed34b96640f91d09a2474,SUBSEQUENT_PUBLICATION,True,2022-07,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-july-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-04,377.341,2022-05-12,2022-05-12T12:30:00+00:00,0,0477e083c1af817c03cc331c32670ed62789cc840a14a30d4239ee02975d8e50,INITIAL_RELEASE,True,2022-04,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-april-2022.xlsx,False
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-04,378.257,2022-06-14,2022-06-14T12:30:00+00:00,1,74b58cd041d47bb6220fe60b3a11e6914d381560245bf0bdc4d523bb9180e7f8,SUBSEQUENT_PUBLICATION,True,2022-05,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-may-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-04,378.221,2022-07-14,2022-07-14T12:30:00+00:00,2,64ec087ba7a1d739c2a6c2d50c104f4aa61dc779bfdf0ad9f5cf64feeb98a117,SUBSEQUENT_PUBLICATION,True,2022-06,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-june-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-04,376.17,2022-08-11,2022-08-11T12:30:00+00:00,3,ae34da19289a63408a2fb3bff85b8cabd280953a7d9ed34b96640f91d09a2474,SUBSEQUENT_PUBLICATION,True,2022-07,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-july-2022.xlsx,True
BLS_PPI_ARCHIVED_DETAILED_REPORT_XLSX,PPI_AS_RELEASED_VINTAGE,WPU102,2022-04,376.168,2022-09-14,2022-09-14T12:30:00+00:00,4,c2c292e8acbcd398e4dc492fd658f1faf4f12cbb18a82397057efed5b8861d4f,SUBSEQUENT_PUBLICATION,True,2022-08,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-august-2022.xlsx,False
