company,ticker,cik,arcana_ir_folder,periodic_history_start,stable_segment_perimeter,contract_or_backlog_evidence,different_program_mix_from_lmt_noc,fixed_pit_oos_feasible,selection_notes,ir_html_documents,unambiguous_quarterly_earnings_releases,contract_backlog_evidence_documents,ir_calendar_years,periodic_and_ir_six_years,all_predeclared_criteria_pass,forecast_performance_inspected,selected
General Dynamics,GD,0000040533,GD,2020-01-01,True,True,True,False,Marine Systems provides a different shipbuilding program mix but IR filenames are less unambiguous,57,0,46,0,False,False,False,False
Huntington Ingalls Industries,HII,0001501585,HII,2016-01-01,True,True,True,True,Shipbuilding plus Mission Technologies and clean quarterly earnings-release HTML pairs,110,43,101,11,True,True,False,True
L3Harris Technologies,LHX,0000202058,LHX,2020-01-01,False,True,False,True,Major merger creates a less stable perimeter and program mix overlaps electronics,109,16,58,5,False,False,False,False
RTX Corporation,RTX,0000101829,RTX,2020-01-01,False,True,False,False,Raytheon Technologies merger creates a less stable perimeter,102,0,85,0,False,False,False,False
Boeing,BA,0000012927,BA,2020-01-01,False,True,True,False,Commercial and defense mix differs but segment and loss-program perimeter is less stable,97,0,59,0,False,False,False,False
