period,filing_date,accession_number,document_type,document_name,source_url,source_path,metadata_sha256,actual_sha256,hash_match,model_use,selection_reason,pdf_parsing_used
2025Q1,2025-05-01,0001501585-25-000035,EX-99.2,hiiq12025earningspresent.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000035/hiiq12025earningspresent.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2025-05-01_0001501585-25-000035_EX-99.2_hiiq12025earningspresent.htm,6d9059c49744a5159f3f3e19ff1ce091a1ef4659b77175e08dd16a18a443ee7a,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
,2025-07-29,0001501585-25-000092,EX-99.1,hiiform8-kxex991072925.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000092/hiiform8-kxex991072925.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2025-07-29_0001501585-25-000092_EX-99.1_hiiform8-kxex991072925.htm,2310e1fd291e5c0415b922c9b62224364cc4b19a388404ac91550a4defa1a0f1,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
2025Q2,2025-07-31,0001501585-25-000097,EX-99.1,hii2025q2earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000097/hii2025q2earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2025-07-31_0001501585-25-000097_EX-99.1_hii2025q2earningsrelease.htm,a720e693850daaeee45a8460b4673ef68d18f2522aead5e4b6da4a7e75f8063c,a720e693850daaeee45a8460b4673ef68d18f2522aead5e4b6da4a7e75f8063c,True,QUARTERLY_EARNINGS_RELEASE,HII_EARNINGS_EX991_2019Q4_FORWARD,False
2025Q2,2025-07-31,0001501585-25-000097,EX-99.2,hiiq22025earningspresent.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000097/hiiq22025earningspresent.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2025-07-31_0001501585-25-000097_EX-99.2_hiiq22025earningspresent.htm,00bd16add81e34fc9be989760038744222898aa6885e886766aaf99fcde864da,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
2025Q3,2025-10-30,0001501585-25-000109,EX-99.1,hii2025q3earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000109/hii2025q3earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2025-10-30_0001501585-25-000109_EX-99.1_hii2025q3earningsrelease.htm,b3bad45a197ca86f3a80a786df2d3ebe6d321c0857ac3ba921c15577ea8605ac,b3bad45a197ca86f3a80a786df2d3ebe6d321c0857ac3ba921c15577ea8605ac,True,QUARTERLY_EARNINGS_RELEASE,HII_EARNINGS_EX991_2019Q4_FORWARD,False
2025Q3,2025-10-30,0001501585-25-000109,EX-99.2,hiiq32025earningspresent.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000109/hiiq32025earningspresent.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2025-10-30_0001501585-25-000109_EX-99.2_hiiq32025earningspresent.htm,0d0095ed54d82205c0486866eb1c404bb52cea3171240191fa91576bda50eedb,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
2025Q4,2026-02-05,0001501585-26-000004,EX-99.1,hiiq42025earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000004/hiiq42025earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2026-02-05_0001501585-26-000004_EX-99.1_hiiq42025earningsrelease.htm,a75b2819b9738b0cc1ff19610cc24aede58f165412bc80baaae6720c421ad493,a75b2819b9738b0cc1ff19610cc24aede58f165412bc80baaae6720c421ad493,True,QUARTERLY_EARNINGS_RELEASE,HII_EARNINGS_EX991_2019Q4_FORWARD,False
2025Q4,2026-02-05,0001501585-26-000004,EX-99.2,hiiq42025earningspresent.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000004/hiiq42025earningspresent.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2026-02-05_0001501585-26-000004_EX-99.2_hiiq42025earningspresent.htm,a03caa157110f5b6a77dda231f80aab743131a3b875d79e59532ae7b807cb474,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
2026Q1,2026-05-05,0001501585-26-000027,EX-99.1,hii2026q1earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000027/hii2026q1earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2026-05-05_0001501585-26-000027_EX-99.1_hii2026q1earningsrelease.htm,82938c39c73524d6ea623e3fa239799b2db3a434148fc9b6dccebe17aec9d21e,82938c39c73524d6ea623e3fa239799b2db3a434148fc9b6dccebe17aec9d21e,True,QUARTERLY_EARNINGS_RELEASE,HII_EARNINGS_EX991_2019Q4_FORWARD,False
2026Q1,2026-05-05,0001501585-26-000027,EX-99.2,hiiq12026earningspresent.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000027/hiiq12026earningspresent.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2026-05-05_0001501585-26-000027_EX-99.2_hiiq12026earningspresent.htm,537f0bcbe0e2b0e56c5233957bfd6edd1e6641a2ca6956c445345f140ee10e59,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
2026Q2,2026-07-30,0001501585-26-000045,EX-99.1,hii2026q2earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000045/hii2026q2earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2026-07-30_0001501585-26-000045_EX-99.1_hii2026q2earningsrelease.htm,7597b77e8082170248de963248d8e2ef5284b65aab82cdef97390d89abce8e09,7597b77e8082170248de963248d8e2ef5284b65aab82cdef97390d89abce8e09,True,QUARTERLY_EARNINGS_RELEASE,HII_EARNINGS_EX991_2019Q4_FORWARD,False
