period,filing_period,filing_date,intersegment_eliminations_usd,revenue_usd,operating_income_usd,segment_operating_income_usd,source_url,source_sha256,table_index,history_authority,segment_sum_revenue_usd,revenue_reconciliation_difference_usd
2022Q2,2022Q2,2022-08-04,-29000000.0,2662000000.0,191000000.0,225000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000024/hii2022q2earningsrelease.htm,8f89ec6976a19d4a076a8216abf0e05c0b745079390fcfc2c79da69ee7be077e,11,AS_REPORTED_PIT_HISTORY,2691000000.0,0.0
2022Q3,2022Q3,2022-11-03,-37000000.0,2626000000.0,131000000.0,166000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000032/hii2022q3earningsrelease.htm,5eb713a93b11d939105c5d3e2a38b1fc207a7e0e6280d6d7c2e92b05e9914a40,9,AS_REPORTED_PIT_HISTORY,2663000000.0,0.0
2022Q4,2022Q4,2023-02-09,-32000000.0,2812000000.0,105000000.0,145000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000007/hii2022q4earningsrelease.htm,01d4fcdac111828bf23b354aac3c9175125409f4943b5ac3a256a3ca46219513,9,AS_REPORTED_PIT_HISTORY,2844000000.0,0.0
2023Q1,2023Q1,2023-05-04,-33000000.0,2674000000.0,141000000.0,156000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000014/hii2023q1earningsrelease.htm,e74480cf13137080f1a65ff2ae5319a68557aed5b1e2f5a09dc995cdaf3b762a,9,AS_REPORTED_PIT_HISTORY,2707000000.0,0.0
2023Q2,2023Q2,2023-08-03,-31000000.0,2787000000.0,156000000.0,169000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000024/hii2023q2earningsrelease.htm,756cdd7a4f0e7e90f6b2bf5d59d7bcd4a62ddcf67a34c48228bab30606d01574,9,AS_REPORTED_PIT_HISTORY,2818000000.0,0.0
2023Q3,2023Q3,2023-11-02,-33000000.0,2816000000.0,172000000.0,187000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000030/hii2023q3earningsrelease.htm,e2d36dc345c09085e61dadf1a1e9054cc772db6836ec335b6bcc96ae83c4dd09,9,AS_REPORTED_PIT_HISTORY,2849000000.0,0.0
2023Q4,2023Q4,2024-02-01,-33000000.0,3177000000.0,312000000.0,330000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000005/hii2023q4earningsrelease.htm,a4820233db4b90b13c468a83841e9bbd976d7cb9a8ca51bb71961e1bef43664e,9,AS_REPORTED_PIT_HISTORY,3210000000.0,0.0
2024Q1,2024Q1,2024-05-02,-34000000.0,2805000000.0,154000000.0,170000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000011/hii2024q1earningsrelease.htm,946aaa0632bd5132395e037ef9571c4a834320b7db5892396488c6068c1e4011,9,AS_REPORTED_PIT_HISTORY,2839000000.0,0.0
2024Q2,2024Q2,2024-08-01,-35000000.0,2977000000.0,189000000.0,203000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000034/hii2024q2earningsrelease.htm,ede2a686eb16d1cf047a45f1020ddffb3198e88c028e9661bdeee77263f4432b,9,AS_REPORTED_PIT_HISTORY,3012000000.0,0.0
2024Q3,2024Q3,2024-10-31,-36000000.0,2749000000.0,82000000.0,97000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000040/hii2024q3earningsrelease.htm,211594c1978545ed97c7efa4cb8d6b48cf159807a3b8e2b0a2a6d3a1f345d871,11,AS_REPORTED_PIT_HISTORY,2785000000.0,0.0
2024Q4,2024Q4,2025-02-06,-33000000.0,3004000000.0,110000000.0,103000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000004/hii2024q4earningsrelease.htm,0561dd5b76aacefca396e29d14e37366ce07a54b0e9a7bc4241dd8e9dcfd179f,10,AS_REPORTED_PIT_HISTORY,3037000000.0,0.0
2025Q1,2025Q1,2025-05-01,-34000000.0,2734000000.0,161000000.0,171000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000035/hii2025q1earningsrelease.htm,e49b548d3cfb0cd12acee825dcf2fa95b6cc81929197a986c3ac0461dd0cb785,9,AS_REPORTED_PIT_HISTORY,2768000000.0,0.0
2025Q2,2025Q2,2025-07-31,-36000000.0,3082000000.0,163000000.0,172000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000097/hii2025q2earningsrelease.htm,a720e693850daaeee45a8460b4673ef68d18f2522aead5e4b6da4a7e75f8063c,9,AS_REPORTED_PIT_HISTORY,3118000000.0,0.0
2025Q3,2025Q3,2025-10-30,-40000000.0,3192000000.0,161000000.0,179000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000109/hii2025q3earningsrelease.htm,b3bad45a197ca86f3a80a786df2d3ebe6d321c0857ac3ba921c15577ea8605ac,9,AS_REPORTED_PIT_HISTORY,3232000000.0,0.0
2025Q4,2025Q4,2026-02-05,-35000000.0,3476000000.0,172000000.0,195000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000004/hiiq42025earningsrelease.htm,a75b2819b9738b0cc1ff19610cc24aede58f165412bc80baaae6720c421ad493,10,AS_REPORTED_PIT_HISTORY,3511000000.0,0.0
2026Q1,2026Q1,2026-05-05,-39000000.0,3099000000.0,155000000.0,172000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000027/hii2026q1earningsrelease.htm,82938c39c73524d6ea623e3fa239799b2db3a434148fc9b6dccebe17aec9d21e,9,AS_REPORTED_PIT_HISTORY,3138000000.0,0.0
2026Q2,2026Q2,2026-07-30,-36000000.0,3418000000.0,210000000.0,224000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000045/hii2026q2earningsrelease.htm,7597b77e8082170248de963248d8e2ef5284b65aab82cdef97390d89abce8e09,9,AS_REPORTED_PIT_HISTORY,3454000000.0,0.0
