evidence_layer,metric,annual_filings,years_available,coverage_pct
FINANCIAL_STATEMENT,accounts_payable_usd,7,7,100.0
FINANCIAL_STATEMENT,capex_usd,7,7,100.0
FINANCIAL_STATEMENT,cash_usd,7,7,100.0
FINANCIAL_STATEMENT,cfo_usd,7,7,100.0
FINANCIAL_STATEMENT,debt_current_usd,7,5,71.42857142857143
FINANCIAL_STATEMENT,debt_noncurrent_usd,7,5,71.42857142857143
FINANCIAL_STATEMENT,depreciation_amortization_usd,7,7,100.0
FINANCIAL_STATEMENT,equity_usd,7,7,100.0
FINANCIAL_STATEMENT,goodwill_usd,7,7,100.0
FINANCIAL_STATEMENT,income_tax_usd,7,7,100.0
FINANCIAL_STATEMENT,intangibles_ex_goodwill_usd,7,0,0.0
FINANCIAL_STATEMENT,inventory_usd,7,7,100.0
FINANCIAL_STATEMENT,operating_income_usd,7,7,100.0
FINANCIAL_STATEMENT,pretax_income_usd,7,7,100.0
FINANCIAL_STATEMENT,receivables_usd,7,0,0.0
FINANCIAL_STATEMENT,revenue_usd,7,7,100.0
NOTE,business_acquisitions_usd,7,4,57.14285714285714
NOTE,contract_assets_usd,7,7,100.0
NOTE,contract_liabilities_usd,7,4,57.14285714285714
NOTE,fas_cas_pension_adjustment_usd,7,0,0.0
NOTE,pension_liability_usd,7,7,100.0
NOTE,program_gains_losses_usd,7,0,0.0
NOTE,remaining_performance_obligation_usd,7,7,100.0
NOTE,research_development_usd,7,7,100.0
