evidence_layer,metric,coverage_denominator_policy,periodic_filings,filings_available,applicable_filings,applicable_filings_available,source_concept_filings,raw_presence_pct,selection_availability_pct,coverage_pct
FINANCIAL_STATEMENT,accounts_payable_usd,ALL_PERIODIC_FILINGS,27,27,27,27,27,100.0,100.0,100.0
FINANCIAL_STATEMENT,capex_usd,ALL_PERIODIC_FILINGS,27,27,27,27,27,100.0,100.0,100.0
FINANCIAL_STATEMENT,cash_usd,ALL_PERIODIC_FILINGS,27,27,27,27,27,100.0,100.0,100.0
FINANCIAL_STATEMENT,cfo_usd,ALL_PERIODIC_FILINGS,27,27,27,27,27,100.0,100.0,100.0
FINANCIAL_STATEMENT,debt_current_usd,ALL_PERIODIC_FILINGS,27,25,27,25,7,25.925925925925924,92.5925925925926,92.5925925925926
FINANCIAL_STATEMENT,debt_noncurrent_usd,ALL_PERIODIC_FILINGS,27,25,27,25,25,92.5925925925926,92.5925925925926,92.5925925925926
FINANCIAL_STATEMENT,depreciation_amortization_usd,ALL_PERIODIC_FILINGS,27,27,27,27,27,100.0,100.0,100.0
FINANCIAL_STATEMENT,equity_usd,ALL_PERIODIC_FILINGS,27,7,27,7,9,33.33333333333333,25.925925925925924,25.925925925925924
FINANCIAL_STATEMENT,goodwill_usd,ALL_PERIODIC_FILINGS,27,27,27,27,27,100.0,100.0,100.0
FINANCIAL_STATEMENT,income_tax_usd,ALL_PERIODIC_FILINGS,27,27,27,27,27,100.0,100.0,100.0
FINANCIAL_STATEMENT,intangibles_ex_goodwill_usd,ALL_PERIODIC_FILINGS,27,0,27,0,0,0.0,0.0,0.0
FINANCIAL_STATEMENT,inventory_usd,ALL_PERIODIC_FILINGS,27,27,27,27,27,100.0,100.0,100.0
FINANCIAL_STATEMENT,operating_income_usd,ALL_PERIODIC_FILINGS,27,27,27,27,27,100.0,100.0,100.0
FINANCIAL_STATEMENT,pretax_income_usd,ALL_PERIODIC_FILINGS,27,27,27,27,27,100.0,100.0,100.0
FINANCIAL_STATEMENT,receivables_usd,ALL_PERIODIC_FILINGS,27,0,27,0,0,0.0,0.0,0.0
FINANCIAL_STATEMENT,revenue_usd,ALL_PERIODIC_FILINGS,27,27,27,27,27,100.0,100.0,100.0
NOTE,business_acquisitions_usd,EVENT_CONDITIONAL_NOT_SCORED,27,11,0,0,21,77.77777777777779,40.74074074074074,
NOTE,contract_assets_usd,ALL_PERIODIC_FILINGS,27,27,27,27,27,100.0,100.0,100.0
NOTE,contract_liabilities_usd,ALL_PERIODIC_FILINGS,27,24,27,24,24,88.88888888888889,88.88888888888889,88.88888888888889
NOTE,fas_cas_pension_adjustment_usd,DISCLOSURE_REGIME_ONLY,27,0,0,0,0,0.0,0.0,
NOTE,pension_liability_usd,ALL_PERIODIC_FILINGS,27,27,27,27,27,100.0,100.0,100.0
NOTE,program_gains_losses_usd,EVENT_CONDITIONAL_NOT_SCORED,27,0,0,0,0,0.0,0.0,
NOTE,remaining_performance_obligation_usd,ALL_PERIODIC_FILINGS,27,27,27,27,27,100.0,100.0,100.0
NOTE,research_development_usd,ANNUAL_10K_ONLY,27,7,7,7,7,25.925925925925924,25.925925925925924,100.0
