form,filing_date,report_date,accession_number,family,present,matched_concept_count,matched_concepts,source_url,source_sha256,coverage_denominator_policy,applicable,present_when_applicable
10-K,2020-02-13,2019-12-31,0001501585-20-000011,note_debt,True,7,us-gaap:DebtDisclosureTextBlock|us-gaap:LongTermDebt|us-gaap:LongTermDebtFairValue|us-gaap:LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive|us-gaap:LongTermDebtNoncurrent|us-gaap:ProceedsFromIssuanceOfLongTermDebt|us-gaap:RepaymentsOfLongTermDebt,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1,ALL_PERIODIC_FILINGS,True,True
10-K,2020-02-13,2019-12-31,0001501585-20-000011,note_income_taxes,True,4,us-gaap:EffectiveIncomeTaxRateContinuingOperations|us-gaap:EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate|us-gaap:IncomeTaxDisclosureTextBlock|us-gaap:ScheduleOfEffectiveIncomeTaxRateReconciliationTableTextBlock,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1,ALL_PERIODIC_FILINGS,True,True
10-K,2020-02-13,2019-12-31,0001501585-20-000011,capital_structure,True,14,hii:CashAndCashEquivalentsMaturityPeriod|us-gaap:CashAndCashEquivalentsAtCarryingValue|us-gaap:CashAndCashEquivalentsPeriodIncreaseDecrease|us-gaap:CashAndCashEquivalentsPolicyTextBlock|us-gaap:LiabilitiesAndStockholdersEquity|us-gaap:LongTermDebt|us-gaap:LongTermDebtFairValue|us-gaap:LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive|us-gaap:LongTermDebtNoncurrent|us-gaap:ProceedsFromIssuanceOfLongTermDebt|us-gaap:RepaymentsOfLongTermDebt|us-gaap:StockholdersEquity|us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest|us-gaap:StockholdersEquityNoteDisclosureTextBlock,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-05-07,2020-03-31,0001501585-20-000019,statement_revenue_operating_income_tax,True,4,us-gaap:DeferredStateAndLocalIncomeTaxExpenseBenefit|us-gaap:IncomeTaxExpenseBenefit|us-gaap:OperatingIncomeLoss|us-gaap:Revenues,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-05-07,2020-03-31,0001501585-20-000019,statement_cash_flow_capex_depreciation,True,7,us-gaap:AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment|us-gaap:Depreciation|us-gaap:NetCashProvidedByUsedInFinancingActivities|us-gaap:NetCashProvidedByUsedInInvestingActivities|us-gaap:NetCashProvidedByUsedInOperatingActivities|us-gaap:PaymentsToAcquireBusinessesNetOfCashAcquired|us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-05-07,2020-03-31,0001501585-20-000019,statement_working_capital,True,7,hii:InventoryWorkInProcessAndGeneralAndAdministrativeCostsIncludedInInventoryNetOfReserves|us-gaap:AccountsPayableCurrent|us-gaap:IncreaseDecreaseInInventoryForLongTermContractsOrPrograms|us-gaap:InventoryDisclosureTextBlock|us-gaap:InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings|us-gaap:InventoryRawMaterialsNetOfReserves|us-gaap:ScheduleOfInventoryCurrentTableTextBlock,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-05-07,2020-03-31,0001501585-20-000019,note_segments,True,2,us-gaap:ScheduleOfSegmentReportingInformationBySegmentTextBlock|us-gaap:SegmentReportingDisclosureTextBlock,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-05-07,2020-03-31,0001501585-20-000019,note_revenue_and_contracts,True,5,us-gaap:ContractWithCustomerAssetNet|us-gaap:ContractWithCustomerLiabilityCurrent|us-gaap:ContractWithCustomerLiabilityRevenueRecognized|us-gaap:IncreaseDecreaseInContractWithCustomerAsset|us-gaap:RevenueFromContractWithCustomerTextBlock,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-05-07,2020-03-31,0001501585-20-000019,note_contract_assets_liabilities,True,4,us-gaap:ContractWithCustomerAssetNet|us-gaap:ContractWithCustomerLiabilityCurrent|us-gaap:ContractWithCustomerLiabilityRevenueRecognized|us-gaap:IncreaseDecreaseInContractWithCustomerAsset,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,ALL_PERIODIC_FILINGS,True,True
10-Q,2020-05-07,2020-03-31,0001501585-20-000019,note_remaining_performance_obligation,True,1,us-gaap:RevenueRemainingPerformanceObligation,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,ALL_PERIODIC_FILINGS,True,True
