form,filing_date,report_date,accession_number,concept,concept_local,value_usd,context_ref,start_date,end_date,instant,dimensions,dimension_count,source_url,source_sha256
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:Revenues,Revenues,4722000000.0,ib2dc911ef4e54660b9e5bdb68651ba79_D20180101-20181231,2018-01-01,2018-12-31,False,hii:NewportNewsShipbuildingMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:Revenues,Revenues,988000000.0,i3c0f6fb3714e47be923f4512efb84753_D20180101-20181231,2018-01-01,2018-12-31,False,hii:TechnicalSolutionsMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:Revenues,Revenues,-141000000.0,ie8b2de85aa644d609ce8377f6895177a_D20180101-20181231,2018-01-01,2018-12-31,False,us-gaap:IntersegmentEliminationMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:Revenues,Revenues,4722000000.0,ib2dc911ef4e54660b9e5bdb68651ba79_D20180101-20181231,2018-01-01,2018-12-31,False,hii:NewportNewsShipbuildingMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:Revenues,Revenues,988000000.0,i3c0f6fb3714e47be923f4512efb84753_D20180101-20181231,2018-01-01,2018-12-31,False,hii:TechnicalSolutionsMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:Revenues,Revenues,6265000000.0,if19bfe871e054a549a6c1134a17324d8_D20190101-20191231,2019-01-01,2019-12-31,False,us-gaap:ProductMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:Revenues,Revenues,6023000000.0,i7e161f1987ab4f2a88dcc598baf30e0c_D20180101-20181231,2018-01-01,2018-12-31,False,us-gaap:ProductMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:Revenues,Revenues,5573000000.0,if884b3ef1999465aaed4d0c39f555283_D20170101-20171231,2017-01-01,2017-12-31,False,us-gaap:ProductMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:Revenues,Revenues,2634000000.0,id9440f0c2ff34345b201fd32c7f9c447_D20190101-20191231,2019-01-01,2019-12-31,False,us-gaap:ServiceMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:Revenues,Revenues,2153000000.0,i87361ef1b40e44a0a6f03bebd589ee6c_D20180101-20181231,2018-01-01,2018-12-31,False,us-gaap:ServiceMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:Revenues,Revenues,1868000000.0,iee574cb2a0924c30a11c5739b227e3bf_D20170101-20171231,2017-01-01,2017-12-31,False,us-gaap:ServiceMember,1,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:Revenues,Revenues,8899000000.0,id4756bc70a0d4b4caa5673ca65bd57bf_D20190101-20191231,2019-01-01,2019-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:Revenues,Revenues,8176000000.0,i3d5b2517622c45b2a9f3d8db371ff922_D20180101-20181231,2018-01-01,2018-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:Revenues,Revenues,7441000000.0,i04a2e542155b4f41a1743c3993be6de2_D20170101-20171231,2017-01-01,2017-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:OperatingIncomeLoss,OperatingIncomeLoss,736000000.0,id4756bc70a0d4b4caa5673ca65bd57bf_D20190101-20191231,2019-01-01,2019-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:OperatingIncomeLoss,OperatingIncomeLoss,951000000.0,i3d5b2517622c45b2a9f3d8db371ff922_D20180101-20181231,2018-01-01,2018-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:OperatingIncomeLoss,OperatingIncomeLoss,881000000.0,i04a2e542155b4f41a1743c3993be6de2_D20170101-20171231,2017-01-01,2017-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,683000000.0,id4756bc70a0d4b4caa5673ca65bd57bf_D20190101-20191231,2019-01-01,2019-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,971000000.0,i3d5b2517622c45b2a9f3d8db371ff922_D20180101-20181231,2018-01-01,2018-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,772000000.0,i04a2e542155b4f41a1743c3993be6de2_D20170101-20171231,2017-01-01,2017-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,134000000.0,id4756bc70a0d4b4caa5673ca65bd57bf_D20190101-20191231,2019-01-01,2019-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,135000000.0,i3d5b2517622c45b2a9f3d8db371ff922_D20180101-20181231,2018-01-01,2018-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,293000000.0,i04a2e542155b4f41a1743c3993be6de2_D20170101-20171231,2017-01-01,2017-12-31,False,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,75000000.0,i88f0143507644611bb16596af24b8254_I20191231,,2019-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,240000000.0,i319472c691314009b8f73ca12865cac2_I20181231,,2018-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:ContractWithCustomerAssetNet,ContractWithCustomerAssetNet,989000000.0,i88f0143507644611bb16596af24b8254_I20191231,,2019-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:ContractWithCustomerAssetNet,ContractWithCustomerAssetNet,1003000000.0,i319472c691314009b8f73ca12865cac2_I20181231,,2018-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,136000000.0,i88f0143507644611bb16596af24b8254_I20191231,,2019-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,128000000.0,i319472c691314009b8f73ca12865cac2_I20181231,,2018-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:Goodwill,Goodwill,1373000000.0,i88f0143507644611bb16596af24b8254_I20191231,,2019-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:Goodwill,Goodwill,1263000000.0,i319472c691314009b8f73ca12865cac2_I20181231,,2018-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:AccountsPayableCurrent,AccountsPayableCurrent,497000000.0,i88f0143507644611bb16596af24b8254_I20191231,,2019-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
10-K,2020-02-13,2019-12-31,0001501585-20-000011,us-gaap:AccountsPayableCurrent,AccountsPayableCurrent,562000000.0,i319472c691314009b8f73ca12865cac2_I20181231,,2018-12-31,True,,0,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
