period,forecast_as_of,feature_reference_quarter,series_id,selected_vintage_rows,latest_selected_release_date,cutoff_respected,historical_pit_eligible,selected_vintage_date
2023Q1,2023-02-09,2022Q4,WPU102,15,2023-01-18,True,True,2023-01-18
2023Q1,2023-02-09,2022Q4,WPU107,15,2023-01-18,True,True,2023-01-18
2023Q1,2023-02-09,2022Q4,WPU117,15,2023-01-18,True,True,2023-01-18
2023Q2,2023-05-04,2023Q1,WPU102,15,2023-04-13,True,True,2023-04-13
2023Q2,2023-05-04,2023Q1,WPU107,15,2023-04-13,True,True,2023-04-13
2023Q2,2023-05-04,2023Q1,WPU117,15,2023-04-13,True,True,2023-04-13
2023Q3,2023-08-03,2023Q2,WPU102,15,2023-07-13,True,True,2023-07-13
2023Q3,2023-08-03,2023Q2,WPU107,15,2023-07-13,True,True,2023-07-13
2023Q3,2023-08-03,2023Q2,WPU117,15,2023-07-13,True,True,2023-07-13
2023Q4,2023-11-02,2023Q3,WPU102,15,2023-10-11,True,True,2023-10-11
2023Q4,2023-11-02,2023Q3,WPU107,15,2023-10-11,True,True,2023-10-11
2023Q4,2023-11-02,2023Q3,WPU117,15,2023-10-11,True,True,2023-10-11
2024Q1,2024-02-01,2023Q4,WPU102,15,2024-01-12,True,True,2024-01-12
2024Q1,2024-02-01,2023Q4,WPU107,15,2024-01-12,True,True,2024-01-12
2024Q1,2024-02-01,2023Q4,WPU117,15,2024-01-12,True,True,2024-01-12
2024Q2,2024-05-02,2024Q1,WPU102,15,2024-04-11,True,True,2024-04-11
2024Q2,2024-05-02,2024Q1,WPU107,15,2024-04-11,True,True,2024-04-11
2024Q2,2024-05-02,2024Q1,WPU117,15,2024-04-11,True,True,2024-04-11
2024Q3,2024-08-01,2024Q2,WPU102,15,2024-07-12,True,True,2024-07-12
2024Q3,2024-08-01,2024Q2,WPU107,15,2024-07-12,True,True,2024-07-12
2024Q3,2024-08-01,2024Q2,WPU117,15,2024-07-12,True,True,2024-07-12
2024Q4,2024-10-31,2024Q3,WPU102,15,2024-10-11,True,True,2024-10-11
2024Q4,2024-10-31,2024Q3,WPU107,15,2024-10-11,True,True,2024-10-11
2024Q4,2024-10-31,2024Q3,WPU117,15,2024-10-11,True,True,2024-10-11
2025Q1,2025-02-06,2024Q4,WPU102,15,2025-01-14,True,True,2025-01-14
2025Q1,2025-02-06,2024Q4,WPU107,15,2025-01-14,True,True,2025-01-14
2025Q1,2025-02-06,2024Q4,WPU117,15,2025-01-14,True,True,2025-01-14
2025Q2,2025-05-01,2025Q1,WPU102,15,2025-04-11,True,True,2025-04-11
2025Q2,2025-05-01,2025Q1,WPU107,15,2025-04-11,True,True,2025-04-11
2025Q2,2025-05-01,2025Q1,WPU117,15,2025-04-11,True,True,2025-04-11
2025Q3,2025-07-31,2025Q2,WPU102,15,2025-07-16,True,True,2025-07-16
2025Q3,2025-07-31,2025Q2,WPU107,15,2025-07-16,True,True,2025-07-16
2025Q3,2025-07-31,2025Q2,WPU117,15,2025-07-16,True,True,2025-07-16
2025Q4,2025-10-30,2025Q2,WPU102,15,2025-09-10,True,True,2025-09-10
2025Q4,2025-10-30,2025Q2,WPU107,15,2025-09-10,True,True,2025-09-10
2025Q4,2025-10-30,2025Q2,WPU117,15,2025-09-10,True,True,2025-09-10
2026Q1,2026-02-05,2025Q4,WPU102,15,2026-01-30,True,True,2026-01-30
2026Q1,2026-02-05,2025Q4,WPU107,15,2026-01-30,True,True,2026-01-30
2026Q1,2026-02-05,2025Q4,WPU117,15,2026-01-30,True,True,2026-01-30
2026Q2,2026-05-05,2026Q1,WPU102,15,2026-04-14,True,True,2026-04-14
2026Q2,2026-05-05,2026Q1,WPU107,15,2026-04-14,True,True,2026-04-14
2026Q2,2026-05-05,2026Q1,WPU117,15,2026-04-14,True,True,2026-04-14
