period,metric,original_value_usd,alias_value_usd,alias_applied,final_value_usd,selected_concept
2019Q4,receivables_usd,,318000000.0,True,318000000.0,AccountsReceivableNetCurrent
2019Q4,intangibles_ex_goodwill_usd,,492000000.0,True,492000000.0,FiniteLivedIntangibleAssetsNet
2019Q4,debt_current_usd,0.0,,False,0.0,
2019Q4,debt_noncurrent_usd,1286000000.0,1286000000.0,False,1286000000.0,LongTermDebtNoncurrent
2019Q4,contract_liabilities_usd,,373000000.0,True,373000000.0,BillingsInExcessOfCostCurrent
2019Q4,fas_cas_pension_adjustment_usd,0.0,,False,0.0,
2019Q4,program_gains_losses_usd,0.0,,False,0.0,
2020Q4,receivables_usd,,397000000.0,True,397000000.0,AccountsReceivableNetCurrent
2020Q4,intangibles_ex_goodwill_usd,,512000000.0,True,512000000.0,FiniteLivedIntangibleAssetsNet
2020Q4,debt_current_usd,0.0,,False,0.0,
2020Q4,debt_noncurrent_usd,1686000000.0,1686000000.0,False,1686000000.0,LongTermDebtNoncurrent
2020Q4,contract_liabilities_usd,,585000000.0,True,585000000.0,BillingsInExcessOfCostCurrent
2020Q4,fas_cas_pension_adjustment_usd,0.0,,False,0.0,
2020Q4,program_gains_losses_usd,0.0,,False,0.0,
2021Q4,receivables_usd,,433000000.0,True,433000000.0,AccountsReceivableNetCurrent
2021Q4,intangibles_ex_goodwill_usd,,1159000000.0,True,1159000000.0,FiniteLivedIntangibleAssetsNet
2021Q4,debt_current_usd,0.0,,False,0.0,
2021Q4,debt_noncurrent_usd,3298000000.0,3298000000.0,False,3298000000.0,LongTermDebtNoncurrent
2021Q4,contract_liabilities_usd,,651000000.0,True,651000000.0,BillingsInExcessOfCostCurrent
2021Q4,fas_cas_pension_adjustment_usd,0.0,,False,0.0,
2021Q4,program_gains_losses_usd,0.0,,False,0.0,
2022Q4,receivables_usd,,636000000.0,True,636000000.0,AccountsReceivableNetCurrent
2022Q4,intangibles_ex_goodwill_usd,,1019000000.0,True,1019000000.0,FiniteLivedIntangibleAssetsNet
2022Q4,debt_current_usd,399000000.0,399000000.0,False,399000000.0,LongTermDebtCurrent
2022Q4,debt_noncurrent_usd,2506000000.0,2506000000.0,False,2506000000.0,LongTermDebtNoncurrent
2022Q4,contract_liabilities_usd,766000000.0,766000000.0,False,766000000.0,ContractWithCustomerLiabilityCurrent
2022Q4,fas_cas_pension_adjustment_usd,0.0,,False,0.0,
2022Q4,program_gains_losses_usd,0.0,,False,0.0,
2023Q4,receivables_usd,,461000000.0,True,461000000.0,AccountsReceivableNetCurrent
2023Q4,intangibles_ex_goodwill_usd,,891000000.0,True,891000000.0,FiniteLivedIntangibleAssetsNet
2023Q4,debt_current_usd,231000000.0,231000000.0,False,231000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent
2023Q4,debt_noncurrent_usd,2214000000.0,2214000000.0,False,2214000000.0,LongTermDebtNoncurrent
2023Q4,contract_liabilities_usd,1063000000.0,1063000000.0,False,1063000000.0,ContractWithCustomerLiabilityCurrent
2023Q4,fas_cas_pension_adjustment_usd,0.0,,False,0.0,
2023Q4,program_gains_losses_usd,0.0,,False,0.0,
2024Q4,receivables_usd,,212000000.0,True,212000000.0,AccountsReceivableNetCurrent
2024Q4,intangibles_ex_goodwill_usd,,782000000.0,True,782000000.0,FiniteLivedIntangibleAssetsNet
2024Q4,debt_current_usd,,503000000.0,True,503000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent
2024Q4,debt_noncurrent_usd,,,False,,
2024Q4,contract_liabilities_usd,774000000.0,774000000.0,False,774000000.0,ContractWithCustomerLiabilityCurrent
2024Q4,fas_cas_pension_adjustment_usd,0.0,,False,0.0,
2024Q4,program_gains_losses_usd,0.0,,False,0.0,
2025Q4,receivables_usd,,339000000.0,True,339000000.0,AccountsReceivableNetCurrent
2025Q4,intangibles_ex_goodwill_usd,,694000000.0,True,694000000.0,FiniteLivedIntangibleAssetsNet
2025Q4,debt_current_usd,,,False,,
2025Q4,debt_noncurrent_usd,,,False,,
2025Q4,contract_liabilities_usd,1220000000.0,1220000000.0,False,1220000000.0,ContractWithCustomerLiabilityCurrent
2025Q4,fas_cas_pension_adjustment_usd,0.0,,False,0.0,
2025Q4,program_gains_losses_usd,0.0,,False,0.0,
