form,period,filing_date,report_date,accession_number,metric,value_usd,available,selected_concept,selected_context_ref,selection_rule,source_url,source_sha256,evidence_layer
10-Q,2020Q1,2020-05-07,2020-03-31,0001501585-20-000019,program_gains_losses_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,NOTE
10-Q,2020Q2,2020-08-06,2020-06-30,0001501585-20-000035,receivables_usd,494000000.0,True,AccountsReceivableNetCurrent,i242b491145af47bb8bd5b1e82def2736_I20200630,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,FINANCIAL_STATEMENT
10-Q,2020Q2,2020-08-06,2020-06-30,0001501585-20-000035,intangibles_ex_goodwill_usd,542000000.0,True,FiniteLivedIntangibleAssetsNet,i242b491145af47bb8bd5b1e82def2736_I20200630,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,FINANCIAL_STATEMENT
10-Q,2020Q2,2020-08-06,2020-06-30,0001501585-20-000035,debt_current_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,FINANCIAL_STATEMENT
10-Q,2020Q2,2020-08-06,2020-06-30,0001501585-20-000035,debt_noncurrent_usd,2276000000.0,True,LongTermDebtNoncurrent,i242b491145af47bb8bd5b1e82def2736_I20200630,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,FINANCIAL_STATEMENT
10-Q,2020Q2,2020-08-06,2020-06-30,0001501585-20-000035,contract_liabilities_usd,573000000.0,True,ContractWithCustomerLiabilityCurrent,i242b491145af47bb8bd5b1e82def2736_I20200630,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,NOTE
10-Q,2020Q2,2020-08-06,2020-06-30,0001501585-20-000035,fas_cas_pension_adjustment_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,NOTE
10-Q,2020Q2,2020-08-06,2020-06-30,0001501585-20-000035,program_gains_losses_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,NOTE
10-Q,2020Q3,2020-11-05,2020-09-30,0001501585-20-000042,receivables_usd,492000000.0,True,AccountsReceivableNetCurrent,i45270b2868024eea913be455fb509cb4_I20200930,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000042/hii-20200930.htm,99ba70d2164893b5aed993a656ad04f02c99efffe2ef1e13b93a0c2e376431ec,FINANCIAL_STATEMENT
10-Q,2020Q3,2020-11-05,2020-09-30,0001501585-20-000042,intangibles_ex_goodwill_usd,527000000.0,True,FiniteLivedIntangibleAssetsNet,i45270b2868024eea913be455fb509cb4_I20200930,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000042/hii-20200930.htm,99ba70d2164893b5aed993a656ad04f02c99efffe2ef1e13b93a0c2e376431ec,FINANCIAL_STATEMENT
10-Q,2020Q3,2020-11-05,2020-09-30,0001501585-20-000042,debt_current_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000042/hii-20200930.htm,99ba70d2164893b5aed993a656ad04f02c99efffe2ef1e13b93a0c2e376431ec,FINANCIAL_STATEMENT
10-Q,2020Q3,2020-11-05,2020-09-30,0001501585-20-000042,debt_noncurrent_usd,2278000000.0,True,LongTermDebtNoncurrent,i45270b2868024eea913be455fb509cb4_I20200930,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000042/hii-20200930.htm,99ba70d2164893b5aed993a656ad04f02c99efffe2ef1e13b93a0c2e376431ec,FINANCIAL_STATEMENT
10-Q,2020Q3,2020-11-05,2020-09-30,0001501585-20-000042,contract_liabilities_usd,604000000.0,True,ContractWithCustomerLiabilityCurrent,i45270b2868024eea913be455fb509cb4_I20200930,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000042/hii-20200930.htm,99ba70d2164893b5aed993a656ad04f02c99efffe2ef1e13b93a0c2e376431ec,NOTE
10-Q,2020Q3,2020-11-05,2020-09-30,0001501585-20-000042,fas_cas_pension_adjustment_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000042/hii-20200930.htm,99ba70d2164893b5aed993a656ad04f02c99efffe2ef1e13b93a0c2e376431ec,NOTE
10-Q,2020Q3,2020-11-05,2020-09-30,0001501585-20-000042,program_gains_losses_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000042/hii-20200930.htm,99ba70d2164893b5aed993a656ad04f02c99efffe2ef1e13b93a0c2e376431ec,NOTE
10-K,2020Q4,2021-02-11,2020-12-31,0001501585-21-000008,receivables_usd,397000000.0,True,AccountsReceivableNetCurrent,i64658d716cbd44c5a3ea0e016b2561a6_I20201231,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000008/hii-20201231.htm,c36fb47b2ccff954dee7a6dea7f83b6d16bced0de0451ba8b50c964590a018c8,FINANCIAL_STATEMENT
10-K,2020Q4,2021-02-11,2020-12-31,0001501585-21-000008,intangibles_ex_goodwill_usd,512000000.0,True,FiniteLivedIntangibleAssetsNet,i64658d716cbd44c5a3ea0e016b2561a6_I20201231,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000008/hii-20201231.htm,c36fb47b2ccff954dee7a6dea7f83b6d16bced0de0451ba8b50c964590a018c8,FINANCIAL_STATEMENT
10-K,2020Q4,2021-02-11,2020-12-31,0001501585-21-000008,debt_current_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000008/hii-20201231.htm,c36fb47b2ccff954dee7a6dea7f83b6d16bced0de0451ba8b50c964590a018c8,FINANCIAL_STATEMENT
10-K,2020Q4,2021-02-11,2020-12-31,0001501585-21-000008,debt_noncurrent_usd,1686000000.0,True,LongTermDebtNoncurrent,i64658d716cbd44c5a3ea0e016b2561a6_I20201231,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000008/hii-20201231.htm,c36fb47b2ccff954dee7a6dea7f83b6d16bced0de0451ba8b50c964590a018c8,FINANCIAL_STATEMENT
10-K,2020Q4,2021-02-11,2020-12-31,0001501585-21-000008,contract_liabilities_usd,585000000.0,True,BillingsInExcessOfCostCurrent,i64658d716cbd44c5a3ea0e016b2561a6_I20201231,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000008/hii-20201231.htm,c36fb47b2ccff954dee7a6dea7f83b6d16bced0de0451ba8b50c964590a018c8,NOTE
10-K,2020Q4,2021-02-11,2020-12-31,0001501585-21-000008,fas_cas_pension_adjustment_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000008/hii-20201231.htm,c36fb47b2ccff954dee7a6dea7f83b6d16bced0de0451ba8b50c964590a018c8,NOTE
10-K,2020Q4,2021-02-11,2020-12-31,0001501585-21-000008,program_gains_losses_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000008/hii-20201231.htm,c36fb47b2ccff954dee7a6dea7f83b6d16bced0de0451ba8b50c964590a018c8,NOTE
