period,fiscal_year,fiscal_quarter,form,filing_date,report_date,source_url,source_sha256,operating_nwc_usd,change_operating_nwc_usd,discrete_business_acquisitions_usd,discrete_capex_usd,discrete_cfo_usd,discrete_depreciation_amortization_usd,discrete_fas_cas_pension_adjustment_usd,discrete_income_tax_usd,discrete_operating_income_usd,discrete_pretax_income_usd,discrete_program_gains_losses_usd,discrete_research_development_usd,discrete_revenue_usd,discrete_effective_tax_rate_pct,discrete_nopat_usd,discrete_fcff_cash_proxy_usd,quarterly_statement_chain_complete,quarterly_note_contract_chain_complete,historical_pit_input,terminal_input_allowed
2019Q4,2019,4,10-K,2020-02-13,2019-12-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1,,,,,,,,,,,,,,21.0,,,False,False,True,False
2020Q1,2020,1,10-Q,2020-05-07,2020-03-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,,,378000000.0,71000000.0,68000000.0,47000000.0,,44000000.0,215000000.0,216000000.0,,,2263000000.0,20.37037037037037,171203703.7037037,-3000000.0,False,True,True,False
2020Q2,2020,2,10-Q,2020-08-06,2020-06-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,,,0.0,79000000.0,201000000.0,45000000.0,,12000000.0,57000000.0,65000000.0,,,2027000000.0,18.461538461538463,46476923.07692308,122000000.0,False,True,True,False
2020Q3,2020,3,10-Q,2020-11-05,2020-09-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000042/hii-20200930.htm,99ba70d2164893b5aed993a656ad04f02c99efffe2ef1e13b93a0c2e376431ec,,,-1000000.0,70000000.0,222000000.0,44000000.0,,4000000.0,222000000.0,226000000.0,,,2314000000.0,1.7699115044247788,218070796.46017697,152000000.0,False,True,True,False
2020Q4,2020,4,10-K,2021-02-11,2020-12-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000008/hii-20201231.htm,c36fb47b2ccff954dee7a6dea7f83b6d16bced0de0451ba8b50c964590a018c8,,,40000000.0,116000000.0,602000000.0,55000000.0,,54000000.0,305000000.0,303000000.0,,,2757000000.0,17.82178217821782,250643564.35643566,486000000.0,False,False,True,False
2021Q1,2021,1,10-Q,2021-05-06,2021-03-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000018/hii-20210331.htm,d214a14aa150b01157d383205dc3c2564c50833b33db3ce5d7f1629c4785fdc1,,,,60000000.0,43000000.0,52000000.0,,25000000.0,147000000.0,173000000.0,,,2278000000.0,14.450867052023122,125757225.43352601,-17000000.0,False,True,True,False
2021Q2,2021,2,10-Q,2021-08-05,2021-06-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000029/hii-20210630.htm,ca03ac808581a53939e1004e5252217d4f8d7d1a6a792fd6a021aa4d79f90e7a,,,,74000000.0,96000000.0,50000000.0,,32000000.0,128000000.0,161000000.0,,,2231000000.0,19.875776397515526,102559006.21118014,22000000.0,False,True,True,False
2021Q3,2021,3,10-Q,2021-11-04,2021-09-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000036/hii-20210930.htm,29ff7b69ce5c53055d5b4167ea0e8ee828fb375fd0986e47579d87d5dfc330c1,,,,82000000.0,350000000.0,52000000.0,,-6000000.0,118000000.0,141000000.0,,,2338000000.0,21.0,93220000.0,268000000.0,False,True,True,False
2021Q4,2021,4,10-K,2022-02-10,2021-12-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000007/hii-20211231.htm,044bbc3f603b93031cf93d2d5b0c79964518807a8b543e9897e74767e666a693,,,7000000.0,95000000.0,271000000.0,53000000.0,,27000000.0,120000000.0,147000000.0,,,2677000000.0,18.367346938775512,97959183.6734694,176000000.0,False,False,True,False
2022Q1,2022,1,10-Q,2022-05-05,2022-03-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000013/hii-20220331.htm,96a62a56e1834c7bb671cad2d29f436e668ae020b3abe4064a2b666789b79cce,,,,43000000.0,-83000000.0,52000000.0,,36000000.0,138000000.0,176000000.0,,,2576000000.0,20.454545454545457,109772727.27272727,-126000000.0,False,True,True,False
