period,segment,forecast_as_of,actual_available_at,actual_after_forecast,actual_sales_usd,naive_sales_usd,historical_growth_sales_usd,industry_bridge_sales_usd,predeclared_blend_sales_usd,actual_margin_pct,naive_margin_pct,normalized_margin_pct,industry_bridge_margin_pct,predeclared_blend_margin_pct,trailing_median_yoy_growth_pct,output_price_yoy_pct,input_cost_yoy_pct,program_evidence_available,program_evidence_used_as_point_override,history_authority,historical_pit_input
2025Q1,ingalls_shipbuilding,2025-02-06,2025-05-01,True,637000000.0,655000000.0,681661020.9836307,673839855.6828839,666375219.1666286,7.221350078492936,9.16030534351145,9.34618386759628,8.622963486891258,9.14476154844811,4.070384882997036,0.09014808872393587,5.463566654925851,True,False,AS_REPORTED_PIT_HISTORY,True
2025Q1,mission_technologies,2025-02-06,2025-05-01,True,735000000.0,750000000.0,834847689.0756301,815523529.7554085,787592804.7077596,5.442176870748299,3.733333333333334,3.618491484184915,3.644845960345811,3.6798655801832587,11.313025210084026,2.724509956652142,3.6093836865273685,True,False,AS_REPORTED_PIT_HISTORY,True
2025Q1,newport_news_shipbuilding,2025-02-06,2025-05-01,True,1396000000.0,1434000000.0,1450323426.912573,1445814215.9164915,1441034410.707266,6.088825214899714,5.718270571827057,5.9561758915570255,5.180928715206866,5.720936155239517,1.1383142895797116,0.09014808872393587,5.463566654925851,True,False,AS_REPORTED_PIT_HISTORY,True
2025Q2,ingalls_shipbuilding,2025-05-01,2025-07-31,True,724000000.0,712000000.0,740981140.366939,733546923.826764,724632016.0484258,7.458563535911603,7.865168539325842,8.512736941418646,7.217937729411247,7.994732858571135,4.070384882997036,0.5899464278589619,7.062254527004912,True,False,AS_REPORTED_PIT_HISTORY,True
2025Q2,mission_technologies,2025-05-01,2025-07-31,True,791000000.0,765000000.0,851544642.8571427,830645638.4444813,803047570.325406,4.551201011378002,4.705882352941177,4.193888105312647,4.524594450257326,4.499491180868613,11.313025210084026,2.2067052045670295,4.0195842314055374,True,False,AS_REPORTED_PIT_HISTORY,True
2025Q2,newport_news_shipbuilding,2025-05-01,2025-07-31,True,1603000000.0,1535000000.0,1518910920.1642754,1526454347.4152832,1528841316.8948896,5.115408608858391,7.231270358306189,6.141453213093353,6.584039548391593,6.752749735994507,-1.04814852349997,0.5899464278589619,7.062254527004912,True,False,AS_REPORTED_PIT_HISTORY,True
2025Q3,ingalls_shipbuilding,2025-07-31,2025-10-30,True,828000000.0,664000000.0,693595505.6179775,694815437.4811176,679102735.7747738,7.85024154589372,7.379518072289157,7.661866037618722,7.179602993953017,7.4483525984040835,4.457154460538781,5.069570054484586,7.068720837845992,True,False,AS_REPORTED_PIT_HISTORY,True
2025Q3,mission_technologies,2025-07-31,2025-10-30,True,787000000.0,709000000.0,775042286.6957,761900079.8642257,738735591.6399815,4.320203303684879,4.65444287729196,4.602821944334981,4.481670158710045,4.61045964296973,9.314850027602272,3.136097403495853,4.863824589315007,True,False,AS_REPORTED_PIT_HISTORY,True
2025Q3,newport_news_shipbuilding,2025-07-31,2025-10-30,True,1617000000.0,1412000000.0,1397200142.8481805,1423114798.7445228,1411078735.398176,4.94743351886209,1.0623229461756374,5.903547893363386,0.8624078678394969,2.726764415940928,-1.04814852349997,5.069570054484586,7.068720837845992,True,False,AS_REPORTED_PIT_HISTORY,True
2025Q4,ingalls_shipbuilding,2025-10-30,2026-02-05,True,889000000.0,736000000.0,768804656.8295654,770340902.3191831,752786389.7871871,7.64904386951631,6.25,7.6544025409026615,6.038662690886463,6.709840292948901,4.457154460538781,5.152917816343901,7.266290907479268,True,False,AS_REPORTED_PIT_HISTORY,True
2025Q4,mission_technologies,2025-10-30,2026-02-05,True,731000000.0,713000000.0,764710539.1576498,755606947.6048075,736579371.6906143,5.88235294117647,2.664796633941094,4.602821944334981,2.4767549273569522,3.3148992365913332,7.252530036136018,2.9965265051204284,4.876943570961842,True,False,AS_REPORTED_PIT_HISTORY,True
2025Q4,newport_news_shipbuilding,2025-10-30,2026-02-05,True,1891000000.0,1588000000.0,1580640136.863616,1607396596.2815933,1591009183.2863023,4.4420941300899,2.392947103274559,5.4168395903427236,2.181609794161022,3.419608877381386,-0.4634674519133464,5.152917816343901,7.266290907479268,True,False,AS_REPORTED_PIT_HISTORY,True
2026Q1,ingalls_shipbuilding,2026-02-05,2026-05-05,True,725000000.0,637000000.0,665392073.913632,672512666.7356727,652976185.1623261,6.758620689655172,7.221350078492936,7.553803702713957,6.489549082827966,7.227938697620547,4.457154460538781,8.183262687666343,15.50127264431604,True,False,AS_REPORTED_PIT_HISTORY,True
2026Q1,mission_technologies,2026-02-05,2026-05-05,True,748000000.0,735000000.0,760366108.4871905,763187418.258711,748388381.6864753,4.679144385026738,5.442176870748299,4.602821944334981,4.983732349301323,5.079635968286592,3.451171222747007,4.730676788062411,9.315122002532178,True,False,AS_REPORTED_PIT_HISTORY,True
2026Q1,newport_news_shipbuilding,2026-02-05,2026-05-05,True,1665000000.0,1396000000.0,1389529994.3712897,1425742500.1958494,1401818123.6417847,5.285285285285285,6.088825214899714,5.031421063860241,5.357024219234744,5.608963612686153,-0.4634674519133464,8.183262687666343,15.50127264431604,True,False,AS_REPORTED_PIT_HISTORY,True
2026Q2,ingalls_shipbuilding,2026-05-05,2026-07-30,True,845000000.0,724000000.0,756269798.2943008,764824447.6953697,742273561.4974177,6.8639053254437865,7.458563535911603,7.41904080410038,5.8979180957429005,7.210633763752369,4.457154460538781,8.395759157163567,24.002213558850592,True,False,AS_REPORTED_PIT_HISTORY,True
2026Q2,mission_technologies,2026-05-05,2026-07-30,True,760000000.0,791000000.0,814426402.2953734,831565794.8948313,806998049.2975512,7.236842105263158,4.551201011378002,4.666793631159349,4.012792176562014,4.510897103079075,2.961618494990337,10.184287099903003,15.568375448062884,True,False,AS_REPORTED_PIT_HISTORY,True
2026Q2,newport_news_shipbuilding,2026-05-05,2026-07-30,True,1849000000.0,1603000000.0,1652315996.7448297,1677896403.5081804,1634053100.0632524,6.003244997295836,5.115408608858391,5.031421063860241,3.5547631686896883,4.851916152083733,3.076481393938213,8.395759157163567,24.002213558850592,True,False,AS_REPORTED_PIT_HISTORY,True
