period,segment,forecast_as_of,actual_available_at,feature_reference_quarter,feature_lag_quarters,output_price_yoy_pct,dedicated_cost_yoy_pct,ppi_series_coverage_pct,historical_pit_eligible
2023Q1,ingalls_shipbuilding,2023-02-09,2023-05-04,2022Q4,1,7.2889139320927825,1.862874410780529,100.0,True
2023Q1,mission_technologies,2023-02-09,2023-05-04,2022Q4,1,7.179723003678845,5.061718840792633,100.0,True
2023Q1,newport_news_shipbuilding,2023-02-09,2023-05-04,2022Q4,1,7.2889139320927825,1.862874410780529,100.0,True
2023Q2,ingalls_shipbuilding,2023-05-04,2023-08-03,2023Q1,1,2.5813694585623495,-0.9566708964910022,100.0,True
2023Q2,mission_technologies,2023-05-04,2023-08-03,2023Q1,1,5.53929111593348,2.7042725783739967,100.0,True
2023Q2,newport_news_shipbuilding,2023-05-04,2023-08-03,2023Q1,1,2.5813694585623495,-0.9566708964910022,100.0,True
2023Q3,ingalls_shipbuilding,2023-08-03,2023-11-02,2023Q2,1,-1.1846034740593723,-3.7466288803314742,100.0,True
2023Q3,mission_technologies,2023-08-03,2023-11-02,2023Q2,1,4.018125168209011,0.4960052574113458,100.0,True
2023Q3,newport_news_shipbuilding,2023-08-03,2023-11-02,2023Q2,1,-1.1846034740593723,-3.7466288803314742,100.0,True
2023Q4,ingalls_shipbuilding,2023-11-02,2024-02-01,2023Q3,1,-1.7691849384639369,-0.9597197085389254,100.0,True
2023Q4,mission_technologies,2023-11-02,2024-02-01,2023Q3,1,2.4714461027685957,0.7597292949469845,100.0,True
2023Q4,newport_news_shipbuilding,2023-11-02,2024-02-01,2023Q3,1,-1.7691849384639369,-0.9597197085389254,100.0,True
2024Q1,ingalls_shipbuilding,2024-02-01,2024-05-02,2023Q4,1,0.7997756559177276,0.3674434838796685,100.0,True
2024Q1,mission_technologies,2024-02-01,2024-05-02,2023Q4,1,1.8447410248000722,1.1702247789213231,100.0,True
2024Q1,newport_news_shipbuilding,2024-02-01,2024-05-02,2023Q4,1,0.7997756559177276,0.3674434838796685,100.0,True
2024Q2,ingalls_shipbuilding,2024-05-02,2024-08-01,2024Q1,1,1.8644254514408516,-0.7704391338321301,100.0,True
2024Q2,mission_technologies,2024-05-02,2024-08-01,2024Q1,1,2.177914950963938,0.9734941570836639,100.0,True
2024Q2,newport_news_shipbuilding,2024-05-02,2024-08-01,2024Q1,1,1.8644254514408516,-0.7704391338321301,100.0,True
2024Q3,ingalls_shipbuilding,2024-08-01,2024-10-31,2024Q2,1,-1.4881104343703129,2.1676500078646086,100.0,True
2024Q3,mission_technologies,2024-08-01,2024-10-31,2024Q2,1,2.5545989760666714,2.0764026359508874,100.0,True
2024Q3,newport_news_shipbuilding,2024-08-01,2024-10-31,2024Q2,1,-1.4881104343703129,2.1676500078646086,100.0,True
2024Q4,ingalls_shipbuilding,2024-10-31,2025-02-06,2024Q3,1,-0.3548096469520772,4.117666363890076,100.0,True
2024Q4,mission_technologies,2024-10-31,2025-02-06,2024Q3,1,2.2842948216860464,2.8065150810766086,100.0,True
2024Q4,newport_news_shipbuilding,2024-10-31,2025-02-06,2024Q3,1,-0.3548096469520772,4.117666363890076,100.0,True
2025Q1,ingalls_shipbuilding,2025-02-06,2025-05-01,2024Q4,1,0.09014808872393587,5.463566654925851,100.0,True
2025Q1,mission_technologies,2025-02-06,2025-05-01,2024Q4,1,2.724509956652142,3.6093836865273685,100.0,True
2025Q1,newport_news_shipbuilding,2025-02-06,2025-05-01,2024Q4,1,0.09014808872393587,5.463566654925851,100.0,True
2025Q2,ingalls_shipbuilding,2025-05-01,2025-07-31,2025Q1,1,0.5899464278589619,7.062254527004911,100.0,True
2025Q2,mission_technologies,2025-05-01,2025-07-31,2025Q1,1,2.2067052045670295,4.0195842314055374,100.0,True
2025Q2,newport_news_shipbuilding,2025-05-01,2025-07-31,2025Q1,1,0.5899464278589619,7.062254527004911,100.0,True
2025Q3,ingalls_shipbuilding,2025-07-31,2025-10-30,2025Q2,1,5.069570054484586,7.068720837845992,100.0,True
2025Q3,mission_technologies,2025-07-31,2025-10-30,2025Q2,1,3.136097403495853,4.863824589315007,100.0,True
2025Q3,newport_news_shipbuilding,2025-07-31,2025-10-30,2025Q2,1,5.069570054484586,7.068720837845992,100.0,True
2025Q4,ingalls_shipbuilding,2025-10-30,2026-02-05,2025Q2,2,5.152917816343901,7.266290907479268,100.0,True
2025Q4,mission_technologies,2025-10-30,2026-02-05,2025Q2,2,2.9965265051204284,4.876943570961842,100.0,True
2025Q4,newport_news_shipbuilding,2025-10-30,2026-02-05,2025Q2,2,5.152917816343901,7.266290907479268,100.0,True
2026Q1,ingalls_shipbuilding,2026-02-05,2026-05-05,2025Q4,1,8.183262687666343,15.50127264431604,100.0,True
2026Q1,mission_technologies,2026-02-05,2026-05-05,2025Q4,1,4.730676788062411,9.315122002532178,100.0,True
2026Q1,newport_news_shipbuilding,2026-02-05,2026-05-05,2025Q4,1,8.183262687666343,15.50127264431604,100.0,True
2026Q2,ingalls_shipbuilding,2026-05-05,2026-07-30,2026Q1,1,8.395759157163567,24.002213558850592,100.0,True
2026Q2,mission_technologies,2026-05-05,2026-07-30,2026Q1,1,10.184287099903003,15.568375448062884,100.0,True
2026Q2,newport_news_shipbuilding,2026-05-05,2026-07-30,2026Q1,1,8.395759157163567,24.002213558850592,100.0,True
