series_id,observation_months,published_vintages,first_release_date,last_release_date,changed_republications
WPU102,59,270,2022-02-15,2026-08-13,202
WPU107,59,270,2022-02-15,2026-08-13,196
WPU117,59,270,2022-02-15,2026-08-13,199
