segment,route,validation_observations,mae,mase,mean_ape_pct,beats_prior_year_naive
ingalls_shipbuilding,PREDECLARED_BLEND,6,0.7694532938242852,0.8755867856161723,10.536221025968517,True
ingalls_shipbuilding,NORMALIZED_MARGIN,6,0.7871766443311857,0.895754782329212,10.980157435011597,True
ingalls_shipbuilding,PIT_COST_MARGIN_BRIDGE,6,0.8597196303328868,0.9783038862735686,11.714388702233725,True
ingalls_shipbuilding,PRIOR_YEAR_NAIVE,6,0.8787858684765345,1.0,12.016438250254895,False
mission_technologies,NORMALIZED_MARGIN,6,1.0649198074859827,0.7208396801987026,17.79991858090758,True
mission_technologies,PREDECLARED_BLEND,6,1.2996946250647259,0.8797577538719614,21.685104053345746,True
mission_technologies,PRIOR_YEAR_NAIVE,6,1.4773323899045525,1.0,25.108597384142854,False
mission_technologies,PIT_COST_MARGIN_BRIDGE,6,1.4866067055572632,1.0062777447486342,24.38386630105128,False
newport_news_shipbuilding,NORMALIZED_MARGIN,6,0.7192069861987349,0.4267425284557132,14.082811069008574,True
newport_news_shipbuilding,PREDECLARED_BLEND,6,1.1205652858398263,0.6648890688707101,21.876001129620203,True
newport_news_shipbuilding,PRIOR_YEAR_NAIVE,6,1.685341718345687,1.0,33.683157908538234,False
newport_news_shipbuilding,PIT_COST_MARGIN_BRIDGE,6,1.8737096981221881,1.111768419262416,36.53675051640441,False
