period,form,segment,metric,sec_value_usd,ir_value_usd,difference_usd,identity_pass,comparison_basis,context_ref,filing_date,source_url,source_sha256
2019Q4,10-K,ingalls_shipbuilding,sales_usd,2555000000.0,,,False,SEC_ANNUAL_VS_SUM_AS_REPORTED_IR_QUARTERS,ia9b0a196aec84661988189a47cddd1df_D20190101-20191231,2020-02-13,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,10-K,ingalls_shipbuilding,operating_profit_usd,235000000.0,,,False,SEC_ANNUAL_VS_SUM_AS_REPORTED_IR_QUARTERS,ia9b0a196aec84661988189a47cddd1df_D20190101-20191231,2020-02-13,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,10-K,newport_news_shipbuilding,sales_usd,5186000000.0,,,False,SEC_ANNUAL_VS_SUM_AS_REPORTED_IR_QUARTERS,i4f3fda6799fc411cb0133ad78fee58b6_D20190101-20191231,2020-02-13,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,10-K,newport_news_shipbuilding,operating_profit_usd,390000000.0,,,False,SEC_ANNUAL_VS_SUM_AS_REPORTED_IR_QUARTERS,i4f3fda6799fc411cb0133ad78fee58b6_D20190101-20191231,2020-02-13,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,10-K,mission_technologies,sales_usd,1309000000.0,,,False,SEC_ANNUAL_VS_SUM_AS_REPORTED_IR_QUARTERS,i5ab48cfd7ba049b3a0e17b1090ab2dba_D20190101-20191231,2020-02-13,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,10-K,mission_technologies,operating_profit_usd,6000000.0,,,False,SEC_ANNUAL_VS_SUM_AS_REPORTED_IR_QUARTERS,i5ab48cfd7ba049b3a0e17b1090ab2dba_D20190101-20191231,2020-02-13,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2020Q1,10-Q,ingalls_shipbuilding,sales_usd,629000000.0,629000000.0,0.0,True,SEC_DISCRETE_QUARTER_VS_AS_REPORTED_IR_QUARTER,ifc34d82d41604efdbbb4169b3a974352_D20200101-20200331,2020-05-07,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,10-Q,ingalls_shipbuilding,operating_profit_usd,68000000.0,68000000.0,0.0,True,SEC_DISCRETE_QUARTER_VS_AS_REPORTED_IR_QUARTER,ifc34d82d41604efdbbb4169b3a974352_D20200101-20200331,2020-05-07,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,10-Q,newport_news_shipbuilding,sales_usd,1341000000.0,1341000000.0,0.0,True,SEC_DISCRETE_QUARTER_VS_AS_REPORTED_IR_QUARTER,ibc0212c9988f4a09a6e6340cbecd6ce6_D20200101-20200331,2020-05-07,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,10-Q,newport_news_shipbuilding,operating_profit_usd,95000000.0,95000000.0,0.0,True,SEC_DISCRETE_QUARTER_VS_AS_REPORTED_IR_QUARTER,ibc0212c9988f4a09a6e6340cbecd6ce6_D20200101-20200331,2020-05-07,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,10-Q,mission_technologies,sales_usd,317000000.0,317000000.0,0.0,True,SEC_DISCRETE_QUARTER_VS_AS_REPORTED_IR_QUARTER,i23ee61793f194c668070caa57a1e7448_D20200101-20200331,2020-05-07,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,10-Q,mission_technologies,operating_profit_usd,-7000000.0,-7000000.0,0.0,True,SEC_DISCRETE_QUARTER_VS_AS_REPORTED_IR_QUARTER,i23ee61793f194c668070caa57a1e7448_D20200101-20200331,2020-05-07,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q2,10-Q,ingalls_shipbuilding,sales_usd,622000000.0,622000000.0,0.0,True,SEC_DISCRETE_QUARTER_VS_AS_REPORTED_IR_QUARTER,i81fca6674cd04bfbb9132c959e93e950_D20200401-20200630,2020-08-06,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8
2020Q2,10-Q,ingalls_shipbuilding,operating_profit_usd,55000000.0,55000000.0,0.0,True,SEC_DISCRETE_QUARTER_VS_AS_REPORTED_IR_QUARTER,i81fca6674cd04bfbb9132c959e93e950_D20200401-20200630,2020-08-06,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8
