report_period,release_date,source_path,source_url,source_sha256,target_series_rows,hash_match,pdf_parsing_used
2022-01,2022-02-15,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-january-2022.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-january-2022.xlsx,8536504b7a2fce58841f72c542f3e9d10f7d827b8a408aa88427ab1f91ae2d52,15,True,False
2022-02,2022-03-15,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-february-2022.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-february-2022.xlsx,bf71d6534990a2d820999b827e1e3e96d9acc65247607fa6a2e534aa3478d0a7,15,True,False
2022-03,2022-04-13,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-march-2022.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-march-2022.xlsx,78c5588e2babc576ecb233e05089ef0f0295094805c24a02f91575c66a9b98d3,15,True,False
2022-04,2022-05-12,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-april-2022.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-april-2022.xlsx,0477e083c1af817c03cc331c32670ed62789cc840a14a30d4239ee02975d8e50,15,True,False
2022-05,2022-06-14,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-may-2022.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-may-2022.xlsx,74b58cd041d47bb6220fe60b3a11e6914d381560245bf0bdc4d523bb9180e7f8,15,True,False
2022-06,2022-07-14,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-june-2022.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-june-2022.xlsx,64ec087ba7a1d739c2a6c2d50c104f4aa61dc779bfdf0ad9f5cf64feeb98a117,15,True,False
2022-07,2022-08-11,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-july-2022.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-july-2022.xlsx,ae34da19289a63408a2fb3bff85b8cabd280953a7d9ed34b96640f91d09a2474,15,True,False
2022-08,2022-09-14,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-august-2022.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-august-2022.xlsx,c2c292e8acbcd398e4dc492fd658f1faf4f12cbb18a82397057efed5b8861d4f,15,True,False
2022-09,2022-10-12,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-september-2022.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-september-2022.xlsx,614d88726979e134f312823a9895b7949677c42e26428eea8f3b62d639ee71ea,15,True,False
2022-10,2022-11-15,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-october-2022.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-october-2022.xlsx,1d0847f74fc6cf1cee99b18e45b51749b5401eddcec41a0d56c17e0a3fcbbfd0,15,True,False
2022-11,2022-12-09,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-november-2022.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-november-2022.xlsx,c406aa946e99ed3b0f20abed36b5bc186c8d5be4981f688307a005c60cc1fa3e,15,True,False
2022-12,2023-01-18,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-december-2022.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-december-2022.xlsx,dcb3e876948240c0dcdca3376e89f8822a831e0a2e0ef2848afaaefb5fd7985a,15,True,False
2023-01,2023-02-16,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-january-2023.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-january-2023.xlsx,1983283f6a28ac421d35c1050626f9497eb41713cacb2db4371e3dd94f1609ee,15,True,False
2023-02,2023-03-15,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-february-2023.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-february-2023.xlsx,f858e0328d56c306478f71547caa2691bea64e4a658dc9a9b55fa76cbd1af744,15,True,False
2023-03,2023-04-13,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-march-2023.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-march-2023.xlsx,b34e516e2b9b99d1e4386e3b675d6bc6fae54bd1bccb9d27c85e367258443d3a,15,True,False
2023-04,2023-05-11,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-april-2023.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-april-2023.xlsx,07e4f16c517f3c9214ff433b58ade38598d65a03b952a16d7d4db45d5e8b3f82,15,True,False
2023-05,2023-06-14,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v1_5\bls\ppi_detailed_reports\ppi-detailed-report-may-2023.xlsx,https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-may-2023.xlsx,2afba21c6d15e2e8d87d952f68e707473fb5aab63f9e5b3c30ea322f683a82af,15,True,False
