fiscal_year,filing_date,firm_backlog_usd,prior_year_firm_backlog_usd,not_expected_next_year_usd,expected_within_next_year_usd,expected_within_next_year_pct,expected_fill_year,semantic_label,parser_confidence,source_url,source_path,source_sha256,source_excerpt,next_year_identity_pass,current_mpe_revenue_usd,actual_next_year_mpe_revenue_usd,realized_near_term_backlog_coverage_pct,realized_non_backlog_and_timing_revenue_usd,naive_next_year_mpe_revenue_usd,backlog_candidate_next_year_mpe_revenue_usd,training_observations
2021,2022-02-16,23100000000.0,14200000000.0,4300000000.0,18800000000.0,81.38528138528139,2022,FIRM_ORDER_BACKLOG_DIRECT_DISCLOSURE,HIGH_DIRECT_TEXT_MATCH,https://www.sec.gov/Archives/edgar/data/18230/000001823022000050/cat-20211231.htm,D:\Programming\python_example\ForecastTest\data-lake\bronze\snapshots\industrials_cat_10k\fiscal_year=2021\cat-20211231.htm,926c3064c1b485242db38739459d66126011e6f4b2db5289066a58f6456ccc08,"The dollar amount of backlog believed to be firm was approximately $23.1 billion at December 31, 2021 and $14.2 billion at December 31, 2020. Of the total backlog at December 31, 2021, approximately $4.3 billion was not expected to be filled in 2022.",True,48188000000.0,56574000000.0,33.23081274083501,37774000000.0,48188000000.0,,0
2022,2023-02-15,30400000000.0,23100000000.0,5500000000.0,24900000000.0,81.9078947368421,2023,FIRM_ORDER_BACKLOG_DIRECT_DISCLOSURE,HIGH_DIRECT_TEXT_MATCH,https://www.sec.gov/Archives/edgar/data/18230/000001823023000011/cat-20221231.htm,D:\Programming\python_example\ForecastTest\data-lake\bronze\snapshots\industrials_cat_10k\fiscal_year=2022\cat-20221231.htm,779a0af213e496cf178df5089e528d4b6ab0afafa4ec812db660c5b230857fe0,"The dollar amount of backlog believed to be firm was approximately $30.4 billion at December 31, 2022 and $23.1 billion at December 31, 2021. Of the total backlog at December 31, 2022, approximately $5.5 billion was not expected to be filled in 2023.",True,56574000000.0,63869000000.0,38.986049570214035,38969000000.0,56574000000.0,,0
2023,2024-02-16,27500000000.0,30400000000.0,5800000000.0,21700000000.0,78.9090909090909,2024,FIRM_ORDER_BACKLOG_DIRECT_DISCLOSURE,HIGH_DIRECT_TEXT_MATCH,https://www.sec.gov/Archives/edgar/data/18230/000001823024000009/cat-20231231.htm,D:\Programming\python_example\ForecastTest\data-lake\bronze\snapshots\industrials_cat_10k\fiscal_year=2023\cat-20231231.htm,6234e660810ce6ac07a3574668a3223492164efc9019ff6c05178b0f782ea3d7,"The dollar amount of backlog believed to be firm was approximately $27.5 billion at December 31, 2023 and $30.4 billion at December 31, 2022. Of the total backlog at December 31, 2023, approximately $5.8 billion was not expected to be filled in 2024.",True,63869000000.0,61363000000.0,35.36332969378942,39663000000.0,63869000000.0,60096767723.12479,2
2024,2025-02-14,30000000000.0,27500000000.0,8000000000.0,22000000000.0,73.33333333333333,2025,FIRM_ORDER_BACKLOG_DIRECT_DISCLOSURE,HIGH_DIRECT_TEXT_MATCH,https://www.sec.gov/Archives/edgar/data/18230/000001823025000008/cat-20241231.htm,D:\Programming\python_example\ForecastTest\data-lake\bronze\snapshots\industrials_cat_10k\fiscal_year=2024\cat-20241231.htm,a2abf5cb2bc7be0440c1d358cdd02b5eb300a8f231ff4233ee6a724f02b6782c,"The dollar amount of backlog believed to be firm was approximately $30.0 billion at December 31, 2024 and $27.5 billion at December 31, 2023. Of the total backlog at December 31, 2024, approximately $8.0 billion was not expected to be filled in 2025.",True,61363000000.0,63980000000.0,34.38574554548296,41980000000.0,61363000000.0,62211336405.52995,3
2025,2026-02-13,51200000000.0,30000000000.0,19300000000.0,31900000000.000004,62.3046875,2026,FIRM_ORDER_BACKLOG_DIRECT_DISCLOSURE,HIGH_DIRECT_TEXT_MATCH,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/cat-20251231.htm,D:\Programming\python_example\ForecastTest\data-lake\bronze\snapshots\industrials_cat_10k\fiscal_year=2025\cat-20251231.htm,090ce2bd6d7dd1e85d4397ab152d3c3c3fb059fd4af0eb9aa979c1eb2ff92f15,"The dollar amount of backlog believed to be firm was approximately $51.2 billion at December 31, 2025 and $30.0 billion at December 31, 2024. Of the total backlog at December 31, 2025, approximately $19.3 billion was not expected to be filled in 2026.",True,63980000000.0,,,,63980000000.0,91470746789.3098,4
