forecast_year,beginning_book_equity_usd,net_income_usd,equity_charge_usd,residual_income_usd,discount_factor,pv_residual_income_usd,terminal_residual_income_usd,terminal_residual_income_value_usd,pv_terminal_residual_income_value_usd,scenario
1,4841000000.0,784925157.5235826,468147459.4090559,316777698.1145267,1.0967047013858822,288845026.1170774,,,,BASE
2,4937820000.0,800623660.6740543,477510408.597237,323113252.0768173,1.202761202041897,268642895.63736856,,,,BASE
3,5036576400.0,816636133.8875353,487060616.7691817,329575517.1183536,1.3190738649238833,249853723.79989624,,,,BASE
4,5137307928.0,832968856.565286,496801829.1045654,336167027.46072066,1.446634509137269,232378686.76394355,,,,BASE
5,5240054086.56,849628233.6965917,506737865.6866567,342890368.009935,1.5865308673579006,216125872.53405353,349748175.37013376,4559670646.661381,2873987982.505971,BASE
