claim,consolidated_usd,mpe_usd,financial_products_usd,adjustments_usd,reconciliation_error_usd,reconciliation_pass
CONSOLIDATED_REVENUE,67589000000.0,63980000000.0,4382000000.0,-773000000.0,0.0,True
CONSOLIDATED_OPERATING_PROFIT,11151000000.0,10884000000.0,864000000.0,-597000000.0,0.0,True
LONG_TERM_DEBT_AFTER_ONE_YEAR,30696000000.0,10955000000.0,21018000000.0,-1277000000.0,0.0,True
SHAREHOLDERS_EQUITY,21318000000.0,17440000000.0,4841000000.0,-963000000.0,0.0,True
