route,validation_observations,mae,mase,mean_ape_pct,beats_prior_year_naive,selection_class,predeclared_before_oos,clean_prospective_claim_allowed,selection_reason,registry_status
PIT_INDUSTRY_BRIDGE,6,202541395.08012152,0.678151992455764,6.338076388648414,True,BEST_TESTED_DIAGNOSTIC,False,False,MINIMUM_SELECTED_FROM_SIX_ROUTES_ON_SAME_OOS,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
HISTORICAL_GROWTH,6,223736093.7224358,0.7491163852313698,7.026940985356384,True,ALTERNATE_TESTED_DIAGNOSTIC,False,False,TESTED_ON_SAME_FIXED_OOS,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
PREDECLARED_EQUAL_BLEND,6,238969349.50726327,0.8001205898680689,7.379075131055676,True,CLEAN_PROSPECTIVE_BENCHMARK,True,True,PREDECLARED_BEFORE_FIXED_OOS,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
TOTAL_BACKLOG_BRIDGE,6,267460758.7223606,0.8955159332221895,8.133377678517688,True,ALTERNATE_TESTED_DIAGNOSTIC,False,False,TESTED_ON_SAME_FIXED_OOS,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
SUM_SEGMENT_BRIDGE,6,269280353.7311818,0.901608327224939,8.33383807787164,True,ALTERNATE_TESTED_DIAGNOSTIC,False,False,TESTED_ON_SAME_FIXED_OOS,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
PRIOR_YEAR_NAIVE,6,298666666.6666667,1.0,9.178230267503908,False,PREDECLARED_BASELINE,True,False,SCALING_BASELINE_ONLY,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
