segment,route,validation_observations,mae,mase,mean_ape_pct,beats_prior_year_naive,target,predeclared_before_oos,selection_class,clean_prospective_claim_allowed,registry_status
ingalls_shipbuilding,PREDECLARED_BLEND,6,0.7694532938242852,0.8755867856161723,10.536221025968516,True,SEGMENT_MARGIN,True,CLEAN_PROSPECTIVE_BENCHMARK,True,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
ingalls_shipbuilding,NORMALIZED_MARGIN,6,0.7871766443311857,0.895754782329212,10.980157435011597,True,SEGMENT_MARGIN,False,ALTERNATE_TESTED_DIAGNOSTIC,False,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
ingalls_shipbuilding,PIT_COST_MARGIN_BRIDGE,6,0.8597196303328868,0.9783038862735686,11.714388702233723,True,SEGMENT_MARGIN,False,ALTERNATE_TESTED_DIAGNOSTIC,False,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
ingalls_shipbuilding,PRIOR_YEAR_NAIVE,6,0.8787858684765345,1.0,12.016438250254897,False,SEGMENT_MARGIN,True,PREDECLARED_BASELINE,False,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
mission_technologies,NORMALIZED_MARGIN,6,1.0649198074859827,0.7208396801987026,17.79991858090758,True,SEGMENT_MARGIN,False,BEST_TESTED_DIAGNOSTIC,False,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
mission_technologies,PREDECLARED_BLEND,6,1.299694625064726,0.8797577538719614,21.685104053345743,True,SEGMENT_MARGIN,True,CLEAN_PROSPECTIVE_BENCHMARK,True,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
mission_technologies,PRIOR_YEAR_NAIVE,6,1.4773323899045523,1.0,25.10859738414285,False,SEGMENT_MARGIN,True,PREDECLARED_BASELINE,False,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
mission_technologies,PIT_COST_MARGIN_BRIDGE,6,1.4866067055572632,1.0062777447486342,24.38386630105128,False,SEGMENT_MARGIN,False,ALTERNATE_TESTED_DIAGNOSTIC,False,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
newport_news_shipbuilding,NORMALIZED_MARGIN,6,0.7192069861987349,0.4267425284557132,14.082811069008574,True,SEGMENT_MARGIN,False,BEST_TESTED_DIAGNOSTIC,False,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
newport_news_shipbuilding,PREDECLARED_BLEND,6,1.1205652858398265,0.6648890688707101,21.876001129620203,True,SEGMENT_MARGIN,True,CLEAN_PROSPECTIVE_BENCHMARK,True,IMMUTABLE_FAILED_AND_ALTERNATE_ROUTE_RECORD
