ticker,subindustry,core_financial_complete,ttm_complete,valuation_source_complete,market_input_complete,sector,critical_gold_rows,critical_numeric_precision,critical_recall,hashed_sources,verified_hashed_sources,lineage_hash_coverage,forecast_oos_observations,revenue_mase,revenue_wape_pct,forecast_point_gate,forecast_validation_scope,uncertainty_gate,source_coverage_complete,financial_history_ready,critical_gold_scope_complete,source_span_coverage,silent_ambiguity_count,issuer_branches_in_core,positional_selectors_in_core,unresolved_critical_accounting_identities,llm_unverified_fact_count,profit_margin_mase,accounting_ready,market_ready,dcf_inputs_ready,legacy_conditional_dcf_available,parser_gold_scope,subindustry_code,industry_group,sec_form_regime,primary_target,price_anchor,quantity_anchor,cost_anchor,investment_anchor,economic_bridge,source_count,historical_pit_industry_sources,industry_pit_model_ready,terminal_input_allowed_x,production_promotable,quarterly_rows,quarterly_revenue_rows,quarterly_margin_rows,quarterly_model_profit_rows,model_profit_target_definition,model_profit_target_authority,annual_rows,reported_roic_rows,core_reinvestment_rows,innovation_reinvestment_rows,note_metric_mean_coverage_pct,company_forecast_history_ready,roic_reinvestment_research_ready,terminal_input_allowed_y,ir_directory_exists,ir_documents_in_window,first_ir_filing_date,latest_ir_filing_date,documents_with_price_evidence,documents_with_quantity_evidence,documents_with_cost_evidence,documents_with_investment_evidence,hash_mismatches,company_specific_numeric_parser_required,numerical_model_input_allowed,status,ifrs_status,ifrs_annual_rows,ifrs_operating_margin_rows,ifrs_roic_rows,ifrs_core_reinvestment_rows,quantity_anchor_rows,parser_rule_count,bls_series,dedicated_output_route,structural_cost_series,roic_observations,core_reinvestment_observations,innovation_reinvestment_observations,oos_observations,forecast_authority,route,rpo_quantity_route_ready,structural_cost_route_ready,context_datasets,ready_context_datasets,price_context_ready,quantity_context_ready,cost_context_ready,investment_context_ready,pqci_context_complete,historical_pit_model_input_allowed,prospective_context_allowed,authority,conditional_dcf_run,failed_gates,sec_status,quantity_status,terminal_evidence_eligible,oos_observations_performance,revenue_mase_performance,profit_margin_mase_performance,mean_revenue_level_ape_pct,forecast_authority_performance,conditional_valuation_allowed,conditional_dcf_run_valuation,failed_gates_valuation,latest_ir_source_status,latest_ir_frames,latest_ir_reviews,latest_ir_abstentions,narrative_precision,narrative_recall,industry_data_ready,terminal_input_ready,l0_source_ready,l0_failed_gates,l1_parser_ready,l1_failed_gates,narrative_evidence_ready,l2_economics_ready,l2_failed_gates,l3_valuation_ready,l3_failed_gates,highest_certification_level,strict_dcf_allowed,fair_value_authority,production_promoted
AR,ep,True,True,True,True,ENERGY,,0.5370370370370371,0.5178571428571429,1.0,1.0,1.0,4.0,1.5170945501603708,123.87721502392196,False,TIME_AND_LOCO,,True,True,False,1.0,0,0,0,0,0,,True,True,True,True,NO_E_AND_P_KPI_GOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARSED,4,10,15,1.0,0.0,True,False,True,,False,critical_gold_scope|critical_precision|critical_recall,False,False,l1_parser|forecast_point_gate,False,l2_economics|terminal_authority,L0_SOURCE_READY,False,False,False
BKR,services,True,True,True,True,ENERGY,5.0,0.5370370370370371,0.5178571428571429,38.0,38.0,1.0,8.0,0.9335787890260324,3.615436900009736,True,TIME_AND_LOCO_SELECTED_MODEL,False,True,True,False,1.0,0,0,0,0,0,,True,True,True,True,STRATIFIED_75_ROW_ENERGY_KPI_GOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARSED,19,3,26,1.0,0.0,True,False,True,,False,critical_gold_scope|critical_precision|critical_recall,False,False,l1_parser,False,l2_economics|terminal_authority,L0_SOURCE_READY,False,False,False
CNX,ep,True,True,True,True,ENERGY,,0.5370370370370371,0.5178571428571429,1.0,1.0,1.0,4.0,1.0320071185952295,77.00710044021193,False,TIME_AND_LOCO,,True,True,False,1.0,0,0,0,0,0,,True,True,True,True,NO_E_AND_P_KPI_GOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARSED,0,2,33,1.0,0.0,True,False,True,,False,critical_gold_scope|critical_precision|critical_recall,False,False,l1_parser|forecast_point_gate,False,l2_economics|terminal_authority,L0_SOURCE_READY,False,False,False
COP,ep,True,True,True,True,ENERGY,,0.5370370370370371,0.5178571428571429,1.0,1.0,1.0,4.0,1.5238324317299048,62.93009085326875,False,TIME_AND_LOCO,,True,True,False,1.0,0,0,0,0,0,,True,True,True,True,NO_E_AND_P_KPI_GOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARSED,8,6,8,1.0,0.0,True,False,True,,False,critical_gold_scope|critical_precision|critical_recall,False,False,l1_parser|forecast_point_gate,False,l2_economics|terminal_authority,L0_SOURCE_READY,False,False,False
CVX,integrated,True,True,True,True,ENERGY,9.0,0.5370370370370371,0.5178571428571429,31.0,31.0,1.0,8.0,1.228162168099698,7.78977243559779,False,TIME_AND_LOCO_SELECTED_MODEL,True,True,True,False,1.0,0,0,0,0,0,,True,True,True,True,STRATIFIED_75_ROW_ENERGY_KPI_GOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARSED,7,2,26,1.0,0.0,True,False,True,,False,critical_gold_scope|critical_precision|critical_recall,False,False,l1_parser|forecast_point_gate,False,l2_economics|terminal_authority,L0_SOURCE_READY,False,False,False
DVN,ep,True,True,True,True,ENERGY,,0.5370370370370371,0.5178571428571429,1.0,1.0,1.0,4.0,1.5747162881587766,69.00953124771364,False,TIME_AND_LOCO,,True,True,False,1.0,0,0,0,0,0,,True,True,True,True,NO_E_AND_P_KPI_GOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARSED,5,1,5,1.0,0.0,True,False,True,,False,critical_gold_scope|critical_precision|critical_recall,False,False,l1_parser|forecast_point_gate,False,l2_economics|terminal_authority,L0_SOURCE_READY,False,False,False
EOG,ep,True,True,True,True,ENERGY,,0.5370370370370371,0.5178571428571429,1.0,1.0,1.0,4.0,2.752075323344568,37.71141481746271,False,TIME_AND_LOCO,,True,True,False,1.0,0,0,0,0,0,,True,True,True,True,NO_E_AND_P_KPI_GOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARSED,0,0,22,1.0,0.0,True,False,True,,False,critical_gold_scope|critical_precision|critical_recall,False,False,l1_parser|forecast_point_gate,False,l2_economics|terminal_authority,L0_SOURCE_READY,False,False,False
EPD,midstream,True,True,True,True,ENERGY,6.0,0.5370370370370371,0.5178571428571429,35.0,35.0,1.0,8.0,0.8308558681046982,8.633021453067961,False,TIME_AND_LOCO_SELECTED_MODEL,True,True,True,False,1.0,0,0,0,0,0,,True,True,True,True,STRATIFIED_75_ROW_ENERGY_KPI_GOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARSED,13,24,53,1.0,0.0,True,False,True,,False,critical_gold_scope|critical_precision|critical_recall,False,False,l1_parser|forecast_point_gate,False,l2_economics|terminal_authority,L0_SOURCE_READY,False,False,False
EQT,ep,True,True,True,True,ENERGY,,0.5370370370370371,0.5178571428571429,1.0,1.0,1.0,4.0,1.1120585328161368,39.274956307344006,False,TIME_AND_LOCO,,True,True,False,1.0,0,0,0,0,0,,True,True,True,True,NO_E_AND_P_KPI_GOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARSED,3,9,52,1.0,0.0,True,False,True,,False,critical_gold_scope|critical_precision|critical_recall,False,False,l1_parser|forecast_point_gate,False,l2_economics|terminal_authority,L0_SOURCE_READY,False,False,False
ET,midstream,True,True,True,True,ENERGY,9.0,0.5370370370370371,0.5178571428571429,34.0,34.0,1.0,8.0,0.8814359695198561,9.60552623970679,False,TIME_AND_LOCO_SELECTED_MODEL,True,True,True,False,1.0,0,0,0,0,0,,True,True,True,True,STRATIFIED_75_ROW_ENERGY_KPI_GOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_ARCANA_IR_HTML,0,0,0,1.0,0.0,True,False,True,,False,critical_gold_scope|critical_precision|critical_recall,False,False,l1_parser|forecast_point_gate,False,l2_economics|terminal_authority,L0_SOURCE_READY,False,False,False
