segment,component,observations,intercept_pct,industry_activity_beta,output_price_beta,dedicated_cost_beta,hierarchical_segment_weight,residual_std_pct,structural_parameter_claim_allowed
construction,VOLUME,14,0.013074420784613128,0.6233557877825868,,,0.7,8.898741423039843,False
construction,PRICE,14,-3.113022407449283,,1.2198362850240503,,0.7,3.667301382403616,False
construction,COST,14,1.5154348714323755,0.5090661516594113,,1.1983690314892286,0.7,7.948303920513557,False
power_energy,VOLUME,14,4.306144513640106,0.778380263973387,,,0.7,6.21573660972375,False
power_energy,PRICE,14,-1.0027838479493425,,1.0159908943212588,,0.7,1.8819738103558765,False
power_energy,COST,14,6.099919863575508,0.9351267983117599,,0.39043755456096496,0.7,6.867114780768352,False
resource,VOLUME,14,-1.4965540136392215,0.4610800925452192,,,0.7,7.695777156302547,False
resource,PRICE,14,-1.6000179716442002,,0.9196379990311905,,0.7,3.2920306729549162,False
resource,COST,14,0.6525223336354782,0.41348903836948897,,0.9207915467578106,0.7,6.965647435913073,False
