period,source_type,operating_income_usd,segment_operating_income_usd,operating_fas_cas_reconciliation_addback_usd,operating_fas_cas_effect_on_operating_income_usd,non_current_state_tax_reconciliation_addback_usd,other_nonsegment_effect_on_operating_income_usd,reconciliation_identity_error_usd,source_path,source_sha256,table_index,year,quarters,revenue_usd,fas_cas_effect_pct_of_revenue,other_nonsegment_effect_pct_of_revenue,total_nonsegment_effect_pct_of_revenue,terminal_persistence_assumed
2019,SEC_10K,736000000.0,631000000.0,-124000000.0,124000000.0,19000000.0,-19000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2020-02-13_0001501585-20-000011_hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1,13,2019,,,,,,False
2020,SEC_10K,799000000.0,555000000.0,-248000000.0,248000000.0,4000000.0,-4000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2021-02-11_0001501585-21-000008_hii-20201231.htm,c36fb47b2ccff954dee7a6dea7f83b6d16bced0de0451ba8b50c964590a018c8,13,2020,4.0,9361000000.0,2.649289605811345,-0.04273047751308621,2.606559128298259,False
2021,SEC_10K,513000000.0,683000000.0,157000000.0,-157000000.0,13000000.0,-13000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2022-02-10_0001501585-22-000007_hii-20211231.htm,044bbc3f603b93031cf93d2d5b0c79964518807a8b543e9897e74767e666a693,11,2021,4.0,9524000000.0,-1.6484670306593867,-0.1364972700545989,-1.7849643007139857,False
2022,SEC_10K,565000000.0,712000000.0,145000000.0,-145000000.0,2000000.0,-2000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2023-02-09_0001501585-23-000010_hii-20221231.htm,cfcc6f7fd5211d6d8f36fcd6ed2a9b9a8d27927356fe1913e9b42f534685bf8e,11,2022,4.0,10676000000.0,-1.3581865867366054,-0.018733608092918696,-1.376920194829524,False
2023,SEC_10K,781000000.0,842000000.0,72000000.0,-72000000.0,-11000000.0,11000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2024-02-01_0001501585-24-000007_hii-20231231.htm,0b3d953af66e8986f467784154cf686e260e45e7a548fc9f7d2ee216d54c771b,9,2023,4.0,11454000000.0,-0.6286013619696176,0.09603631918980268,-0.5325650427798149,False
2024,SEC_10K,535000000.0,573000000.0,62000000.0,-62000000.0,-24000000.0,24000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2025-02-06_0001501585-25-000006_hii-20241231.htm,db9afdddcf4eac67785bb07386819b59aa3c2a28addf94448fad93d2a661c5c3,9,2024,4.0,11535000000.0,-0.5374945817078457,0.20806241872561768,-0.329432162982228,False
2025,SEC_10K,657000000.0,717000000.0,35000000.0,-35000000.0,25000000.0,-25000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2026-02-05_0001501585-26-000006_hii-20251231.htm,e9c2363b3b156a5e2e0ceb49d9548f25fbf60ef9da574ac270867e9ead3b3a82,10,2025,4.0,12484000000.0,-0.28035885933995514,-0.20025632809996793,-0.4806151874399231,False
