forecast_origin_period,filing_date,forecast_year,shipbuilding_revenue_low_usd,shipbuilding_revenue_high_usd,shipbuilding_revenue_midpoint_usd,shipbuilding_margin_low_pct,shipbuilding_margin_high_pct,shipbuilding_margin_midpoint_pct,mission_revenue_low_usd,mission_revenue_high_usd,mission_revenue_midpoint_usd,mission_margin_low_pct,mission_margin_high_pct,mission_margin_midpoint_pct,mission_ebitda_margin_low_pct,mission_ebitda_margin_high_pct,mission_ebitda_margin_midpoint_pct,operating_fas_cas_low_usd,operating_fas_cas_high_usd,operating_fas_cas_midpoint_usd,noncurrent_state_tax_low_usd,noncurrent_state_tax_high_usd,noncurrent_state_tax_midpoint_usd,free_cash_flow_low_usd,free_cash_flow_high_usd,free_cash_flow_midpoint_usd,table_index,source_path,source_url,source_sha256,pit_at_forecast_origin,revision_shipbuilding_margin_midpoint_pct,revision_mission_margin_midpoint_pct,revision_free_cash_flow_midpoint_usd,revision_shipbuilding_revenue_midpoint_usd,revision_mission_revenue_midpoint_usd,both_segment_margins_improved_same_vintage,material_shipbuilding_margin_revision,guidance_is_point_in_time_at_origin,terminal_margin_point_input_allowed
2022Q1,2022-05-05,2022,8199999999.999999,8500000000.0,8350000000.0,8.0,8.1,8.05,2600000000.0,2600000000.0,2600000000.0,2.5,2.5,2.5,8.0,8.5,8.25,-143000000.0,-143000000.0,-143000000.0,-5000000.0,-5000000.0,-5000000.0,300000000.0,350000000.0,325000000.0,5,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2022-05-05_0001501585-22-000011_EX-99.1_hii2022q1earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000011/hii2022q1earningsrelease.htm,f9a87909fbf6691bb78f3353e1e8bdb076c53cb71ed7ab3bc1a84cfa2dca4e44,True,,,,,,False,False,True,False
2022Q2,2022-08-04,2022,8199999999.999999,8500000000.0,8350000000.0,8.0,8.1,8.05,2400000000.0,2600000000.0,2500000000.0,2.5,2.5,2.5,8.0,8.5,8.25,-143000000.0,-143000000.0,-143000000.0,-5000000.0,-5000000.0,-5000000.0,200000000.0,250000000.0,225000000.0,5,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2022-08-04_0001501585-22-000024_EX-99.1_hii2022q2earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000024/hii2022q2earningsrelease.htm,8f89ec6976a19d4a076a8216abf0e05c0b745079390fcfc2c79da69ee7be077e,True,0.0,0.0,-100000000.0,0.0,-100000000.0,False,False,True,False
2022Q3,2022-11-03,2022,8199999999.999999,8300000000.000001,8250000000.0,8.0,8.1,8.05,2400000000.0,2400000000.0,2400000000.0,2.3,2.3,2.3,8.3,8.3,8.3,-143000000.0,-143000000.0,-143000000.0,-5000000.0,-5000000.0,-5000000.0,350000000.0,350000000.0,350000000.0,5,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2022-11-03_0001501585-22-000032_EX-99.1_hii2022q3earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000032/hii2022q3earningsrelease.htm,5eb713a93b11d939105c5d3e2a38b1fc207a7e0e6280d6d7c2e92b05e9914a40,True,0.0,-0.20000000000000018,125000000.0,-100000000.0,-100000000.0,False,False,True,False
2022Q4,2023-02-09,2023,8400000000.0,8600000000.0,8500000000.0,7.7,8.0,7.85,2500000000.0,2500000000.0,2500000000.0,2.5,3.0,2.75,8.0,8.5,8.25,-68000000.0,-68000000.0,-68000000.0,0.0,0.0,0.0,400000000.0,450000000.0,425000000.0,5,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2023-02-09_0001501585-23-000007_EX-99.1_hii2022q4earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000007/hii2022q4earningsrelease.htm,01d4fcdac111828bf23b354aac3c9175125409f4943b5ac3a256a3ca46219513,True,,,,,,False,False,True,False
2023Q1,2023-05-04,2023,8400000000.0,8600000000.0,8500000000.0,7.7,8.0,7.85,2500000000.0,2500000000.0,2500000000.0,2.5,3.0,2.75,8.0,8.5,8.25,-68000000.0,-68000000.0,-68000000.0,0.0,0.0,0.0,400000000.0,450000000.0,425000000.0,5,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2023-05-04_0001501585-23-000014_EX-99.1_hii2023q1earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000014/hii2023q1earningsrelease.htm,e74480cf13137080f1a65ff2ae5319a68557aed5b1e2f5a09dc995cdaf3b762a,True,0.0,0.0,0.0,0.0,0.0,False,False,True,False
2023Q2,2023-08-03,2023,8400000000.0,8600000000.0,8500000000.0,7.7,8.0,7.85,2500000000.0,2500000000.0,2500000000.0,2.5,3.0,2.75,8.0,8.5,8.25,-70000000.0,-70000000.0,-70000000.0,8000000.0,8000000.0,8000000.0,400000000.0,450000000.0,425000000.0,5,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2023-08-03_0001501585-23-000024_EX-99.1_hii2023q2earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000024/hii2023q2earningsrelease.htm,756cdd7a4f0e7e90f6b2bf5d59d7bcd4a62ddcf67a34c48228bab30606d01574,True,0.0,0.0,0.0,0.0,0.0,False,False,True,False
2023Q3,2023-11-02,2023,8500000000.0,8600000000.0,8550000000.0,7.7,8.0,7.85,2550000000.0,2550000000.0,2550000000.0,2.5,3.0,2.75,8.0,8.5,8.25,-70000000.0,-70000000.0,-70000000.0,8000000.0,8000000.0,8000000.0,500000000.0,500000000.0,500000000.0,5,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2023-11-02_0001501585-23-000030_EX-99.1_hii2023q3earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000030/hii2023q3earningsrelease.htm,e2d36dc345c09085e61dadf1a1e9054cc772db6836ec335b6bcc96ae83c4dd09,True,0.0,0.0,75000000.0,50000000.0,50000000.0,False,False,True,False
2023Q4,2024-02-01,2024,8800000000.0,9100000000.0,8950000000.0,7.6,7.8,7.699999999999999,2700000000.0,2750000000.0,2725000000.0,3.0,3.5,3.25,8.0,8.5,8.25,-63000000.0,-63000000.0,-63000000.0,0.0,0.0,0.0,600000000.0,700000000.0,650000000.0,5,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2024-02-01_0001501585-24-000005_EX-99.1_hii2023q4earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000005/hii2023q4earningsrelease.htm,a4820233db4b90b13c468a83841e9bbd976d7cb9a8ca51bb71961e1bef43664e,True,,,,,,False,False,True,False
2024Q1,2024-05-02,2024,8800000000.0,9100000000.0,8950000000.0,7.6,7.8,7.699999999999999,2700000000.0,2750000000.0,2725000000.0,3.0,3.5,3.25,8.0,8.5,8.25,-63000000.0,-63000000.0,-63000000.0,0.0,0.0,0.0,600000000.0,700000000.0,650000000.0,5,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2024-05-02_0001501585-24-000011_EX-99.1_hii2024q1earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000011/hii2024q1earningsrelease.htm,946aaa0632bd5132395e037ef9571c4a834320b7db5892396488c6068c1e4011,True,0.0,0.0,0.0,0.0,0.0,False,False,True,False
2024Q2,2024-08-01,2024,8800000000.0,9100000000.0,8950000000.0,7.6,7.8,7.699999999999999,2750000000.0,2800000000.0,2775000000.0,3.0,3.5,3.25,8.0,8.5,8.25,-63000000.0,-63000000.0,-63000000.0,0.0,0.0,0.0,600000000.0,700000000.0,650000000.0,5,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2024-08-01_0001501585-24-000034_EX-99.1_hii2024q2earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000034/hii2024q2earningsrelease.htm,ede2a686eb16d1cf047a45f1020ddffb3198e88c028e9661bdeee77263f4432b,True,0.0,0.0,0.0,0.0,50000000.0,False,False,True,False
2024Q3,2024-10-31,2024,8800000000.0,8800000000.0,8800000000.0,5.0,6.0,5.5,2800000000.0,2850000000.0,2825000000.0,3.75,3.75,3.75,8.0,8.5,8.25,-61000000.0,-61000000.0,-61000000.0,0.0,0.0,0.0,0.0,100000000.0,50000000.0,3,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2024-10-31_0001501585-24-000040_EX-99.1_hii2024q3earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000040/hii2024q3earningsrelease.htm,211594c1978545ed97c7efa4cb8d6b48cf159807a3b8e2b0a2a6d3a1f345d871,True,-2.1999999999999993,0.5,-600000000.0,-150000000.0,50000000.0,False,True,True,False
2024Q4,2025-02-06,2025,8900000000.0,9100000000.0,9000000000.0,5.5,6.5,6.0,2900000000.0,3100000000.0,3000000000.0,4.0,4.5,4.25,8.0,8.5,8.25,-43000000.0,-43000000.0,-43000000.0,0.0,0.0,0.0,300000000.0,500000000.0,400000000.0,6,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2025-02-06_0001501585-25-000004_EX-99.1_hii2024q4earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000004/hii2024q4earningsrelease.htm,0561dd5b76aacefca396e29d14e37366ce07a54b0e9a7bc4241dd8e9dcfd179f,True,,,,,,False,False,True,False
2025Q1,2025-05-01,2025,8900000000.0,9100000000.0,9000000000.0,5.5,6.5,6.0,2900000000.0,3100000000.0,3000000000.0,4.0,4.5,4.25,8.0,8.5,8.25,-43000000.0,-43000000.0,-43000000.0,0.0,0.0,0.0,300000000.0,500000000.0,400000000.0,5,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2025-05-01_0001501585-25-000035_EX-99.1_hii2025q1earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000035/hii2025q1earningsrelease.htm,e49b548d3cfb0cd12acee825dcf2fa95b6cc81929197a986c3ac0461dd0cb785,True,0.0,0.0,0.0,0.0,0.0,False,False,True,False
2025Q2,2025-07-31,2025,8900000000.0,9100000000.0,9000000000.0,5.5,6.5,6.0,2900000000.0,3100000000.0,3000000000.0,4.0,4.5,4.25,8.0,8.5,8.25,-40000000.0,-40000000.0,-40000000.0,-15000000.0,-15000000.0,-15000000.0,500000000.0,600000000.0,550000000.0,5,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2025-07-31_0001501585-25-000097_EX-99.1_hii2025q2earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000097/hii2025q2earningsrelease.htm,a720e693850daaeee45a8460b4673ef68d18f2522aead5e4b6da4a7e75f8063c,True,0.0,0.0,150000000.0,0.0,0.0,False,False,True,False
2025Q3,2025-10-30,2025,9000000000.0,9100000000.0,9050000000.0,5.5,6.5,6.0,3000000000.0,3100000000.0,3050000000.0,4.5,4.5,4.5,8.0,8.5,8.25,-35000000.0,-35000000.0,-35000000.0,-15000000.0,-15000000.0,-15000000.0,550000000.0,650000000.0,600000000.0,5,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2025-10-30_0001501585-25-000109_EX-99.1_hii2025q3earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000109/hii2025q3earningsrelease.htm,b3bad45a197ca86f3a80a786df2d3ebe6d321c0857ac3ba921c15577ea8605ac,True,0.0,0.25,50000000.0,50000000.0,50000000.0,False,False,True,False
2025Q4,2026-02-05,2026,9700000000.0,9900000000.0,9800000000.0,5.5,6.5,6.0,3000000000.0,3200000000.0,3100000000.0,5.0,5.0,5.0,8.4,8.6,8.5,-44000000.0,-44000000.0,-44000000.0,-20000000.0,-20000000.0,-20000000.0,500000000.0,600000000.0,550000000.0,6,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2026-02-05_0001501585-26-000004_EX-99.1_hiiq42025earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000004/hiiq42025earningsrelease.htm,a75b2819b9738b0cc1ff19610cc24aede58f165412bc80baaae6720c421ad493,True,,,,,,False,False,True,False
2026Q1,2026-05-05,2026,9700000000.0,9900000000.0,9800000000.0,5.5,6.5,6.0,3000000000.0,3200000000.0,3100000000.0,5.0,5.0,5.0,8.4,8.6,8.5,-44000000.0,-44000000.0,-44000000.0,-20000000.0,-20000000.0,-20000000.0,500000000.0,600000000.0,550000000.0,5,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2026-05-05_0001501585-26-000027_EX-99.1_hii2026q1earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000027/hii2026q1earningsrelease.htm,82938c39c73524d6ea623e3fa239799b2db3a434148fc9b6dccebe17aec9d21e,True,0.0,0.0,0.0,0.0,0.0,False,False,True,False
