series_id,series_title,reference_period,reference_date,value,footnotes,pit_model_input_allowed,authority,source_url,source_path,source_sha256,retrieved_at_utc
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2019M11,2019-11-01,42.1,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2019M12,2019-12-01,42.4,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2020M01,2020-01-01,41.8,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2020M02,2020-02-01,42.3,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2020M03,2020-03-01,41.7,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2020M04,2020-04-01,35.4,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2020M05,2020-05-01,38.0,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2020M06,2020-06-01,38.7,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2020M07,2020-07-01,41.1,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
CES3133600002,"Transportation equipment manufacturing average weekly hours, seasonally adjusted proxy",2020M08,2020-08-01,41.7,,False,CURRENT_REVISED_MECHANISM_DIAGNOSTIC_NOT_PIT_MODEL_INPUT,https://api.bls.gov/publicAPI/v2/timeseries/data/,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,2026-09-03T12:17:10.664472+00:00
