layer,source_count,use,all_lineage_hashes_verified,pdf_parsing_used,terminal_point_input_allowed
SEC_10K_HTML,7,WORKFORCE_COST_RECOVERY_PROGRAM_EVENTS_FAS_CAS,True,False,False
SEC_10Q_HTML,20,PARENT_V53_CATCHUP_AND_CONTRACT_EVIDENCE,True,False,False
ARCANA_IR_HTML,18,18_PIT_GUIDANCE_VINTAGES_AND_REALIZATION,True,False,False
ARCANA_IR_HTML_ACTUALS,27,27_QUARTER_SEGMENT_MARGIN_HISTORY,True,False,False
BLS_CES_CURRENT_REVISED,4,SHIPBUILDING_EMPLOYMENT_AND_LABOR_COST_CONTEXT_THROUGH_2026M06,True,False,False
BLS_PPI_AS_RELEASED,3,PIT_OUTPUT_PRICE_VERSUS_INPUT_COST_PROXY,True,False,False
FROZEN_V5_3,1,CATCHUP_NEUTRAL_MARGIN_CONTRACT_AND_NONSEGMENT_BASE,True,False,False
FROZEN_V5_2,1,DCF_AND_REVERSE_DCF_EXPECTATIONS_CROSSCHECK,True,False,False
