source_path,expected_sha256,actual_sha256,source_exists,hash_match
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2022-05-05_0001501585-22-000011_EX-99.1_hii2022q1earningsrelease.htm,f9a87909fbf6691bb78f3353e1e8bdb076c53cb71ed7ab3bc1a84cfa2dca4e44,f9a87909fbf6691bb78f3353e1e8bdb076c53cb71ed7ab3bc1a84cfa2dca4e44,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2022-08-04_0001501585-22-000024_EX-99.1_hii2022q2earningsrelease.htm,8f89ec6976a19d4a076a8216abf0e05c0b745079390fcfc2c79da69ee7be077e,8f89ec6976a19d4a076a8216abf0e05c0b745079390fcfc2c79da69ee7be077e,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2022-11-03_0001501585-22-000032_EX-99.1_hii2022q3earningsrelease.htm,5eb713a93b11d939105c5d3e2a38b1fc207a7e0e6280d6d7c2e92b05e9914a40,5eb713a93b11d939105c5d3e2a38b1fc207a7e0e6280d6d7c2e92b05e9914a40,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2023-02-09_0001501585-23-000007_EX-99.1_hii2022q4earningsrelease.htm,01d4fcdac111828bf23b354aac3c9175125409f4943b5ac3a256a3ca46219513,01d4fcdac111828bf23b354aac3c9175125409f4943b5ac3a256a3ca46219513,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2023-05-04_0001501585-23-000014_EX-99.1_hii2023q1earningsrelease.htm,e74480cf13137080f1a65ff2ae5319a68557aed5b1e2f5a09dc995cdaf3b762a,e74480cf13137080f1a65ff2ae5319a68557aed5b1e2f5a09dc995cdaf3b762a,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2023-08-03_0001501585-23-000024_EX-99.1_hii2023q2earningsrelease.htm,756cdd7a4f0e7e90f6b2bf5d59d7bcd4a62ddcf67a34c48228bab30606d01574,756cdd7a4f0e7e90f6b2bf5d59d7bcd4a62ddcf67a34c48228bab30606d01574,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2023-11-02_0001501585-23-000030_EX-99.1_hii2023q3earningsrelease.htm,e2d36dc345c09085e61dadf1a1e9054cc772db6836ec335b6bcc96ae83c4dd09,e2d36dc345c09085e61dadf1a1e9054cc772db6836ec335b6bcc96ae83c4dd09,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2024-02-01_0001501585-24-000005_EX-99.1_hii2023q4earningsrelease.htm,a4820233db4b90b13c468a83841e9bbd976d7cb9a8ca51bb71961e1bef43664e,a4820233db4b90b13c468a83841e9bbd976d7cb9a8ca51bb71961e1bef43664e,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2024-05-02_0001501585-24-000011_EX-99.1_hii2024q1earningsrelease.htm,946aaa0632bd5132395e037ef9571c4a834320b7db5892396488c6068c1e4011,946aaa0632bd5132395e037ef9571c4a834320b7db5892396488c6068c1e4011,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2024-08-01_0001501585-24-000034_EX-99.1_hii2024q2earningsrelease.htm,ede2a686eb16d1cf047a45f1020ddffb3198e88c028e9661bdeee77263f4432b,ede2a686eb16d1cf047a45f1020ddffb3198e88c028e9661bdeee77263f4432b,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2024-10-31_0001501585-24-000040_EX-99.1_hii2024q3earningsrelease.htm,211594c1978545ed97c7efa4cb8d6b48cf159807a3b8e2b0a2a6d3a1f345d871,211594c1978545ed97c7efa4cb8d6b48cf159807a3b8e2b0a2a6d3a1f345d871,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2025-02-06_0001501585-25-000004_EX-99.1_hii2024q4earningsrelease.htm,0561dd5b76aacefca396e29d14e37366ce07a54b0e9a7bc4241dd8e9dcfd179f,0561dd5b76aacefca396e29d14e37366ce07a54b0e9a7bc4241dd8e9dcfd179f,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2025-05-01_0001501585-25-000035_EX-99.1_hii2025q1earningsrelease.htm,e49b548d3cfb0cd12acee825dcf2fa95b6cc81929197a986c3ac0461dd0cb785,e49b548d3cfb0cd12acee825dcf2fa95b6cc81929197a986c3ac0461dd0cb785,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2025-07-31_0001501585-25-000097_EX-99.1_hii2025q2earningsrelease.htm,a720e693850daaeee45a8460b4673ef68d18f2522aead5e4b6da4a7e75f8063c,a720e693850daaeee45a8460b4673ef68d18f2522aead5e4b6da4a7e75f8063c,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2025-10-30_0001501585-25-000109_EX-99.1_hii2025q3earningsrelease.htm,b3bad45a197ca86f3a80a786df2d3ebe6d321c0857ac3ba921c15577ea8605ac,b3bad45a197ca86f3a80a786df2d3ebe6d321c0857ac3ba921c15577ea8605ac,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2026-02-05_0001501585-26-000004_EX-99.1_hiiq42025earningsrelease.htm,a75b2819b9738b0cc1ff19610cc24aede58f165412bc80baaae6720c421ad493,a75b2819b9738b0cc1ff19610cc24aede58f165412bc80baaae6720c421ad493,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2026-05-05_0001501585-26-000027_EX-99.1_hii2026q1earningsrelease.htm,82938c39c73524d6ea623e3fa239799b2db3a434148fc9b6dccebe17aec9d21e,82938c39c73524d6ea623e3fa239799b2db3a434148fc9b6dccebe17aec9d21e,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2026-07-30_0001501585-26-000045_EX-99.1_hii2026q2earningsrelease.htm,7597b77e8082170248de963248d8e2ef5284b65aab82cdef97390d89abce8e09,7597b77e8082170248de963248d8e2ef5284b65aab82cdef97390d89abce8e09,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2020-02-13_0001501585-20-000007_EX-99.1_hii2019q4earningsrelea.htm,cae351c3faa0e1d8c685654fef0defdbfd3a64cb4a4f06a9863cbb955abcced5,cae351c3faa0e1d8c685654fef0defdbfd3a64cb4a4f06a9863cbb955abcced5,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2020-05-07_0001501585-20-000015_EX-99.1_hii2020q1earningsrelea.htm,8cbec95b134fed5883b1a2f67cb80e69eb3eafb726afa3589c9c7d57ed4aa326,8cbec95b134fed5883b1a2f67cb80e69eb3eafb726afa3589c9c7d57ed4aa326,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2020-08-06_0001501585-20-000032_EX-99.1_hii2020q2earningsrelea.htm,4124e803c495e72bd1ddb19072d1fec6c814856bbf1aea5563d0c649778c6a00,4124e803c495e72bd1ddb19072d1fec6c814856bbf1aea5563d0c649778c6a00,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2020-11-05_0001501585-20-000039_EX-99.1_hiiq32020earningsrelea.htm,4a351d0d12da955e03b25847fdd33034597b7f607cf7f1f9c18751473a6b72e7,4a351d0d12da955e03b25847fdd33034597b7f607cf7f1f9c18751473a6b72e7,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-02-11_0001501585-21-000003_EX-99.1_hiiq42020earningsrelease.htm,ce9d0413699ea40a04ede23ee92ff51c1fd9ff3fab0de6da2aec4c3e0dace6d4,ce9d0413699ea40a04ede23ee92ff51c1fd9ff3fab0de6da2aec4c3e0dace6d4,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-05-06_0001501585-21-000014_EX-99.1_hii2021q1earningsrelease.htm,c2bf1d6afa665ab9e6e6331de0a1728b72b773eece4ca1a3d987833c6a8eaf49,c2bf1d6afa665ab9e6e6331de0a1728b72b773eece4ca1a3d987833c6a8eaf49,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-08-05_0001501585-21-000027_EX-99.1_hii2021q2earningsrelease.htm,497a2b73a082c8eca48684484f43c0883682822d39ac284c3f23da38201746c4,497a2b73a082c8eca48684484f43c0883682822d39ac284c3f23da38201746c4,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-11-04_0001501585-21-000034_EX-99.1_hii2021q3earningsrelease.htm,7e596583de14f1b5e1714e6176197d0f6f5fbf58b634622f53e603a1aa20bde1,7e596583de14f1b5e1714e6176197d0f6f5fbf58b634622f53e603a1aa20bde1,True,True
D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2022-02-10_0001501585-22-000004_EX-99.1_hii2021q4earningsrelease.htm,16806c4afb800a60874caa081d378f70c373d51d373314c5a054e72df708bb6b,16806c4afb800a60874caa081d378f70c373d51d373314c5a054e72df708bb6b,True,True
D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5_4\bls\hii_shipbuilding_labor_current_revised_2026-09-03.json,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,b639cbded9a0518394883017ea401bd30515e37c434c8ae41820ddcf15148a1a,True,True
D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2020-02-13_0001501585-20-000011_hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1,True,True
D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2021-02-11_0001501585-21-000008_hii-20201231.htm,c36fb47b2ccff954dee7a6dea7f83b6d16bced0de0451ba8b50c964590a018c8,c36fb47b2ccff954dee7a6dea7f83b6d16bced0de0451ba8b50c964590a018c8,True,True
D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2022-02-10_0001501585-22-000007_hii-20211231.htm,044bbc3f603b93031cf93d2d5b0c79964518807a8b543e9897e74767e666a693,044bbc3f603b93031cf93d2d5b0c79964518807a8b543e9897e74767e666a693,True,True
D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2023-02-09_0001501585-23-000010_hii-20221231.htm,cfcc6f7fd5211d6d8f36fcd6ed2a9b9a8d27927356fe1913e9b42f534685bf8e,cfcc6f7fd5211d6d8f36fcd6ed2a9b9a8d27927356fe1913e9b42f534685bf8e,True,True
D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2024-02-01_0001501585-24-000007_hii-20231231.htm,0b3d953af66e8986f467784154cf686e260e45e7a548fc9f7d2ee216d54c771b,0b3d953af66e8986f467784154cf686e260e45e7a548fc9f7d2ee216d54c771b,True,True
D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2025-02-06_0001501585-25-000006_hii-20241231.htm,db9afdddcf4eac67785bb07386819b59aa3c2a28addf94448fad93d2a661c5c3,db9afdddcf4eac67785bb07386819b59aa3c2a28addf94448fad93d2a661c5c3,True,True
