reference,nonsegment_contribution_pct,evidence,terminal_input_allowed,authority
TTM_CURRENT,-0.5460750853242321,2026Q2,False,NONSEGMENT_NORMALIZATION_DIAGNOSTIC
TTM_HISTORICAL_MEDIAN,-0.535103321063642,24 TTM windows,False,NONSEGMENT_NORMALIZATION_DIAGNOSTIC
FY26_GUIDANCE,-0.4830188679245283,2026Q2,False,NONSEGMENT_NORMALIZATION_DIAGNOSTIC
