period,shipbuilding_ttm_revenue_usd,shipbuilding_ttm_neutral_operating_income_usd,shipbuilding_catchup_neutral_ttm_margin_pct,mission_catchup_neutral_ttm_margin_pct,reported_mix_catchup_neutral_consolidated_margin_pct,nonsegment_ttm_contribution_pct,fy26_mix_reweighted_consolidated_margin_pct,all_components_are_same_ttm_window,terminal_input_allowed
2023Q4,8885000000.0,641000000.0,7.214406302757456,3.075213041867358,5.788370874803562,-0.5325650427798149,5.795098757083626,True,False
2024Q1,8891000000.0,648000000.0,7.288269036103926,3.433628318584071,5.895554596460941,-0.5351747949935262,5.933762477420138,True,False
2024Q2,8965000000.0,656000000.0,7.31734523145566,4.040747028862478,6.046709129511677,-0.535031847133758,6.098550920675072,True,False
2024Q3,8877000000.0,651000000.0,7.333558634673876,4.277534523408555,6.106935428766655,-0.538093611206013,6.163492121602096,True,False
2024Q4,8736000000.0,597000000.0,6.833791208791208,3.472931562819203,5.730385782401387,-0.329432162982228,5.795408387605618,True,False
2025Q1,8680000000.0,593000000.0,6.831797235023042,3.730321697467488,5.844382414515003,-0.2791346824842987,5.904375414337328,True,False
2025Q2,8760000000.0,591000000.0,6.7465753424657535,3.8670284938941655,5.860489238482151,-0.2333823148068113,5.915864051870107,True,False
2025Q3,9129000000.0,602000000.0,6.594369591411983,3.8334434897554526,5.727605727605728,-0.2497502497502497,5.773320060422228,True,False
2025Q4,9585000000.0,612000000.0,6.384976525821597,4.369250985545335,5.487023389939122,-0.4806151874399231,5.505040380194264,True,False
2026Q1,9942000000.0,624000000.0,6.2764031382015695,3.9581288845273144,5.276675227644175,-0.5214413573040704,5.283626708017503,True,False
2026Q2,10309000000.0,638000000.0,6.1887670967116115,4.593522802379379,5.346985210466439,-0.5460750853242321,5.339526558713933,True,False
