forecast_year,first_origin_period,last_origin_period,guidance_vintages,first_shipbuilding_margin_midpoint_pct,last_shipbuilding_margin_midpoint_pct,realized_shipbuilding_margin_pct,first_shipbuilding_error_pp,last_shipbuilding_error_pp,realized_shipbuilding_inside_last_range,first_mission_margin_midpoint_pct,last_mission_margin_midpoint_pct,realized_mission_margin_pct,first_mission_error_pp,last_mission_error_pp,realized_mission_inside_last_range,realized,authority
2022,2022Q1,2022Q3,3,8.05,8.05,7.706008074091665,0.3439919259083357,0.3439919259083357,False,2.5,2.3,2.6392961876832843,-0.13929618768328433,-0.3392961876832845,False,True,GUIDANCE_RELIABILITY_RESEARCH_NOT_TERMINAL_INPUT
2023,2022Q4,2023Q3,4,7.85,7.85,8.339898705683737,-0.4898987056837374,-0.4898987056837374,False,2.75,2.75,3.742126713597629,-0.9921267135976288,-0.9921267135976288,False,True,GUIDANCE_RELIABILITY_RESEARCH_NOT_TERMINAL_INPUT
2024,2023Q4,2024Q3,4,7.699999999999999,5.5,5.231227106227107,2.4687728937728926,0.26877289377289326,True,3.25,3.75,3.949608443990466,-0.6996084439904662,-0.19960844399046618,False,True,GUIDANCE_RELIABILITY_RESEARCH_NOT_TERMINAL_INPUT
2025,2024Q4,2025Q3,4,6.0,6.0,5.884194053208137,0.11580594679186262,0.11580594679186262,True,4.25,4.5,5.026281208935611,-0.776281208935611,-0.526281208935611,False,True,GUIDANCE_RELIABILITY_RESEARCH_NOT_TERMINAL_INPUT
2026,2025Q4,2026Q2,3,6.0,6.25,,,,,5.0,5.0,,,,,False,GUIDANCE_RELIABILITY_RESEARCH_NOT_TERMINAL_INPUT
