ticker,year,kpi_production_mboe,quantity_scale_power10,production_calibration_ratio,production_source_tag,production_source_unit,end_reserves_mboe,end_reserves_source_tag,end_reserves_source_unit,production_mboe,extensions_discoveries_mboe,extensions_discoveries_source_tag,extensions_discoveries_source_unit,revisions_mboe,revisions_source_tag,revisions_source_unit,improved_recovery_mboe,improved_recovery_source_tag,improved_recovery_source_unit,purchases_mboe,purchases_source_tag,purchases_source_unit,sales_mboe,sales_source_tag,sales_source_unit,missing_optional_events_assumed_zero_for_identity,quantity_route_status,begin_reserves_source_year,begin_reserves_mboe,improved_recovery_identity_mboe,purchases_identity_mboe,sales_identity_mboe,stock_flow_net_organic_additions_mboe,identified_organic_additions_mboe,gross_positive_additions_mboe,total_gross_reserve_additions_mboe
AR,2016,111906.83333333334,0,1.0067898743150923,us-gaap:ProvedDevelopedAndUndevelopedReserveProductionEnergy,MMcfe,2564333.333333333,us-gaap:ProvedDevelopedAndUndevelopedReserveNetEnergy,MMcfe,112666.66666666666,439500.0,us-gaap:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,MMcfe,-67333.33333333333,us-gaap:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,MMcfe,,,,104000.0,us-gaap:ProvedDevelopedAndUndevelopedReservePurchaseOfMineralInPlaceEnergy,MMcfe,1666.6666666666665,us-gaap:ProvedDevelopedAndUndevelopedReservesSaleOfMineralInPlaceEnergy,MMcfe,improved_recovery,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,,,0.0,104000.0,1666.6666666666665,,372166.6666666667,439500.0,543500.0
AR,2017,137041.33333333334,0,0.9996983878343273,us-gaap:ProvedDevelopedAndUndevelopedReserveProductionEnergy,MMcfe,2876833.333333333,us-gaap:ProvedDevelopedAndUndevelopedReserveNetEnergy,MMcfe,137000.0,285166.6666666666,us-gaap:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,MMcfe,102166.66666666666,us-gaap:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,MMcfe,,,,62166.666666666664,us-gaap:ProvedDevelopedAndUndevelopedReservePurchaseOfMineralInPlaceEnergy,MMcfe,,,,improved_recovery;sales,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,2016.0,2564333.333333333,0.0,62166.666666666664,0.0,387333.3333333333,387333.33333333326,387333.33333333326,449499.99999999994
AR,2018,164802.0,0,1.0001901271424698,srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy,MMcfe,3001833.333333333,srt:ProvedDevelopedAndUndevelopedReserveNetEnergy,MMcfe,164833.3333333333,463500.0,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,MMcfe,-173666.66666666666,srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,MMcfe,,,,,,,,,,improved_recovery;purchases;sales,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,2017.0,2876833.333333333,0.0,0.0,0.0,289833.3333333333,289833.3333333334,463500.0,463500.0
AR,2019,195876.66666666666,0,0.999778772356755,srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy,MMcfe,3148833.333333333,srt:ProvedDevelopedAndUndevelopedReserveNetEnergy,MMcfe,195833.3333333333,617500.0,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,MMcfe,-274666.6666666666,srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,MMcfe,,,,,,,,,,improved_recovery;purchases;sales,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,2018.0,3001833.333333333,0.0,0.0,0.0,342833.3333333333,342833.3333333334,617500.0,617500.0
AR,2020,218256.83333333334,0,1.000350504489741,srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy,MMcfe,2939166.6666666665,srt:ProvedDevelopedAndUndevelopedReserveNetEnergy,MMcfe,218333.3333333333,184166.66666666666,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,MMcfe,-156666.66666666666,srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,MMcfe,,,,,,,18833.333333333332,srt:ProvedDevelopedAndUndevelopedReservesSaleOfMineralInPlaceEnergy,MMcfe,improved_recovery;purchases,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,2019.0,3148833.333333333,0.0,0.0,18833.333333333332,27500.000000000135,27500.0,184166.66666666666,184166.66666666666
AR,2021,198960.0,0,1.0002010454362686,srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy,Bcfe,2954833.333333333,srt:ProvedDevelopedAndUndevelopedReserveNetEnergy,Bcfe,199000.0,78666.66666666666,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,Bcfe,247666.66666666666,srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,Bcfe,,,,,,,111666.66666666666,srt:ProvedDevelopedAndUndevelopedReservesSaleOfMineralInPlaceEnergy,Bcfe,improved_recovery;purchases,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,2020.0,2939166.6666666665,0.0,0.0,111666.66666666666,326333.33333333314,326333.3333333333,326333.3333333333,326333.3333333333
AR,2022,194934.33333333334,0,1.000336865576955,srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy,Bcfe,2959833.333333333,srt:ProvedDevelopedAndUndevelopedReserveNetEnergy,Bcfe,195000.0,100666.66666666666,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,Bcfe,99333.33333333333,srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,Bcfe,,,,,,,,,,improved_recovery;purchases;sales,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,2021.0,2954833.333333333,0.0,0.0,0.0,200000.0,200000.0,200000.0,200000.0
AR,2023,206384.66666666666,0,0.9997512735119211,srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy,Bcfe,3020166.6666666665,srt:ProvedDevelopedAndUndevelopedReserveNetEnergy,Bcfe,206333.3333333333,68833.33333333333,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,Bcfe,197833.3333333333,srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,Bcfe,,,,,,,,,,improved_recovery;purchases;sales,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,2022.0,2959833.333333333,0.0,0.0,0.0,266666.6666666668,266666.6666666666,266666.6666666666,266666.6666666666
AR,2024,208665.0,0,1.0000079872842433,srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy,Bcfe,2983833.333333333,srt:ProvedDevelopedAndUndevelopedReserveNetEnergy,Bcfe,208666.66666666666,130499.99999999999,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,Bcfe,72500.0,srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,Bcfe,,,,,,,30666.666666666664,srt:ProvedDevelopedAndUndevelopedReservesSaleOfMineralInPlaceEnergy,Bcfe,improved_recovery;purchases,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,2023.0,3020166.6666666665,0.0,0.0,30666.666666666664,202999.99999999983,203000.0,203000.0,203000.0
AR,2025,209390.0,0,0.9997293726220609,srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy,Bcfe,3191500.0,srt:ProvedDevelopedAndUndevelopedReserveNetEnergy,Bcfe,209333.3333333333,110833.33333333333,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,Bcfe,221833.3333333333,srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,Bcfe,,,,84333.33333333333,srt:ProvedDevelopedAndUndevelopedReservePurchaseOfMineralInPlaceEnergy,Bcfe,,,,improved_recovery;sales,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,2024.0,2983833.333333333,0.0,84333.33333333333,0.0,332666.666666667,332666.6666666666,332666.6666666666,416999.99999999994
