ticker,year,reported_total_primary_usd,reported_total_alternate_usd,development_usd,exploration_usd,proved_acquisition_usd,unproved_acquisition_usd,observed_component_sum_usd,selected_all_in_reserve_investment_usd,all_in_cost_selection_method,selected_all_in_source_tags,reported_total_component_reconciliation_error,included_scope,excluded_or_unproven_scope
DVN,2021,,11253000000.0,1643000000.0,212000000.0,7017000000.0,2381000000.0,11253000000.0,11253000000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
DVN,2022,,5167000000.0,2132000000.0,472000000.0,1760000000.0,803000000.0,5167000000.0,5167000000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
DVN,2023,,3759000000.0,3160000000.0,534000000.0,2000000.0,63000000.0,3759000000.0,3759000000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
DVN,2024,,8553000000.0,2856000000.0,690000000.0,3058000000.0,1949000000.0,8553000000.0,8553000000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
DVN,2025,,4000000000.0,3057000000.0,581000000.0,138000000.0,224000000.0,4000000000.0,4000000000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
EOG,2021,315000000.0,3969000000.0,3300000000.0,354000000.0,100000000.0,215000000.0,3969000000.0,3969000000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
EQT,2021,,,950531000.0,24403000.0,2286386000.0,805942000.0,4067262000.0,4067262000.0,SUM_OF_DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,us-gaap:CostsIncurredDevelopmentCosts;us-gaap:CostsIncurredExplorationCosts;us-gaap:CostsIncurredAcquisitionOfOilAndGasPropertiesWithProvedReserves;us-gaap:CostsIncurredAcquisitionOfUnprovedOilAndGasProperties,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
EQT,2022,,,1292509000.0,3438000.0,82276000.0,113523000.0,1491746000.0,1491746000.0,SUM_OF_DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,us-gaap:CostsIncurredDevelopmentCosts;us-gaap:CostsIncurredExplorationCosts;us-gaap:CostsIncurredAcquisitionOfOilAndGasPropertiesWithProvedReserves;us-gaap:CostsIncurredAcquisitionOfUnprovedOilAndGasProperties,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
EQT,2023,,,1782428000.0,3330000.0,4142621000.0,575130000.0,6503509000.0,6503509000.0,SUM_OF_DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,us-gaap:CostsIncurredDevelopmentCosts;us-gaap:CostsIncurredExplorationCosts;us-gaap:CostsIncurredAcquisitionOfOilAndGasPropertiesWithProvedReserves;us-gaap:CostsIncurredAcquisitionOfUnprovedOilAndGasProperties,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
EQT,2024,,,1848000000.0,2735000.0,410805000.0,98007000.0,2359547000.0,2359547000.0,SUM_OF_DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,us-gaap:CostsIncurredDevelopmentCosts;us-gaap:CostsIncurredExplorationCosts;us-gaap:CostsIncurredAcquisitionOfOilAndGasPropertiesWithProvedReserves;us-gaap:CostsIncurredAcquisitionOfUnprovedOilAndGasProperties,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
EQT,2025,,,1725438000.0,3601000.0,1522869000.0,390103000.0,3642011000.0,3642011000.0,SUM_OF_DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,us-gaap:CostsIncurredDevelopmentCosts;us-gaap:CostsIncurredExplorationCosts;us-gaap:CostsIncurredAcquisitionOfOilAndGasPropertiesWithProvedReserves;us-gaap:CostsIncurredAcquisitionOfUnprovedOilAndGasProperties,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
FANG,2021,6373000000.0,60000000.0,516000000.0,1223000000.0,2805000000.0,1829000000.0,6373000000.0,6373000000.0,PRIMARY_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredAcquisitionOfOilAndGasProperties,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
FANG,2022,4578000000.0,58000000.0,566000000.0,1698000000.0,778000000.0,1536000000.0,4578000000.0,4578000000.0,PRIMARY_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredAcquisitionOfOilAndGasProperties,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
FANG,2023,5745000000.0,66000000.0,1962000000.0,768000000.0,1314000000.0,1701000000.0,5745000000.0,5745000000.0,PRIMARY_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredAcquisitionOfOilAndGasProperties,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
FANG,2024,40029000000.0,90000000.0,2992000000.0,194000000.0,21275000000.0,15568000000.0,40029000000.0,40029000000.0,PRIMARY_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredAcquisitionOfOilAndGasProperties,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
FANG,2025,13659000000.0,102000000.0,3613000000.0,212000000.0,4608000000.0,5226000000.0,13659000000.0,13659000000.0,PRIMARY_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredAcquisitionOfOilAndGasProperties,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
NOG,2021,,656202000.0,202325000.0,,434519000.0,19358000.0,656202000.0,656202000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN
