ticker,v13_reserve_quantity_years,v15_route_aware_reserve_quantity_years,v15_usable_replacement_years,coverage_year_improvement,route_aware_reserve_chain_ready,coverage_status
AR,8,10,9,2,True,ROUTE_AWARE_RESERVE_CHAIN_READY
CNX,7,9,7,2,True,ROUTE_AWARE_RESERVE_CHAIN_READY
COP,0,0,0,0,False,LOCKED_FEWER_THAN_3_KPI_VERIFIED_YEARS
DVN,0,0,0,0,False,LOCKED_FEWER_THAN_3_KPI_VERIFIED_YEARS
EOG,0,0,0,0,False,LOCKED_FEWER_THAN_3_KPI_VERIFIED_YEARS
EQT,2,10,9,8,True,ROUTE_AWARE_RESERVE_CHAIN_READY
FANG,3,3,2,0,True,ROUTE_AWARE_RESERVE_CHAIN_READY
MGY,0,0,0,0,False,LOCKED_FEWER_THAN_3_KPI_VERIFIED_YEARS
MTDR,0,0,0,0,False,LOCKED_FEWER_THAN_3_KPI_VERIFIED_YEARS
NOG,0,0,0,0,False,LOCKED_FEWER_THAN_3_KPI_VERIFIED_YEARS
OVV,0,0,0,0,False,LOCKED_FEWER_THAN_3_KPI_VERIFIED_YEARS
PR,0,0,0,0,False,LOCKED_FEWER_THAN_3_KPI_VERIFIED_YEARS
RRC,0,0,0,0,False,LOCKED_FEWER_THAN_3_KPI_VERIFIED_YEARS
SM,0,0,0,0,False,LOCKED_FEWER_THAN_3_KPI_VERIFIED_YEARS
