ticker,year,product_revenue_usd_millions,purchased_oil_revenue_usd_millions,purchased_oil_expense_usd_millions,other_operating_revenue_usd_millions,consolidated_revenue_usd_millions,lease_operating_usd_millions,production_tax_usd_millions,transport_usd_millions,dda_usd_millions,g_and_a_usd_millions,other_operating_expense_usd_millions,impairment_usd_millions,reported_operating_income_usd_millions,reported_composite_lifting_cost_per_boe,frozen_lifting_cost_per_boe,composite_to_frozen_lifting_ratio,tax_and_transport_already_in_composite_lifting_cost,corrected_unit_operating_margin_pct,reported_like_for_like_operating_margin_pct,like_for_like_margin_gap_pct_points,reported_consolidated_operating_margin_pct,impairment_adjusted_consolidated_margin_pct,v16_margin_gap_pct_points,duplicate_cost_effect_pct_points,impairment_effect_pct_points,residual_after_primary_attribution_pct_points,margin_gap_classification,derivative_in_operating_income,source_file,source_sha256,availability_date,research_only
FANG,2023,8228.0,52.0,52.0,73.0,8412.0,872.0,525.0,287.0,1746.0,150.0,,0.0,4570.0,10.285822484050561,10.305177678642458,0.9981217990416593,True,57.1665327628541,56.490034030140976,0.6764987327131209,54.32715168806467,54.32715168806467,-7.043313140086617,9.882694214876034,0.0,2.839381074789417,LIKE_FOR_LIKE_RECONCILED,False,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\FANG\2024-02-20_0001539838-24-000013_EX-99.1_diamondbackex991-2x20x24.htm,e9999c199aa1d3f31c8efa780757a648a4d976539a63ddb2a4a5f91888553026,2024-02-20,True
FANG,2024,10100.0,923.0,921.0,43.0,11066.0,1286.0,638.0,356.0,2850.0,213.0,,0.0,4396.0,10.301499591102758,10.412290155819008,0.989359635290769,True,47.24326691798203,47.0990099009901,0.14425701699192928,39.725284655702154,39.725284655702154,-2.370760410987458,9.888742673267325,0.0,7.517982262279867,LIKE_FOR_LIKE_RECONCILED,False,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\FANG\2025-02-24_0001539838-25-000016_EX-99.1_diamondbackex991-2x24x25.htm,0c6044cb2955d65ae652446c2760b14e5a987faa3d451548cec569fe7a3b9584,2025-02-24,True
FANG,2025,13453.0,1476.0,1474.0,97.0,15026.0,1865.0,851.0,515.0,5038.0,288.0,77.0,3652.0,1266.0,9.610982756451271,9.610979897554271,1.0000002974615523,True,37.09954977662979,36.39336950865978,0.7061802679700122,8.425395980300813,32.72993477971516,18.52510015030208,10.149053646026907,24.30453879941435,4.369614996914638,EXPLAINED_IMPAIRMENT_PLUS_DUPLICATE_COMPOSITE_COST_SCOPE,False,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\FANG\2026-02-23_0001539838-26-000006_EX-99.1_diamondbackex991-2x23x26.htm,cb1fd91057213904e3d37143ff371645f812c2b998e93d034d36a24918540fd0,2026-02-23,True
